ALPHA L,ALPHA R,BETA L,BETA R,DELTA L,DELTA R,THETA L,THETA R
13.37,12.35,9.96,11.25,12.00,18.81,9.96,7.09
13.77,15.49,6.16,7.09,21.64,22.97,11.56,6.25
6.43,6.12,7.36,5.98,30.09,28.54,15.54,9.79
12.0,15.27,17.17,18.9,40.39,38.49,9.57,10.76
19.16,23.45,16.55,14.26,55.30,53.04,8.99,12.71
20.36,20.05,9.48,7.93,59.15,57.02,24.25,22.79
19.43,13.02,7.36,6.25,59.81,53.93,24.03,19.39
21.24,9.88,9.96,3.91,42.83,37.21,13.99,9.92
22.22,13.41,6.96,10.58,30.80,22.22,15.67,6.96
18.59,17.17,6.21,6.43,18.28,14.08,19.74,6.87
14.48,16.38,6.69,7.84,20.31,14.26,26.68,11.11
8.02,12.09,8.64,9.21,23.72,18.99,22.84,6.91
11.42,14.43,4.04,5.06,30.66,22.97,10.85,4.79
23.5,23.15,17.84,32.26,25.71,15.71,18.15,14.26
14.83,16.42,5.23,4.48,24.56,18.90,29.07,20.45
4.44,5.94,8.86,10.41,21.11,17.97,25.67,22.39
12.8,9.39,11.2,9.7,26.29,23.23,18.28,20.62
5.45,7.0,11.25,7.67,29.07,16.60,9.12,8.37
3.95,3.64,4.97,7.67,31.90,12.62,11.38,11.47
9.7,5.9,4.17,5.37,26.24,10.85,10.27,18.94
11.82,7.75,16.33,15.45,19.78,17.00,16.38,23.28
26.2,23.41,16.91,14.7,16.51,20.85,32.08,31.33
32.39,35.18,19.7,21.73,15.85,18.55,41.77,38.45
20.0,24.47,11.11,13.86,17.62,12.44,29.60,31.55
16.02,7.05,8.77,11.82,16.47,10.85,25.05,28.50
19.12,19.39,8.73,10.5,16.25,18.46,29.65,24.12
9.66,21.02,4.13,7.4,16.42,23.68,29.87,24.83
4.79,17.7,4.04,9.43,20.62,28.85,21.86,28.50
6.69,18.46,4.57,26.73,21.24,22.79,12.84,23.76
9.17,14.7,4.97,4.48,31.15,32.96,9.52,12.97
10.01,9.7,4.3,10.27,35.53,34.42,13.19,10.94
16.95,11.91,9.08,8.9,46.41,52.34,18.59,15.54
19.83,15.01,9.52,10.41,43.45,50.21,18.01,15.63
14.48,9.79,3.91,6.38,39.91,49.95,22.35,19.61
10.45,10.1,12.35,13.11,29.25,35.84,24.60,24.56
11.42,15.58,2.71,5.19,20.40,24.03,20.49,21.24
17.88,21.6,3.82,5.98,21.38,23.54,7.09,6.82
19.12,20.54,9.96,6.25,29.29,34.07,10.10,5.72
10.19,14.34,2.31,5.32,34.95,38.23,14.56,5.28
9.48,12.0,13.11,10.01,41.06,36.63,14.12,3.86
24.25,22.17,12.31,10.23,44.02,33.32,11.29,11.51
24.78,22.04,21.24,16.73,47.51,35.22,20.62,27.21
14.26,13.02,6.03,4.83,50.08,40.88,24.34,22.13
3.95,8.99,5.63,6.91,35.93,30.66,15.45,10.81
11.16,4.39,3.82,14.74,26.73,24.07,13.15,5.94
16.82,11.87,13.59,13.99,32.03,32.61,23.90,7.53
11.42,25.14,4.57,25.8,49.28,45.22,25.22,12.84
4.13,24.56,10.63,6.25,59.06,62.38,11.25,16.20
10.23,11.65,3.37,6.07,49.55,59.50,9.70,16.07
