ALPHA L,ALPHA R,BETA L,BETA R,DELTA L,DELTA R,THETA L,THETA R
7.09,3.42,6.16,7.97,11.78,3.64,12.75,18.63
7.27,8.42,9.12,6.74,21.77,5.10,15.41,53.31
5.28,15.54,5.45,23.41,28.98,11.16,11.78,71.04
4.7,12.93,3.99,2.49,27.08,23.28,8.24,52.07
4.66,5.59,5.94,6.69,18.85,30.04,9.92,19.83
5.72,5.32,5.28,3.68,15.54,37.43,11.60,8.81
5.45,2.36,5.45,4.52,16.78,26.06,15.58,9.21
6.82,3.29,3.11,5.45,23.63,23.32,11.38,10.41
5.94,3.02,6.21,5.85,16.29,15.94,9.79,14.92
4.3,3.73,3.86,4.52,11.82,14.08,7.13,12.00
5.81,4.3,4.22,4.35,4.83,10.72,6.12,6.65
5.98,3.29,4.04,2.89,6.38,8.68,7.93,8.59
7.93,2.36,5.19,3.46,7.62,9.26,9.26,12.44
10.45,3.55,10.54,9.66,6.87,7.36,7.27,10.85
8.24,2.62,6.65,3.11,5.19,5.54,6.60,7.18
4.13,1.78,5.01,8.81,5.19,5.72,6.21,3.02
2.36,1.83,10.14,7.36,7.71,6.12,3.15,3.99
3.51,2.93,7.31,6.65,8.59,5.90,6.21,8.51
4.57,4.48,11.51,9.61,9.12,5.28,7.31,6.34
5.06,4.22,8.86,4.22,10.32,6.65,6.65,9.17
6.6,2.84,4.57,3.86,7.97,7.18,9.83,14.87
4.7,4.22,3.29,3.02,7.49,8.11,10.41,11.56
5.37,7.8,9.7,4.26,11.25,13.77,6.60,7.75
8.95,9.04,7.62,6.21,17.66,18.19,2.00,7.09
9.43,8.33,7.05,5.54,23.68,25.80,4.57,7.89
8.64,7.93,3.91,3.95,16.60,18.41,12.80,10.98
10.05,10.45,10.41,7.36,15.94,20.58,14.65,13.95
9.74,8.99,9.52,6.87,24.07,27.26,18.99,16.07
7.93,6.12,5.19,4.44,45.35,42.78,15.58,6.69
6.25,2.98,5.45,3.07,52.25,49.55,12.62,6.52
4.7,5.14,7.53,10.5,59.01,51.89,12.71,15.01
3.29,5.85,8.06,4.61,42.47,45.52,19.47,25.31
7.4,5.01,6.25,7.93,38.98,47.47,18.77,25.75
10.19,4.83,5.1,5.32,24.25,37.21,16.07,19.56
7.44,4.35,4.75,4.3,20.89,31.86,12.44,12.75
6.38,4.04,7.49,7.27,14.39,19.61,11.96,12.62
5.9,8.28,5.32,4.79,9.26,13.68,20.49,23.10
8.51,9.88,9.39,8.11,7.62,12.04,23.99,24.78
13.95,13.06,11.25,9.17,7.27,11.11,21.51,19.87
18.24,17.4,13.06,8.42,9.57,14.65,20.89,15.63
16.38,15.36,8.02,9.17,12.44,14.26,16.38,8.37
11.69,8.81,5.81,4.83,11.38,12.66,7.27,5.37
11.51,8.64,8.42,7.84,9.66,7.67,9.43,10.10
10.58,10.63,8.99,6.12,6.38,6.12,11.42,9.12
7.53,8.33,5.54,4.79,10.01,10.41,8.81,6.78
9.79,9.96,3.73,3.42,10.63,12.22,5.98,8.11
8.77,9.74,10.63,4.13,10.76,12.18,5.76,8.99
6.96,8.37,3.07,3.77,6.16,8.95,8.06,10.50
7.05,6.16,5.32,2.45,4.13,9.83,10.72,14.39
4.61,2.14,3.64,6.29,5.01,12.13,11.07,14.12
3.46,4.57,3.95,3.07,7.67,15.27,7.62,8.24
3.91,3.91,3.68,5.1,9.35,12.75,10.36,8.37
3.77,2.62,5.37,5.9,10.81,12.04,10.76,8.20
3.29,2.18,4.26,3.24,10.72,9.12,10.01,10.81
4.04,2.76,4.48,3.33,17.22,15.49,9.52,10.50
7.27,6.87,11.69,3.29,22.30,19.83,9.26,11.82
20.14,10.05,9.17,6.21,39.82,33.05,22.04,28.05
24.52,5.45,23.41,4.97,43.67,37.83,26.15,39.20
16.73,1.34,4.44,5.5,47.51,39.42,15.14,29.43
10.98,3.15,8.51,4.22,43.36,39.29,10.50,9.92
11.87,9.96,12.84,5.45,36.50,32.92,13.02,10.19
8.11,9.12,8.59,3.37,36.19,32.92,16.38,16.91
8.51,6.21,7.4,2.05,28.01,28.85,11.56,12.35
12.84,6.21,6.78,1.87,24.25,24.38,6.38,7.18
11.03,4.66,6.78,3.46,16.69,19.96,15.58,16.82
7.67,3.77,16.2,11.38,8.46,11.96,14.48,14.70
4.48,2.89,18.99,9.79,4.66,9.43,6.82,5.50
7.31,2.62,18.99,12.75,2.36,10.36,10.23,9.96
11.91,7.31,5.94,5.54,3.33,10.63,9.70,9.88
11.91,6.12,7.44,6.21,5.19,14.03,8.20,8.20
13.02,6.6,9.26,6.34,7.09,12.57,7.97,8.86
