ALPHA L,ALPHA R,BETA L,BETA R,DELTA L,DELTA R,THETA L,THETA R
6.47,5.67,7.53,4.75,13.28,10.41,16.25,4.08
9.66,10.58,12.35,38.85,21.64,8.02,25.58,6.43
17.93,13.11,32.08,11.78,35.53,9.48,28.23,11.16
26.86,10.72,12.84,11.96,40.66,10.81,27.26,13.86
26.2,12.09,13.95,8.73,39.64,19.08,25.75,9.61
27.79,21.33,18.63,15.14,34.20,27.74,27.35,12.53
30.04,31.68,10.36,5.67,23.99,31.81,28.98,21.55
19.7,28.32,12.8,19.3,24.96,35.00,42.56,28.72
14.48,18.9,21.91,26.86,17.84,30.58,42.83,24.12
22.79,21.42,19.3,24.78,19.25,25.89,23.10,16.47
25.62,29.69,22.79,29.29,18.19,22.08,29.56,24.07
17.88,28.59,16.86,34.73,30.35,20.00,30.66,17.66
11.56,15.54,13.72,11.51,28.28,25.00,13.68,18.37
11.47,5.45,14.17,18.24,26.42,34.60,13.37,19.12
5.54,6.69,12.13,10.98,18.41,49.28,7.89,10.72
19.96,11.42,15.85,22.66,26.15,54.06,10.27,10.23
36.15,17.53,22.22,24.34,25.18,52.42,9.21,16.64
33.72,15.8,13.15,16.25,23.15,42.92,11.96,9.12
12.53,26.15,13.99,9.26,16.51,35.04,16.42,14.03
10.1,41.1,7.13,11.03,26.82,32.83,9.08,36.63
5.94,24.25,10.41,11.47,32.96,30.80,6.12,42.83
19.96,16.73,9.7,28.23,37.92,32.96,16.82,40.79
25.8,13.02,18.85,20.89,34.38,35.84,36.94,40.57
18.77,18.5,7.27,9.52,33.94,39.77,54.90,39.73
27.79,29.91,19.7,9.74,31.73,42.78,33.49,25.05
27.17,30.84,7.49,14.79,42.78,47.12,19.43,7.80
14.74,18.77,4.88,17.79,47.47,51.14,24.56,12.35
4.3,13.5,8.11,8.86,56.14,48.89,12.26,8.90
14.39,18.15,7.8,36.9,58.09,47.60,8.68,11.78
19.52,22.39,14.52,26.95,50.83,36.28,24.43,30.93
21.2,15.01,34.69,23.9,53.40,29.29,43.27,38.54
14.08,5.28,8.64,16.07,39.73,19.83,46.06,18.41
4.08,5.76,26.15,14.03,43.18,27.17,34.51,9.12
5.72,6.74,8.06,6.47,36.55,38.58,17.79,14.83
4.75,7.89,3.95,6.03,36.02,53.35,11.47,7.93
11.47,11.51,9.66,7.49,37.70,58.22,11.87,6.82
20.89,11.16,38.27,11.56,30.88,53.40,13.24,9.52
28.28,11.34,11.51,6.6,27.08,50.43,19.16,6.96
