ALPHA L,ALPHA R,BETA L,BETA R,DELTA L,DELTA R,THETA L,THETA R
5.14,7.62,5.32,4.3,6.34,6.91,4.79,7.75
9.35,14.92,18.15,7.13,9.30,9.57,4.61,2.67
9.21,14.48,6.25,7.44,12.49,18.81,6.03,8.02
4.79,9.26,5.23,6.47,14.30,20.54,6.03,11.56
8.95,4.26,9.61,7.05,16.64,24.12,7.62,9.79
12.49,5.85,17.31,6.16,15.98,15.63,16.25,8.42
9.12,3.86,12.66,8.46,14.92,13.72,19.56,8.68
9.83,5.28,22.48,4.57,15.80,13.86,14.96,10.41
13.9,10.76,14.65,4.61,16.91,20.85,12.93,8.33
14.56,11.91,14.74,11.07,18.94,34.56,18.94,15.14
14.83,3.46,7.18,7.75,15.54,41.72,14.70,19.78
17.04,8.11,17.44,8.95,14.96,43.31,4.88,12.22
19.12,16.73,6.16,16.86,14.12,38.89,4.35,9.04
15.58,22.57,15.8,7.18,16.47,35.53,9.92,19.43
9.61,15.41,5.59,11.42,15.54,31.90,12.80,25.40
12.53,10.32,14.74,6.91,19.12,31.86,10.67,16.29
14.17,14.12,12.44,5.72,21.11,31.19,11.03,5.37
13.72,16.2,18.81,7.53,22.04,30.35,14.87,7.13
10.45,22.84,5.9,7.0,23.99,36.33,20.31,10.23
11.6,20.67,11.03,7.13,22.97,32.17,22.08,14.17
16.25,15.67,6.69,4.57,32.26,42.21,14.61,7.58
20.27,27.88,7.4,9.35,32.61,39.07,6.52,4.52
18.72,30.0,13.06,11.34,31.19,35.57,3.24,11.69
11.82,11.16,4.48,10.98,20.67,23.23,3.82,18.15
8.81,11.78,15.05,16.25,12.18,12.04,15.41,23.76
7.71,13.81,12.18,12.88,8.95,8.55,17.40,13.68
10.27,4.75,20.27,10.45,7.97,10.10,10.45,12.97
14.43,11.6,7.44,9.52,7.00,13.06,8.42,25.22
9.08,7.31,18.85,12.62,9.43,20.14,11.78,21.86
3.29,5.06,9.08,11.65,10.36,19.30,15.76,18.01
6.47,13.77,19.83,12.31,19.70,21.33,22.53,27.70
5.45,13.11,8.99,13.02,24.03,15.18,21.29,27.13
1.87,9.61,18.99,7.58,30.00,17.17,13.41,19.34
8.95,4.13,8.95,6.21,28.41,14.43,11.38,11.96
15.63,11.38,9.7,6.21,24.03,15.27,14.96,9.48
19.65,20.14,10.32,14.03,19.16,13.64,14.34,8.42
20.0,20.58,13.59,16.29,16.86,14.87,10.54,4.75
11.91,12.18,14.74,14.43,16.02,11.96,5.06,5.50
13.59,14.65,13.5,5.28,22.75,17.57,5.76,8.99
23.68,17.0,11.65,3.68,20.36,18.68,12.57,16.78
21.64,17.31,8.02,7.93,24.78,30.97,12.35,16.16
13.19,15.76,13.55,6.25,19.87,31.28,6.65,7.67
3.42,10.27,16.51,6.78,20.54,31.50,9.83,8.37
4.17,10.54,9.66,3.77,16.91,26.02,10.50,11.56
6.6,10.05,14.03,5.9,14.48,25.58,5.63,7.97
