TIME,PIP BETA R,PIP ALPHA R,PIP THETA R,PIP DELTA R,PIP BETA L,PIP ALPHA L,PIP THETA L,PIP DELTA L,BETA L,BETA R,ALPHA R,THETA R,DELTA R,ALPHA L,THETA L,DELTA L
sec.,B,B,B,B,A,A,A,A,A,B,B,B,B,A,A,A
0.125,===,===,===,===,===,===,===,===,0.81,8.95,6.96,===,===,0.63,===,===
0.250,===,===,===,===,===,===,===,===,1.03,3.11,7.84,6.47,===,0.90,1.07,===
0.375,===,===,===,===,===,===,===,===,1.61,7.36,13.37,4.66,14.34,1.47,1.83,2.09
0.500,===,===,===,===,===,===,===,===,0.81,7.44,14.26,18.55,18.94,1.47,2.31,3.60
0.625,===,===,===,===,===,===,===,===,1.69,10.72,14.96,32.52,17.66,1.30,1.65,3.86
0.750,===,===,===,===,===,===,===,===,7.58,15.18,6.65,35.48,19.61,2.62,2.36,3.60
0.875,===,===,===,===,===,===,===,===,10.85,37.34,13.50,23.15,18.41,11.42,4.88,4.13
1.000,===,===,===,===,===,===,===,===,20.27,48.44,23.37,11.65,24.60,29.34,22.57,8.24
1.125,===,===,===,===,===,===,===,===,21.51,14.03,15.36,29.69,25.58,36.28,31.15,17.00
1.250,===,===,===,===,===,===,===,===,10.63,44.82,17.44,48.22,35.97,23.99,22.79,27.21
1.375,===,===,===,===,===,===,===,===,7.31,6.34,18.06,48.13,33.63,5.01,8.51,27.44
1.500,===,===,===,===,===,===,===,===,2.18,8.81,10.10,23.63,38.58,3.68,3.24,25.40
1.625,===,===,===,===,===,===,===,===,2.36,4.30,3.82,8.02,30.66,1.87,2.62,13.37
1.750,===,===,===,===,===,===,===,===,0.85,5.23,2.36,7.27,21.29,0.85,0.99,8.51
1.875,===,===,===,===,===,===,===,===,0.99,10.01,5.85,15.05,12.09,1.43,1.47,3.29
2.000,===,===,===,===,===,===,===,===,1.65,5.19,10.50,19.12,11.29,1.65,1.65,2.80
2.125,===,===,===,===,===,===,===,===,4.97,10.89,10.36,20.31,21.07,2.45,2.31,3.29
2.250,===,===,===,===,===,===,===,===,12.80,24.21,11.03,14.34,28.32,8.59,3.24,5.76
2.375,===,===,===,===,===,===,===,===,14.43,21.38,22.84,14.21,39.07,21.64,14.12,10.67
2.500,===,===,===,===,===,===,===,===,35.93,31.99,24.74,30.44,40.75,21.51,19.03,22.04
2.625,===,===,===,===,===,===,===,===,13.77,8.11,25.84,36.50,42.30,9.08,20.45,34.47
2.750,===,===,===,===,===,===,===,===,16.25,14.12,20.93,21.55,43.80,10.85,25.31,41.15
2.875,===,===,===,===,===,===,===,===,9.30,12.13,18.06,18.50,46.41,19.03,28.14,50.79
3.000,===,===,===,===,===,===,===,===,8.06,8.55,16.95,19.12,47.16,17.17,22.75,42.92
3.125,===,===,===,===,===,===,===,===,4.92,15.98,15.14,14.92,48.36,9.88,18.41,48.05
3.250,===,===,===,===,===,===,===,===,13.11,19.83,6.60,17.22,37.39,3.86,12.18,31.02
3.375,===,===,===,===,===,===,===,===,8.51,13.50,15.10,19.08,33.23,12.00,14.87,25.05
3.500,===,===,===,===,===,===,===,===,18.63,23.94,29.34,15.14,20.49,27.17,10.41,11.51
3.625,===,===,===,===,===,===,===,===,18.24,20.58,29.87,16.55,18.19,32.08,16.73,13.59
3.750,===,===,===,===,===,===,===,===,9.96,7.58,16.78,19.52,16.29,20.98,26.82,20.31
3.875,===,===,===,===,===,===,===,===,11.87,17.97,8.46,12.88,14.70,8.95,17.17,23.54
4.000,===,===,===,===,===,===,===,===,10.32,9.48,14.12,11.29,14.74,7.22,5.01,23.28
4.125,38.68,58.82,70.51,85.49,51.53,51.53,53.88,75.59,9.66,10.36,14.03,10.98,11.34,5.28,3.20,15.49
4.250,36.22,57.10,68.63,85.29,48.55,48.55,52.16,74.71,4.97,7.58,11.38,10.58,18.72,3.20,10.36,14.48
4.375,34.08,55.14,66.90,85.39,45.96,45.96,50.67,74.41,5.94,7.62,8.28,7.31,23.63,10.54,15.14,12.00
4.500,33.51,54.75,66.35,85.39,45.02,45.02,50.90,74.02,17.09,13.50,5.81,14.83,40.26,15.63,19.92,13.19
4.625,34.37,56.00,66.35,85.39,45.96,45.96,52.86,73.73,16.51,36.19,25.62,32.74,46.06,14.79,43.71,11.25
4.750,36.01,58.27,66.59,85.00,47.84,47.84,56.31,75.39,15.23,17.88,27.83,47.34,44.64,11.38,63.92,19.56
4.875,37.93,61.02,68.16,85.10,50.43,50.43,60.24,77.75,7.97,18.94,13.50,49.37,41.37,11.91,54.68,24.47
5.000,38.86,62.67,69.57,87.16,53.96,53.96,64.16,80.39,20.98,15.49,3.11,51.19,30.62,26.24,26.20,36.24
5.125,39.07,62.75,70.59,87.65,57.88,57.88,67.45,83.43,26.37,3.95,4.17,39.11,36.86,34.29,17.75,36.55
5.250,39.32,63.53,71.29,87.65,61.18,61.18,70.82,86.08,8.33,9.48,10.50,15.36,33.10,16.86,30.71,37.96
5.375,39.75,64.94,72.16,87.55,63.22,63.22,73.18,88.24,28.72,16.33,30.27,28.14,31.24,23.68,25.00,36.28
5.500,39.71,65.73,73.02,87.06,64.24,64.24,74.04,89.02,22.17,11.25,35.53,29.38,25.62,35.31,12.04,40.04
5.625,38.97,66.27,73.10,87.16,64.63,64.63,73.73,88.63,7.09,4.97,23.50,23.90,19.78,21.20,13.15,38.62
5.750,37.58,66.75,73.10,88.24,64.47,64.47,73.65,88.14,10.98,6.60,28.72,20.80,27.17,10.27,18.55,42.38
5.875,36.22,66.82,72.86,88.63,64.24,64.24,74.20,88.53,13.95,5.14,37.30,20.31,32.17,19.70,24.25,37.39
6.000,35.44,66.75,73.10,88.73,64.47,64.47,74.82,89.51,4.97,3.55,33.18,23.63,34.25,21.51,12.13,35.48
6.125,35.04,67.14,73.88,88.92,64.86,64.86,75.45,89.90,6.78,11.87,32.26,42.96,28.36,21.24,17.26,28.14
6.250,34.97,67.92,75.45,89.61,65.25,65.25,76.31,90.39,6.29,5.85,20.00,57.82,21.73,13.33,36.94,25.80
6.375,35.44,69.18,76.78,90.10,66.35,66.35,77.02,90.98,9.08,15.94,4.04,50.39,33.10,11.78,35.18,39.47
6.500,35.69,69.25,77.18,90.49,66.51,66.51,77.18,91.67,28.28,24.69,12.09,46.98,44.64,19.83,31.81,50.04
6.625,35.37,68.47,78.27,91.37,65.80,65.80,77.73,92.75,24.03,10.54,16.42,38.18,52.20,28.32,28.05,58.66
