TIME,PIP BETA R,PIP ALPHA R,PIP THETA R,PIP DELTA R,PIP BETA L,PIP ALPHA L,PIP THETA L,PIP DELTA L,BETA L,BETA R,ALPHA R,THETA R,DELTA R,ALPHA L,THETA L,DELTA L
sec.,B,B,B,B,A,A,A,A,A,B,B,B,B,A,A,A
0.125,===,===,===,===,===,===,===,===,2.84,4.70,7.84,===,===,1.74,===,===
0.250,===,===,===,===,===,===,===,===,4.08,2.84,4.26,5.76,===,3.15,4.70,===
0.375,===,===,===,===,===,===,===,===,11.91,6.43,3.68,3.99,8.11,4.04,13.64,13.77
0.500,===,===,===,===,===,===,===,===,6.34,5.37,5.81,13.81,11.42,4.22,18.63,24.03
0.625,===,===,===,===,===,===,===,===,6.34,3.91,5.94,22.26,18.28,2.84,20.36,40.31
0.750,===,===,===,===,===,===,===,===,10.19,3.60,5.41,22.30,20.49,4.61,22.13,40.97
0.875,===,===,===,===,===,===,===,===,2.98,4.39,3.82,19.61,21.91,4.83,24.16,38.32
1.000,===,===,===,===,===,===,===,===,9.57,7.22,6.29,14.34,24.87,5.23,15.23,22.97
1.125,===,===,===,===,===,===,===,===,8.20,7.80,5.59,7.80,26.90,7.53,7.05,21.60
1.250,===,===,===,===,===,===,===,===,6.16,4.44,12.00,13.59,32.12,14.79,13.86,21.15
1.375,===,===,===,===,===,===,===,===,19.78,24.43,22.57,32.03,22.13,19.56,37.65,18.50
1.500,===,===,===,===,===,===,===,===,17.22,6.16,24.07,35.04,22.79,16.25,48.40,17.93
1.625,===,===,===,===,===,===,===,===,5.14,15.05,13.11,19.52,25.14,4.75,33.01,23.37
1.750,===,===,===,===,===,===,===,===,2.89,7.13,6.43,5.85,45.48,5.94,7.84,38.76
1.875,===,===,===,===,===,===,===,===,5.37,6.03,4.79,6.82,44.07,5.32,8.51,44.55
2.000,===,===,===,===,===,===,===,===,9.57,11.38,5.63,8.55,46.36,1.96,11.96,41.41
2.125,===,===,===,===,===,===,===,===,9.66,4.92,9.30,11.42,32.52,8.99,17.62,34.82
2.250,===,===,===,===,===,===,===,===,8.06,9.17,15.76,13.81,29.25,18.94,9.83,28.63
2.375,===,===,===,===,===,===,===,===,8.59,7.18,16.47,18.10,19.70,20.09,4.83,27.88
2.500,===,===,===,===,===,===,===,===,7.00,4.66,13.68,12.49,11.87,12.57,10.36,24.65
2.625,===,===,===,===,===,===,===,===,5.41,3.64,11.78,6.60,7.40,8.20,10.67,19.87
2.750,===,===,===,===,===,===,===,===,9.70,5.76,8.46,10.23,5.94,8.81,10.72,15.14
2.875,===,===,===,===,===,===,===,===,8.99,6.69,5.63,14.08,9.17,9.57,11.16,14.30
3.000,===,===,===,===,===,===,===,===,2.84,3.15,4.88,12.66,13.77,9.17,6.47,17.66
3.125,===,===,===,===,===,===,===,===,4.70,7.58,2.98,10.14,11.82,6.56,4.04,15.76
