TIME,PIP BETA R,PIP ALPHA R,PIP THETA R,PIP DELTA R,PIP BETA L,PIP ALPHA L,PIP THETA L,PIP DELTA L,BETA L,BETA R,ALPHA R,THETA R,DELTA R,ALPHA L,THETA L,DELTA L
sec.,B,B,B,B,A,A,A,A,A,B,B,B,B,A,A,A
0.125,===,===,===,===,===,===,===,===,1.03,12.26,4.08,===,===,0.81,===,===
0.250,===,===,===,===,===,===,===,===,1.34,2.62,4.08,12.44,===,1.43,0.99,===
0.375,===,===,===,===,===,===,===,===,2.67,4.22,3.02,6.21,19.03,3.60,2.31,1.07
0.500,===,===,===,===,===,===,===,===,1.96,2.14,3.20,3.86,10.76,5.59,3.15,1.34
0.625,===,===,===,===,===,===,===,===,7.71,2.40,2.62,5.10,6.96,5.37,2.98,1.65
0.750,===,===,===,===,===,===,===,===,3.15,1.78,3.24,7.93,3.11,2.36,5.59,2.00
0.875,===,===,===,===,===,===,===,===,5.45,2.40,4.79,8.68,2.40,3.82,7.97,2.49
1.000,===,===,===,===,===,===,===,===,5.72,3.15,5.94,7.31,1.56,4.52,8.28,4.66
1.125,===,===,===,===,===,===,===,===,6.47,4.17,6.25,4.61,1.52,3.46,5.19,5.98
1.250,===,===,===,===,===,===,===,===,8.99,3.51,6.03,3.82,2.18,3.99,2.89,7.58
1.375,===,===,===,===,===,===,===,===,4.61,4.04,6.07,5.90,2.89,5.32,2.36,7.62
1.500,===,===,===,===,===,===,===,===,4.22,1.61,4.79,5.28,3.77,4.66,3.55,6.21
1.625,===,===,===,===,===,===,===,===,3.15,1.65,4.52,4.83,3.42,2.49,4.88,5.01
1.750,===,===,===,===,===,===,===,===,1.30,2.71,4.83,6.74,3.33,1.69,4.97,3.24
1.875,===,===,===,===,===,===,===,===,5.32,1.83,4.44,9.52,3.33,3.37,7.18,4.75
2.000,===,===,===,===,===,===,===,===,2.45,3.46,3.68,9.12,3.15,3.42,9.66,5.06
2.125,===,===,===,===,===,===,===,===,4.44,3.42,3.02,7.13,3.15,1.83,9.61,5.23
2.250,===,===,===,===,===,===,===,===,2.49,2.14,2.05,6.12,2.80,1.34,7.00,4.08
2.375,===,===,===,===,===,===,===,===,2.89,3.95,1.34,4.08,3.64,1.56,3.24,2.89
2.500,===,===,===,===,===,===,===,===,3.15,2.98,1.16,2.22,3.55,3.77,3.95,2.00
2.625,===,===,===,===,===,===,===,===,2.14,3.33,2.80,3.15,3.68,4.57,5.06,2.53
2.750,===,===,===,===,===,===,===,===,5.98,2.00,4.52,4.48,2.53,3.55,3.77,3.95
2.875,===,===,===,===,===,===,===,===,4.22,4.04,4.88,4.57,2.98,3.20,1.56,6.21
3.000,===,===,===,===,===,===,===,===,4.13,3.15,3.07,4.08,2.49,4.35,2.05,8.02
3.125,===,===,===,===,===,===,===,===,6.25,3.46,1.47,4.30,2.71,6.07,1.30,7.62
3.250,===,===,===,===,===,===,===,===,5.10,2.09,1.25,3.73,1.74,6.38,2.00,6.96
3.375,===,===,===,===,===,===,===,===,5.50,3.02,1.52,1.87,1.87,3.95,2.22,3.68
3.500,===,===,===,===,===,===,===,===,2.62,3.64,1.30,2.53,2.05,1.12,2.05,2.76
3.625,===,===,===,===,===,===,===,===,4.83,3.33,1.25,4.39,2.89,2.31,2.58,2.45
3.750,===,===,===,===,===,===,===,===,5.59,4.61,2.58,4.26,3.60,1.30,2.71,4.13
3.875,===,===,===,===,===,===,===,===,1.69,2.00,2.71,3.29,3.91,2.14,3.42,4.92
4.000,===,===,===,===,===,===,===,===,3.86,1.83,2.14,2.40,3.64,3.82,3.20,4.92
4.125,2.07,6.04,10.12,11.08,7.14,7.14,10.35,20.78,6.56,2.93,2.36,1.78,2.80,3.68,2.05,4.08
4.250,2.17,5.80,9.80,10.88,6.82,6.82,9.80,20.10,4.66,6.12,2.14,2.71,1.87,1.92,1.61,2.89
4.375,2.46,5.49,9.49,10.69,6.59,6.59,9.65,19.41,5.67,4.04,2.93,3.95,1.87,2.45,1.25,2.84
4.500,2.64,5.33,9.25,10.78,6.35,6.35,9.49,18.92,3.24,2.71,2.58,3.82,2.31,2.40,1.83,2.93
4.625,2.71,4.86,8.94,11.67,6.35,6.35,9.73,18.82,9.35,4.52,1.12,3.07,4.57,2.98,3.68,4.13
4.750,2.78,4.47,8.78,12.84,6.43,6.43,10.04,19.31,5.45,2.09,2.62,3.73,5.76,4.13,5.10,5.37
4.875,2.82,4.24,8.55,14.12,6.51,6.51,10.35,20.10,8.33,2.31,3.91,5.32,5.98,3.02,6.07,10.14
5.000,2.89,4.16,8.47,15.69,6.67,6.67,10.75,21.86,4.75,1.92,3.60,6.34,4.75,2.89,5.98,14.34
5.125,2.89,4.00,8.63,17.55,6.51,6.51,10.90,24.31,2.80,4.57,2.27,8.42,4.08,4.04,8.59,17.75
5.250,2.92,3.92,8.94,19.41,6.67,6.67,11.29,27.06,2.18,3.11,2.67,8.11,5.37,5.06,7.53,19.16
5.375,2.85,3.92,8.94,20.88,6.90,6.90,11.29,29.61,3.42,3.46,3.82,5.19,6.60,5.98,3.99,15.71
5.500,2.92,3.84,8.78,21.27,7.22,7.22,11.14,31.18,2.93,4.66,4.04,4.22,6.12,6.07,3.07,13.06
5.625,2.96,3.92,8.78,21.37,7.45,7.45,10.82,31.86,3.07,3.64,3.11,4.35,4.52,5.14,2.80,6.38
5.750,2.99,3.92,9.02,21.37,7.37,7.37,10.59,31.76,3.55,2.80,1.78,5.81,3.91,3.42,2.40,5.41
5.875,3.07,3.61,9.73,22.16,7.37,7.37,10.20,31.47,6.43,6.74,1.21,8.99,5.63,1.96,3.51,3.42
6.000,3.24,3.45,10.59,23.53,7.45,7.45,10.20,31.27,7.00,4.44,2.14,9.79,7.49,5.28,2.80,3.55
6.125,3.42,3.37,11.84,25.59,7.69,7.69,10.43,31.27,6.87,5.19,1.21,11.07,9.30,5.37,1.78,5.23
6.250,3.49,3.37,12.86,27.45,7.76,7.76,10.67,32.16,2.22,2.67,4.26,8.42,9.48,3.11,1.96,6.78
6.375,3.67,3.76,13.57,28.33,7.53,7.53,11.06,33.14,3.11,3.20,5.85,2.84,7.62,2.76,3.33,8.55
6.500,3.71,3.92,13.73,28.43,7.37,7.37,11.69,34.12,2.84,4.70,4.48,2.98,4.39,3.91,2.84,7.27
6.625,3.74,4.08,13.73,28.33,7.69,7.69,12.24,34.61,4.35,4.13,1.38,3.33,1.87,4.22,5.94,6.03
6.750,3.92,4.24,13.65,28.63,8.00,8.00,13.10,34.51,4.48,6.21,3.33,3.15,2.36,3.42,7.49,4.70
6.875,4.03,4.39,13.73,29.22,8.63,8.63,13.96,34.71,4.17,1.69,3.82,2.80,4.44,3.86,5.41,4.13
7.000,4.10,4.63,13.96,29.90,9.10,9.10,14.98,35.59,3.02,4.97,2.18,3.68,5.28,3.60,5.19,5.72
7.125,4.17,4.71,14.59,30.88,9.49,9.49,16.00,36.96,4.22,4.04,2.14,7.89,7.49,3.02,5.41,7.13
7.250,4.24,4.94,15.61,32.25,9.80,9.80,17.25,39.02,3.51,5.10,4.57,10.14,7.18,4.83,3.82,10.23
7.375,4.21,5.25,16.71,34.41,10.20,10.20,18.90,42.06,3.55,5.67,4.35,7.40,10.94,2.45,7.80,14.65
7.500,4.10,5.88,17.57,36.86,10.59,10.59,20.63,45.20,2.84,2.14,5.59,3.29,11.11,4.57,13.28,17.44
7.625,4.06,6.67,18.43,38.82,11.29,11.29,22.27,47.94,4.75,2.84,7.00,6.60,11.34,7.44,16.16,21.20
7.750,3.96,7.29,19.06,39.41,11.92,11.92,23.22,49.90,3.20,3.55,5.76,6.87,7.84,6.60,14.74,17.31
7.875,3.96,7.69,19.29,38.92,12.00,12.00,23.84,51.27,7.71,2.53,3.64,3.86,5.50,3.64,10.76,14.92
8.000,3.96,7.92,19.22,37.75,11.92,11.92,23.92,51.27,3.99,2.18,1.43,3.07,3.95,2.89,6.69,8.95
8.125,3.96,7.84,18.67,36.18,11.53,11.53,23.37,50.59,4.75,2.80,2.58,4.35,2.98,1.61,5.37,7.75
8.250,4.17,8.00,18.04,34.61,11.53,11.53,22.98,49.02,7.27,6.74,4.83,6.03,2.14,1.96,9.04,7.13
8.375,4.24,8.16,17.80,33.43,11.22,11.22,22.82,47.35,6.56,1.87,4.17,5.98,2.49,1.61,10.10,7.00
8.500,4.28,8.24,17.57,32.75,10.98,10.98,23.37,45.78,2.58,2.18,1.65,4.52,3.68,2.84,8.51,5.59
8.625,4.31,8.39,17.65,32.84,10.67,10.67,24.00,45.69,4.39,2.00,2.89,4.44,5.06,2.05,7.05,6.34
8.750,4.31,8.39,18.20,33.14,10.59,10.59,24.94,46.86,3.60,2.40,3.07,8.02,6.16,2.18,7.67,6.65
8.875,4.31,8.31,19.06,34.31,10.51,10.51,25.96,48.73,5.37,4.52,1.61,10.27,7.49,3.33,10.14,10.67
9.000,4.24,8.31,19.22,34.90,10.35,10.35,27.06,50.39,5.32,1.03,1.38,11.07,7.75,2.05,9.21,11.38
9.125,4.14,8.24,18.67,34.31,10.20,10.20,27.53,51.27,2.14,5.01,1.65,9.74,6.91,2.40,6.03,13.64
9.250,4.03,8.08,17.80,33.04,9.96,9.96,27.61,50.98,4.79,2.93,1.47,5.81,4.39,5.10,3.02,10.94
9.375,3.85,7.84,17.02,32.06,9.96,9.96,27.37,49.90,4.79,3.82,0.85,3.33,3.29,5.72,3.37,8.86
9.500,3.78,7.53,17.10,31.86,10.12,10.12,27.22,48.82,3.07,2.67,1.03,5.14,3.99,6.03,4.13,5.28
9.625,3.60,7.37,17.57,32.35,10.20,10.20,27.06,48.53,3.68,2.14,3.15,8.20,6.69,5.23,5.50,3.86
9.750,3.46,7.45,18.20,33.04,10.35,10.35,26.82,48.73,2.58,2.05,4.52,7.40,7.13,4.52,3.55,3.51
9.875,3.32,7.61,18.51,33.63,10.20,10.20,26.35,49.12,2.45,3.64,3.51,4.92,8.33,2.93,4.35,5.98
10.000,3.28,7.53,18.67,34.31,9.80,9.80,25.65,49.12,1.96,4.04,1.61,5.41,7.00,2.76,6.21,5.85
10.125,3.14,7.37,18.90,34.61,9.65,9.65,25.65,48.92,3.68,1.25,3.46,8.68,7.53,5.98,6.25,8.59
10.250,3.17,7.69,19.61,34.80,9.73,9.73,26.35,49.31,4.57,4.35,3.91,13.95,7.27,5.72,14.34,9.21
10.375,3.21,7.84,20.00,34.80,9.80,9.80,27.45,49.61,4.30,1.83,1.61,14.83,8.15,2.62,18.01,14.17
10.500,3.10,7.84,20.39,34.71,9.73,9.73,28.16,49.51,1.52,1.47,3.77,10.32,9.17,2.27,13.06,17.04
10.625,2.92,7.37,20.08,33.82,9.25,9.25,27.92,49.02,2.76,1.61,4.75,5.06,8.20,2.53,5.85,16.73
10.750,2.78,6.75,19.53,32.65,8.55,8.55,26.75,47.94,2.49,2.93,2.89,2.71,6.56,1.25,2.45,13.33
10.875,2.71,6.20,19.14,31.76,7.61,7.61,25.41,46.76,5.10,1.52,3.42,5.45,3.86,1.34,2.31,7.93
11.000,2.67,5.88,19.14,31.67,7.22,7.22,24.24,45.59,1.87,3.91,4.13,6.16,2.45,1.74,2.31,6.34
11.125,2.60,6.04,19.53,32.06,7.06,7.06,23.69,45.10,6.34,1.78,1.52,7.44,2.31,3.24,4.22,4.35
11.250,2.64,6.27,20.16,32.35,7.14,7.14,23.69,44.61,5.06,3.07,3.99,9.43,2.53,3.11,5.98,2.84
11.375,2.53,6.59,21.10,32.45,7.37,7.37,23.76,44.31,8.90,4.04,5.28,10.85,2.98,2.67,8.24,2.31
11.500,2.46,6.82,21.65,31.86,7.53,7.53,23.69,44.22,4.79,2.18,3.51,8.59,2.76,4.92,10.81,2.40
11.625,2.39,6.67,21.88,30.88,8.00,8.00,23.84,44.51,3.07,2.89,2.00,3.73,2.71,4.92,8.99,2.93
11.750,2.35,6.59,21.80,30.00,8.39,8.39,24.00,44.90,1.65,2.00,2.18,2.09,3.07,2.58,3.15,4.97
11.875,2.28,6.67,21.18,29.31,8.31,8.31,23.69,45.00,3.37,3.07,3.11,2.84,5.10,1.92,2.05,9.61
12.000,2.25,6.67,20.71,29.61,8.39,8.39,23.22,45.39,4.17,2.27,3.68,4.39,8.37,3.42,3.33,14.48
12.125,2.32,6.98,20.08,30.49,8.39,8.39,23.22,46.67,2.05,1.47,3.29,3.86,11.07,4.97,4.52,18.85
12.250,2.25,7.37,20.00,31.96,8.47,8.47,23.92,48.04,4.08,5.19,2.09,2.18,14.17,4.13,9.21,23.45
12.375,2.32,7.53,19.76,33.53,8.47,8.47,25.02,50.00,6.25,1.34,3.55,3.20,11.20,3.15,12.75,21.29
12.500,2.39,7.84,19.37,34.41,8.31,8.31,25.80,51.67,5.59,3.42,5.01,2.49,10.36,3.29,9.92,17.93
12.625,2.42,8.16,18.75,35.20,8.08,8.08,26.35,52.65,3.60,3.24,4.22,1.96,6.34,1.47,5.41,9.04
12.750,2.42,8.16,18.12,36.08,7.84,7.84,26.59,53.63,2.76,3.29,3.20,2.00,8.86,2.36,3.07,9.79
12.875,2.42,7.84,17.80,37.25,7.45,7.45,26.90,55.29,4.13,3.51,3.20,3.51,9.08,2.67,4.57,9.96
13.000,2.42,7.84,17.96,38.73,7.29,7.29,27.45,57.65,1.96,3.73,3.24,4.08,10.19,2.93,7.27,13.41
13.125,2.46,7.61,18.04,39.61,7.29,7.29,28.00,59.71,2.22,2.22,3.55,3.15,9.26,4.08,7.31,14.65
13.250,2.53,7.69,17.73,39.90,7.14,7.14,28.08,60.88,6.52,4.08,3.60,2.53,6.74,3.95,3.51,12.97
13.375,2.50,7.37,16.47,39.51,6.90,6.90,27.06,60.39,2.67,1.83,2.93,1.96,4.92,3.07,7.62,12.44
13.500,2.50,7.06,15.06,38.73,6.43,6.43,25.57,59.31,8.77,5.59,3.15,1.43,2.84,1.69,6.78,9.52
13.625,2.46,6.82,13.57,37.16,6.35,6.35,24.16,57.84,4.08,1.52,3.37,2.58,3.55,1.87,3.02,9.17
13.750,2.42,6.75,12.71,35.78,6.43,6.43,23.14,56.37,6.16,2.71,2.27,2.14,4.08,3.68,3.77,8.99
13.875,2.50,6.75,12.55,34.90,6.82,6.82,23.06,55.49,2.00,2.71,3.37,2.22,4.97,5.45,2.58,8.55
14.000,2.57,6.82,12.71,35.49,7.06,7.06,23.45,56.67,2.22,2.40,2.80,5.67,5.37,4.70,5.23,13.64
14.125,2.57,6.82,12.94,37.06,7.29,7.29,24.31,58.63,4.79,2.58,2.31,7.40,9.30,3.46,10.01,17.53
14.250,2.60,6.59,13.10,39.31,7.45,7.45,25.57,60.78,5.41,2.89,2.89,7.67,12.18,1.52,13.50,28.36
14.375,2.46,6.12,12.71,41.57,7.84,7.84,26.75,62.94,4.39,3.15,1.56,5.50,15.01,4.75,11.11,26.99
14.500,2.46,5.49,11.92,43.82,8.31,8.31,27.06,64.61,5.85,2.40,1.74,5.19,14.17,7.05,11.87,29.87
14.625,2.42,5.10,11.29,45.69,8.86,8.86,27.29,66.37,3.68,1.96,2.31,3.82,9.83,7.71,9.35,18.32
14.750,2.46,4.94,11.45,47.65,9.02,9.02,27.69,67.45,4.04,2.71,1.87,4.70,6.69,5.37,3.15,13.72
14.875,2.42,5.02,12.16,49.61,9.57,9.57,28.39,68.14,5.63,2.05,2.05,7.89,6.65,5.19,11.69,8.28
15.000,2.46,5.02,12.94,51.27,10.20,10.20,29.80,68.53,5.23,1.78,3.02,7.58,8.28,9.17,15.94,7.27
15.125,2.39,5.10,13.18,51.67,11.06,11.06,30.90,67.94,8.06,4.04,5.63,3.99,8.59,8.37,15.67,7.75
15.250,2.50,5.41,13.18,50.88,11.61,11.61,31.45,67.06,7.75,3.55,7.71,2.67,5.01,4.83,11.87,8.95
15.375,2.50,5.88,13.02,49.80,11.76,11.76,31.29,66.27,7.71,5.54,8.99,5.32,4.08,4.83,6.65,11.56
15.500,2.53,6.59,13.25,49.22,12.31,12.31,30.98,65.69,2.71,4.66,9.12,4.92,5.67,5.85,2.58,11.87
15.625,2.57,7.22,13.73,49.12,13.10,13.10,30.98,65.59,2.98,3.02,8.06,4.13,5.72,7.18,4.75,8.42
15.750,2.53,7.92,14.27,48.92,13.96,13.96,31.61,66.47,9.30,3.55,9.04,3.15,6.65,4.35,7.05,8.51
15.875,2.64,8.55,14.90,48.82,15.76,15.76,33.33,68.04,12.88,4.17,7.36,3.29,6.21,9.57,13.64,11.69
16.000,2.78,9.25,15.45,49.51,18.67,18.67,35.29,68.73,14.87,1.61,1.52,6.87,10.19,25.80,19.47,18.46
16.125,2.82,9.80,16.08,50.69,22.20,22.20,37.41,69.31,32.74,3.86,6.47,6.96,19.43,35.09,26.15,28.36
16.250,2.89,10.35,16.78,51.96,25.49,25.49,39.69,70.20,6.78,3.33,8.68,4.39,25.00,24.16,25.53,35.97
16.375,2.85,10.98,17.33,53.92,28.31,28.31,41.88,71.47,8.68,3.20,6.25,2.58,30.09,7.40,15.49,44.02
16.500,2.85,11.14,17.73,56.08,29.41,29.41,42.98,73.43,2.58,5.23,1.96,6.07,27.17,4.04,7.00,45.61
16.625,2.89,11.22,18.51,58.53,29.57,29.57,43.45,75.49,3.99,2.05,2.31,7.53,21.73,3.86,7.18,37.78
16.750,2.85,11.14,19.14,60.20,29.57,29.57,43.92,77.06,2.22,3.24,1.56,7.18,15.01,3.42,9.74,27.30
16.875,2.92,11.22,19.76,62.06,29.73,29.73,44.39,78.53,3.95,2.18,3.15,7.13,8.46,7.00,8.81,14.52
17.000,2.99,11.22,20.16,63.33,30.35,30.35,44.86,80.39,2.22,4.26,3.20,5.85,9.83,9.88,5.81,18.99
17.125,2.99,11.45,20.47,64.02,31.53,31.53,46.20,81.18,2.49,1.96,3.07,3.42,10.94,9.17,11.65,23.99
17.250,3.10,11.76,20.55,63.63,32.86,32.86,47.53,81.18,2.58,5.01,5.59,5.19,11.11,9.35,18.59,28.14
17.375,3.24,12.24,20.55,62.94,34.12,34.12,48.55,81.18,3.24,4.44,7.75,8.15,10.45,12.18,20.00,30.04
17.500,3.32,12.78,20.47,62.25,35.14,35.14,49.57,81.37,3.51,2.09,7.05,5.41,9.26,7.44,11.16,23.41
17.625,3.32,13.18,20.55,61.57,35.53,35.53,50.51,81.67,6.52,2.31,6.29,2.18,9.92,2.71,4.61,19.74
17.750,3.24,13.57,20.71,61.47,35.53,35.53,51.14,81.57,6.52,1.30,5.94,5.37,9.21,7.44,11.03,12.00
17.875,3.24,13.96,20.78,61.27,35.84,35.84,51.92,81.76,12.22,2.53,6.60,7.97,11.11,10.98,19.43,16.86
18.000,3.21,14.43,20.47,60.59,36.31,36.31,52.08,81.76,6.91,3.55,6.87,6.96,10.27,11.96,21.95,19.03
18.125,3.17,14.67,19.84,59.71,36.31,36.31,52.08,82.65,6.38,1.78,6.96,4.30,11.96,10.45,16.82,28.28
18.250,3.24,15.06,19.37,59.02,36.31,36.31,51.69,83.73,2.89,3.64,7.36,3.51,9.12,5.59,10.41,28.41
18.375,3.17,15.06,19.22,58.73,36.31,36.31,51.37,84.22,2.62,3.73,6.52,4.83,10.94,2.14,6.29,35.18
18.500,3.14,14.67,19.37,59.12,36.31,36.31,51.61,84.71,5.28,2.05,3.07,5.94,9.39,4.61,9.92,33.36
18.625,2.99,13.96,19.76,60.20,36.16,36.16,52.31,85.49,5.32,1.74,1.92,6.47,15.85,5.98,13.86,40.84
18.750,2.92,13.10,19.76,61.57,35.84,35.84,53.41,86.76,6.16,1.43,2.98,6.21,16.11,6.21,11.60,44.33
18.875,2.71,12.39,19.84,63.14,35.37,35.37,53.18,87.55,4.44,1.69,3.55,7.13,19.61,3.64,8.68,43.27
19.000,2.67,11.69,19.76,64.02,33.73,33.73,51.53,87.45,5.72,3.15,2.05,6.16,14.48,2.80,5.72,38.14
19.125,2.57,11.06,19.29,63.14,30.75,30.75,49.25,86.86,2.09,2.58,2.14,4.79,10.72,5.54,5.85,23.90
19.250,2.42,10.35,18.20,60.10,27.61,27.61,46.67,85.00,3.73,2.53,1.52,3.33,5.23,4.61,3.91,14.74
19.375,2.35,9.73,17.41,56.86,24.47,24.47,43.84,83.24,2.98,3.68,0.99,4.04,2.05,3.37,4.30,7.84
19.500,2.25,9.18,16.78,54.02,21.96,21.96,41.25,81.67,6.38,1.52,2.45,4.44,1.74,3.42,2.76,9.70
19.625,2.25,8.94,16.31,51.76,21.10,21.10,39.92,80.49,2.53,2.93,1.56,4.79,2.71,4.83,7.58,12.04
19.750,2.21,8.86,15.92,50.00,21.33,21.33,39.53,79.61,9.08,1.74,2.53,4.75,3.46,7.84,7.40,11.03
19.875,2.10,9.02,15.69,49.12,21.73,21.73,39.29,79.31,3.73,4.35,4.13,6.91,3.02,8.51,7.27,10.36
20.000,2.10,8.78,15.53,48.82,22.12,22.12,39.84,79.80,1.52,3.55,3.91,7.53,3.33,7.49,8.86,17.75
20.125,2.10,8.71,15.37,48.82,21.80,21.80,40.55,80.39,3.07,5.50,2.58,6.69,4.52,5.01,11.69,26.86
20.250,2.14,8.24,14.90,49.12,20.94,20.94,40.78,81.18,6.16,1.78,2.00,5.67,6.87,4.44,13.64,33.01
20.375,2.07,7.92,14.51,48.73,20.39,20.39,41.02,81.96,16.33,4.79,1.96,3.91,8.90,3.07,12.80,32.48
20.500,2.10,8.00,14.35,48.33,21.10,21.10,41.80,82.45,11.91,2.00,5.37,4.13,9.88,15.10,17.93,22.97
20.625,2.14,8.08,14.59,48.33,22.82,22.82,43.14,82.45,37.48,1.12,6.96,6.21,9.70,24.91,40.88,17.48
20.750,2.07,8.39,15.14,48.43,25.02,25.02,44.71,82.45,9.79,2.93,4.30,6.21,8.46,21.60,40.88,9.88
20.875,2.14,8.39,15.14,47.75,26.67,26.67,45.73,81.47,12.31,2.53,4.04,2.84,6.47,8.37,23.23,8.95
21.000,2.21,8.24,14.67,46.86,26.90,26.90,45.65,80.29,4.83,1.87,4.61,3.51,4.52,3.86,11.82,7.18
21.125,2.21,7.92,14.51,46.18,26.12,26.12,44.94,79.41,3.55,2.45,1.96,2.58,4.83,3.86,4.26,8.77
21.250,2.17,7.76,14.75,46.47,25.57,25.57,44.24,78.33,3.91,1.74,3.82,3.37,5.45,2.80,7.80,9.79
21.375,2.17,7.53,15.14,46.86,25.25,25.25,44.00,77.75,3.20,2.05,5.54,5.85,9.48,4.83,10.98,11.47
21.500,2.14,7.37,15.29,47.45,24.94,24.94,43.69,77.06,5.45,2.05,5.85,5.85,9.74,5.63,8.64,12.88
21.625,2.14,7.22,15.06,46.57,24.55,24.55,42.98,76.57,4.61,1.65,5.37,3.60,9.35,4.92,6.65,17.13
21.750,2.14,7.22,14.35,44.41,24.24,24.24,41.73,75.88,3.91,4.30,5.76,3.46,6.52,3.73,4.97,18.19
21.875,2.21,7.37,14.20,41.86,23.92,23.92,40.78,75.10,3.51,3.60,6.52,5.41,4.57,2.36,2.93,19.03
22.000,2.32,7.61,14.20,39.71,23.61,23.61,40.31,74.31,3.37,3.33,4.70,6.69,4.22,1.92,2.76,15.23
22.125,2.32,8.08,14.43,38.53,23.37,23.37,40.16,73.33,7.05,3.07,2.76,6.03,5.32,1.34,3.55,13.28
22.250,2.35,8.71,14.59,38.73,23.22,23.22,40.31,72.25,2.49,2.09,6.91,4.92,7.49,2.53,4.17,9.43
22.375,2.46,9.65,14.98,39.80,23.29,23.29,40.55,72.55,11.96,3.33,10.19,4.30,7.18,1.56,1.83,8.64
22.500,2.53,10.59,15.29,41.08,23.37,23.37,40.71,73.53,9.39,4.48,8.37,4.48,4.97,3.20,3.51,9.48
22.625,2.75,11.29,16.08,42.45,23.69,23.69,41.18,74.31,3.91,3.91,3.51,6.03,6.16,2.14,3.99,18.94
22.750,2.78,11.76,17.33,43.82,24.00,24.00,41.96,75.00,3.24,2.71,2.05,10.19,9.74,5.14,10.19,21.86
22.875,2.89,11.92,18.67,45.10,24.39,24.39,43.45,75.88,3.60,1.96,3.68,11.51,14.87,7.09,13.86,26.46
23.000,2.89,12.00,19.76,45.98,24.55,24.55,44.24,75.88,6.25,4.75,3.91,6.34,17.44,4.26,10.58,23.81
23.125,2.96,12.00,20.24,46.27,24.63,24.63,43.92,75.69,3.64,2.58,3.37,3.29,16.47,2.93,7.22,23.15
23.250,2.89,12.08,20.31,45.78,24.63,24.63,43.22,75.20,2.67,2.62,2.49,3.24,13.11,7.00,8.20,19.70
23.375,2.89,12.31,20.24,44.90,25.02,25.02,42.51,74.41,3.95,4.52,2.53,2.76,7.09,5.76,9.08,17.70
23.500,2.92,12.24,20.31,44.22,24.63,24.63,40.86,72.75,3.95,2.36,4.22,3.37,5.37,5.50,4.22,14.21
23.625,2.85,12.00,20.24,43.82,23.06,23.06,38.27,70.39,3.60,2.45,3.55,3.07,7.58,6.87,4.44,13.24
23.750,2.89,11.29,19.84,43.53,20.78,20.78,35.29,69.22,3.24,3.33,1.78,2.09,9.70,10.67,7.40,11.16
23.875,2.78,10.90,19.61,43.73,18.75,18.75,32.55,68.53,6.56,2.49,3.37,4.17,11.25,12.84,9.48,9.88
