TIME,BETA R PIP,ALPHA R PIP,THETA R PIP,DELTA R PIP,BETA L PIP,ALPHA L PIP,THETA L PIP,DELTA L PIP,BETA L,BETA R,ALPHA R,THETA R,DELTA R,ALPHA L,THETA L,DELTA L
sec.,B,B,B,B,A,A,A,A,A,B,B,B,B,A,A,A
0.125,===,===,===,===,===,===,===,===,0.72,1.07,1.65,===,===,0.68,===,===
0.250,===,===,===,===,===,===,===,===,0.94,0.90,1.38,4.22,===,0.72,0.81,===
0.375,===,===,===,===,===,===,===,===,1.03,1.03,1.52,3.11,11.78,0.90,0.90,1.34
0.500,===,===,===,===,===,===,===,===,1.52,1.38,0.90,1.38,6.78,1.12,0.90,1.69
0.625,===,===,===,===,===,===,===,===,1.65,1.47,1.03,1.21,3.33,0.90,1.16,2.14
0.750,===,===,===,===,===,===,===,===,2.14,1.43,0.81,1.30,2.09,0.85,1.30,1.87
0.875,===,===,===,===,===,===,===,===,1.61,1.25,0.94,1.83,2.14,1.07,1.69,2.71
1.000,===,===,===,===,===,===,===,===,2.45,2.14,1.38,3.11,2.31,1.30,3.51,3.07
1.125,===,===,===,===,===,===,===,===,1.87,2.00,1.30,2.84,2.76,1.30,3.29,3.77
1.250,===,===,===,===,===,===,===,===,1.92,1.47,1.25,1.56,3.64,1.34,1.78,4.66
1.375,===,===,===,===,===,===,===,===,1.34,1.87,1.52,2.22,4.97,1.38,2.45,6.12
1.500,===,===,===,===,===,===,===,===,2.27,1.87,2.67,4.97,7.93,2.67,6.07,9.35
1.625,===,===,===,===,===,===,===,===,1.61,1.12,2.67,6.21,10.94,2.89,7.97,13.02
1.750,===,===,===,===,===,===,===,===,0.99,1.38,1.52,3.55,11.60,1.69,4.66,12.97
1.875,===,===,===,===,===,===,===,===,0.85,0.81,0.90,2.67,10.98,0.90,2.62,11.56
2.000,===,===,===,===,===,===,===,===,1.92,1.83,1.43,2.45,9.52,1.30,2.49,8.99
2.125,===,===,===,===,===,===,===,===,1.78,1.74,1.21,2.62,9.79,1.52,2.84,9.48
2.250,===,===,===,===,===,===,===,===,1.30,1.52,1.65,3.60,8.86,2.09,3.91,9.21
2.375,===,===,===,===,===,===,===,===,2.27,2.93,1.69,2.36,6.60,2.31,2.58,6.87
2.500,===,===,===,===,===,===,===,===,1.56,1.69,2.67,2.09,4.17,3.29,2.53,4.75
2.625,===,===,===,===,===,===,===,===,4.17,4.22,3.29,4.57,3.37,3.91,5.85,3.91
2.750,===,===,===,===,===,===,===,===,3.33,2.93,3.15,4.26,3.20,3.29,5.67,3.99
2.875,===,===,===,===,===,===,===,===,3.02,2.22,1.87,1.83,4.22,1.83,2.49,5.28
3.000,===,===,===,===,===,===,===,===,2.09,1.47,0.99,1.12,3.77,1.25,1.43,4.88
3.125,===,===,===,===,===,===,===,===,2.14,1.56,1.30,1.16,3.02,1.03,1.30,4.26
3.250,===,===,===,===,===,===,===,===,2.00,1.16,1.30,2.14,1.83,0.90,0.94,3.24
3.375,===,===,===,===,===,===,===,===,1.16,1.87,1.03,3.29,1.56,0.99,1.25,3.20
3.500,===,===,===,===,===,===,===,===,2.14,1.12,0.85,3.68,1.69,1.38,1.25,3.15
3.625,===,===,===,===,===,===,===,===,2.14,1.65,1.34,2.80,1.65,1.47,1.30,2.89
3.750,===,===,===,===,===,===,===,===,1.61,1.87,1.07,1.43,1.69,1.30,1.07,2.05
3.875,===,===,===,===,===,===,===,===,1.78,1.61,1.12,1.12,2.00,1.38,1.07,2.00
4.000,===,===,===,===,===,===,===,===,1.96,1.96,1.30,1.92,2.18,1.07,1.78,2.05
4.125,0.53,0.94,6.27,31.76,0.50,1.25,8.31,34.61,1.43,1.47,1.56,3.46,4.97,1.56,3.86,4.83
