"Time","Beta R PIP","Alpha R PIP","Theta R PIP","Delta R PIP","Beta L PIP","Alpha L PIP","Theta L PIP","Delta L PIP","beta L","beta R","alpha R","theta R","delta R","alpha L","theta L","delta L"
"sec.","B","B","B","B","A","A","A","A","A","B","B","B","B","A","A","A"
0.125,===,===,===,===,===,===,===,===,2.05,5.19,3.91,===,===,1.12,===,===
0.250,===,===,===,===,===,===,===,===,2.40,5.63,1.78,6.65,===,3.02,3.64,===
0.375,===,===,===,===,===,===,===,===,7.36,4.52,4.39,5.54,10.58,4.97,10.98,11.73
0.500,===,===,===,===,===,===,===,===,4.48,10.05,6.03,7.53,10.23,4.52,15.54,20.98
0.625,===,===,===,===,===,===,===,===,8.11,10.76,5.81,11.47,6.74,4.44,14.83,29.60
0.750,===,===,===,===,===,===,===,===,8.15,10.45,3.11,15.49,8.77,3.42,8.11,38.89
0.875,===,===,===,===,===,===,===,===,11.38,8.15,4.57,9.30,9.79,5.63,6.91,38.80
1.000,===,===,===,===,===,===,===,===,6.56,8.64,11.82,7.80,13.28,8.86,17.88,37.65
1.125,===,===,===,===,===,===,===,===,7.49,6.52,19.74,19.39,13.24,13.11,18.81,26.33
1.250,===,===,===,===,===,===,===,===,17.53,23.59,28.05,16.11,15.98,21.20,10.05,22.61
1.375,===,===,===,===,===,===,===,===,19.70,21.29,30.49,15.36,28.81,28.67,15.14,32.48
1.500,===,===,===,===,===,===,===,===,9.74,8.99,19.83,26.42,48.84,22.70,23.63,47.29
1.625,===,===,===,===,===,===,===,===,12.88,15.63,8.59,21.95,53.88,10.89,19.03,53.75
1.750,===,===,===,===,===,===,===,===,5.72,8.42,5.23,11.03,53.13,3.95,12.84,53.13
1.875,===,===,===,===,===,===,===,===,9.83,9.70,6.60,11.82,31.99,3.99,7.27,35.97
2.000,===,===,===,===,===,===,===,===,5.81,9.92,2.98,14.17,24.69,3.15,7.40,26.06
2.125,===,===,===,===,===,===,===,===,12.71,5.63,5.50,10.32,11.73,3.46,6.52,10.10
2.250,===,===,===,===,===,===,===,===,3.91,10.54,9.39,15.23,8.81,7.97,9.61,4.79
2.375,===,===,===,===,===,===,===,===,11.96,7.22,9.57,12.53,8.06,8.95,10.54,3.46
2.500,===,===,===,===,===,===,===,===,3.37,11.42,5.72,6.03,9.52,5.90,10.36,5.19
2.625,===,===,===,===,===,===,===,===,9.83,3.24,4.52,12.22,12.22,2.40,11.07,9.30
2.750,===,===,===,===,===,===,===,===,4.30,4.08,6.60,13.99,11.96,2.45,8.86,9.96
2.875,===,===,===,===,===,===,===,===,9.08,2.89,8.46,7.13,10.10,2.98,4.30,9.52
3.000,===,===,===,===,===,===,===,===,6.56,7.62,8.81,2.49,8.42,8.37,3.86,7.18
3.125,===,===,===,===,===,===,===,===,9.74,7.44,4.44,4.30,9.74,7.80,5.90,6.43
3.250,===,===,===,===,===,===,===,===,8.64,7.84,5.54,7.36,11.69,6.07,11.16,8.55
3.375,===,===,===,===,===,===,===,===,6.52,6.87,4.79,13.50,17.84,4.57,16.33,16.20
3.500,===,===,===,===,===,===,===,===,9.21,9.66,3.91,14.65,18.55,2.40,13.64,22.92
3.625,===,===,===,===,===,===,===,===,4.70,5.06,5.63,11.91,17.97,5.85,10.72,25.67
3.750,===,===,===,===,===,===,===,===,15.05,13.81,4.39,7.05,13.72,4.44,9.61,24.96
3.875,===,===,===,===,===,===,===,===,5.67,4.13,4.75,3.68,9.04,4.04,4.39,20.62
4.000,===,===,===,===,===,===,===,===,11.03,23.41,4.97,6.91,7.44,5.10,7.67,17.79
4.125,24.56,31.14,45.96,72.35,23.07,32.24,41.96,71.27,8.46,6.56,5.06,7.18,6.47,8.24,7.80,15.05
4.250,24.67,30.27,44.31,70.69,23.39,31.37,40.47,70.10,9.12,9.96,7.84,3.42,6.96,9.30,3.91,12.35
4.375,24.03,29.25,42.43,68.43,23.53,29.88,39.45,68.73,17.70,4.39,9.12,3.55,6.69,8.28,11.11,11.56
4.500,23.07,27.61,40.00,65.98,23.28,27.84,38.20,67.16,14.61,6.03,6.21,4.30,5.67,6.29,12.18,10.50
4.625,22.21,25.57,37.02,64.12,22.64,25.57,36.39,65.49,5.94,4.04,2.49,2.40,6.56,4.66,10.14,11.29
4.750,21.78,23.76,34.12,62.25,21.96,23.45,34.43,64.71,9.43,8.02,3.20,4.39,6.56,4.35,11.25,12.31
4.875,21.57,23.06,32.47,60.69,21.53,22.04,33.41,63.73,5.32,5.81,3.64,7.49,9.43,2.67,10.98,12.44
5.000,21.53,23.06,31.92,59.41,21.57,21.41,33.41,62.94,11.11,6.07,7.09,9.79,8.24,3.37,11.25,11.34
5.125,21.71,23.22,31.45,58.63,21.85,21.33,33.88,61.76,9.48,10.72,10.27,11.03,11.16,2.84,13.55,9.74
5.250,22.35,23.53,30.82,57.75,22.14,21.18,34.12,60.98,10.98,13.50,9.04,7.22,9.83,4.13,9.88,8.77
5.375,23.24,23.37,29.73,56.67,22.42,21.10,34.04,61.08,12.84,11.60,6.96,2.84,9.74,4.61,4.35,7.89
5.500,24.06,23.22,28.47,54.71,22.82,21.25,34.27,61.37,11.20,13.77,7.67,6.07,7.09,6.47,7.62,8.46
5.625,24.60,23.29,27.53,52.35,22.99,21.65,34.51,61.18,6.03,10.63,8.02,7.71,6.07,11.69,10.50,7.18
5.750,24.85,23.53,26.90,50.39,23.10,22.35,34.67,60.98,8.42,11.25,9.57,10.67,4.88,10.27,11.91,8.20
5.875,24.99,23.76,26.27,48.92,23.14,22.75,35.06,61.27,7.18,14.87,8.99,10.72,3.60,5.50,10.54,9.17
6.000,25.28,23.53,25.73,47.65,23.17,22.27,35.29,61.76,7.49,5.76,5.50,7.05,3.07,3.20,6.29,10.72
6.125,25.53,23.06,25.49,46.86,23.14,21.49,35.53,62.55,7.62,17.88,3.86,4.75,4.44,2.45,4.79,13.50
6.250,25.53,22.51,25.80,46.08,23.32,20.47,36.00,62.75,12.26,6.07,5.54,5.28,5.59,3.68,7.93,12.88
6.375,25.74,22.20,25.96,44.51,23.74,20.08,36.08,62.25,8.86,7.49,5.81,9.61,7.18,3.37,10.19,14.79
6.500,25.88,22.04,25.73,42.84,24.14,20.16,35.53,61.18,18.15,16.60,7.27,5.81,6.52,6.69,6.60,12.97
6.625,25.95,22.43,25.41,41.67,24.46,20.39,34.75,59.31,11.20,5.28,8.15,8.11,7.80,10.89,7.89,12.80
6.750,25.85,22.82,25.80,41.37,24.56,20.71,34.59,57.94,3.11,8.68,4.75,12.57,7.93,10.32,13.28,13.02
6.875,25.60,23.53,27.14,42.94,24.39,20.86,35.22,58.24,4.92,6.65,6.91,15.85,15.85,3.29,15.80,19.30
7.000,25.13,24.00,28.86,44.80,24.10,21.02,36.16,59.71,7.09,4.48,8.86,19.21,21.69,6.82,13.02,23.45
