ALPHA L,ALPHA R,BETA L,BETA R,DELTA L,DELTA R,THETA L,THETA R
6.12,9.66,6.07,7.58,16.64,16.91,11.82,12.26
10.01,11.03,7.8,11.2,27.83,19.21,14.52,18.85
11.6,9.26,8.59,11.6,38.67,19.70,15.89,13.06
14.87,12.22,8.11,7.09,49.20,20.09,15.54,6.56
13.11,10.81,12.0,18.41,50.43,20.05,12.71,11.51
5.1,4.57,5.5,3.86,49.20,20.00,13.59,18.85
7.49,18.24,4.04,20.71,42.96,27.17,24.34,21.11
6.6,22.88,2.49,13.28,45.44,29.03,23.41,30.13
2.45,26.24,7.93,43.93,44.60,30.44,10.72,30.49
5.23,21.6,3.77,15.94,38.14,25.58,9.12,21.77
4.83,12.57,14.3,20.93,25.49,15.41,14.26,18.19
5.67,17.35,9.74,11.25,24.16,13.86,19.61,26.90
8.77,33.36,5.85,22.3,31.90,12.84,8.64,35.09
11.96,31.77,6.87,12.09,34.38,28.19,20.00,34.82
13.9,22.26,3.73,8.2,35.13,32.39,23.01,24.69
14.79,17.17,4.52,6.12,25.14,39.02,15.71,10.36
15.54,25.05,20.09,38.18,30.31,33.10,12.22,5.32
13.64,22.17,4.26,12.8,33.10,29.56,15.89,6.16
13.68,14.03,5.9,15.71,46.06,24.60,22.48,13.55
14.7,13.06,10.23,20.8,37.83,14.92,29.56,19.83
11.34,12.4,8.33,9.74,30.71,9.79,35.13,23.32
9.88,8.42,8.15,15.49,18.46,5.06,20.89,17.26
9.7,9.61,8.59,6.87,25.62,8.28,13.64,14.79
7.58,6.78,10.63,5.98,30.40,10.63,27.26,18.81
5.54,7.18,11.2,12.84,36.15,14.87,25.31,16.86
9.66,7.89,7.0,2.93,30.22,14.48,15.05,12.31
18.32,11.78,7.53,4.52,21.77,12.75,9.39,12.18
19.03,15.23,5.9,5.63,11.51,8.33,14.39,22.17
7.31,11.16,9.83,4.83,3.55,6.91,23.19,30.84
13.68,6.12,9.74,5.41,1.87,7.62,17.57,21.24
24.16,17.79,6.65,6.03,4.17,7.00,7.09,14.43
18.72,16.2,5.37,7.18,4.61,4.88,12.49,25.40
8.02,11.91,6.74,2.67,7.31,7.67,22.79,34.11
9.43,19.12,5.01,4.66,6.56,11.73,21.42,23.63
11.03,16.33,2.45,6.65,9.35,17.35,8.73,8.59
3.42,3.91,9.83,6.16,7.89,17.04,5.45,9.74
8.99,9.35,3.95,5.72,6.34,12.93,14.61,11.60
12.18,13.77,7.18,3.11,5.54,10.19,20.23,20.18
9.61,15.32,4.88,6.65,6.25,11.07,13.06,27.21
5.76,15.27,7.8,2.36,8.68,13.86,12.93,24.21
7.53,7.36,8.06,2.62,8.11,14.74,26.68,26.29
10.63,2.71,7.71,6.91,8.28,9.35,20.00,26.55
7.58,11.16,3.86,5.72,7.22,7.93,7.49,23.32
14.65,20.36,4.22,7.62,6.47,5.67,3.46,17.53
21.42,17.44,11.6,8.9,4.88,5.50,14.34,14.79
11.78,7.93,4.83,5.1,5.54,3.60,19.16,19.16
4.44,6.25,6.52,9.88,6.87,4.04,12.13,20.76
11.2,6.56,9.39,7.27,7.31,5.85,25.00,14.34
9.04,5.14,6.56,5.76,5.41,7.00,31.64,18.90
5.37,2.09,3.37,3.51,4.04,7.09,28.41,31.19
14.7,5.14,7.97,5.5,3.95,5.94,21.82,30.97
14.92,4.79,5.1,5.72,5.54,6.03,13.28,25.40
16.73,7.67,9.52,5.14,4.97,7.40,15.18,20.45
21.64,19.7,4.92,4.08,4.79,7.22,20.93,11.38
19.61,20.62,4.13,3.91,6.21,7.13,23.99,19.47
12.8,16.78,7.4,8.55,7.05,5.94,22.04,17.70
10.89,17.53,4.35,4.04,12.53,11.91,17.26,12.09
7.84,13.33,5.98,5.67,19.87,24.38,18.94,18.01
6.65,8.51,5.81,4.22,32.39,32.08,15.80,16.33
9.57,10.5,2.67,4.92,48.27,41.99,13.55,29.03
9.7,6.96,7.58,11.87,46.01,34.07,13.72,29.60
13.06,13.02,5.37,2.62,44.82,29.29,13.99,18.28
17.66,22.75,4.48,3.29,23.15,14.21,19.96,23.06
17.22,20.31,4.7,7.58,17.26,8.86,24.83,19.25
13.5,13.02,3.68,3.42,11.16,12.09,17.31,9.96
10.45,7.31,4.08,2.89,17.75,22.08,8.55,12.44
10.54,7.0,3.11,2.18,25.27,26.42,3.86,7.40
6.69,6.87,1.96,2.45,31.33,29.43,5.72,6.43
4.97,6.34,8.15,6.38,40.84,21.46,8.02,10.50
4.79,1.61,5.45,4.66,44.77,25.09,8.15,12.80
5.94,1.38,11.65,12.75,40.75,20.49,7.27,11.78
16.91,2.53,10.58,10.05,34.64,23.45,11.34,8.20
29.29,3.15,39.86,9.08,21.64,16.33,21.20,10.98
27.66,7.8,26.64,5.5,18.41,13.46,26.51,10.27
15.45,8.06,10.19,6.74,12.80,10.63,27.66,7.40
4.97,10.72,10.14,8.64,14.52,12.62,17.62,15.63
2.76,9.96,8.06,6.29,15.18,18.24,9.66,11.56
3.95,11.34,7.05,3.64,12.57,19.12,11.11,15.41
7.31,12.49,7.13,3.55,13.99,23.32,22.39,27.88
7.75,12.88,5.98,3.42,15.98,23.59,28.54,28.10
4.66,8.99,6.56,6.47,32.48,35.66,19.25,15.67
5.01,2.76,4.57,3.73,35.79,44.73,12.84,8.99
9.43,5.14,5.59,4.48,38.80,45.04,18.77,13.72
8.99,6.91,4.92,16.25,24.38,41.50,31.50,14.43
12.13,11.25,1.83,3.11,23.23,29.25,34.20,12.93
11.56,13.46,6.65,9.3,19.87,30.22,34.25,22.79
3.15,4.3,6.69,5.85,25.05,28.01,22.57,28.23
9.83,9.12,5.1,3.77,19.30,35.62,11.11,28.05
14.52,11.73,5.72,2.58,15.32,31.37,8.73,20.98
7.36,5.9,6.07,4.35,8.37,29.20,6.65,20.31
2.8,3.11,8.42,4.39,7.27,19.65,20.05,14.96
2.58,4.52,3.24,4.75,7.40,14.65,33.67,19.83
5.94,3.02,5.41,5.85,9.74,8.95,30.18,21.24
6.78,8.51,5.1,5.32,10.36,10.50,21.82,15.36
9.83,8.06,10.85,10.67,16.55,18.19,20.05,10.98
7.53,5.9,4.44,6.91,18.63,24.52,17.31,12.18
7.71,7.53,9.48,11.07,22.44,29.16,8.06,6.60
5.85,8.15,4.3,5.54,14.96,21.60,4.79,2.62
2.76,5.9,10.45,4.75,11.96,19.70,3.60,2.71
7.71,9.66,5.72,9.43,5.54,11.42,6.74,4.35
13.68,12.53,3.86,8.68,5.01,11.96,8.77,12.44
15.32,12.18,3.42,5.06,3.51,9.52,14.96,21.77
