ALPHA L,ALPHA R,BETA L,BETA R,DELTA L,DELTA R,THETA L,THETA R
8.37,9.57,3.86,3.99,6.82,8.11,8.46,9.39
8.2,12.62,17.4,11.29,17.04,15.89,11.96,15.85
6.78,15.76,6.21,9.17,34.69,33.14,8.99,14.43
15.76,14.65,22.97,18.06,43.45,40.92,23.81,38.18
17.17,14.39,4.44,8.64,53.97,48.58,26.33,51.94
12.26,16.2,10.63,11.73,38.18,41.81,11.47,41.10
10.85,16.33,8.59,13.46,32.48,33.05,3.91,24.38
16.73,17.53,13.77,14.61,16.55,25.75,10.27,11.03
15.58,15.18,19.21,16.82,15.58,16.16,16.91,15.41
5.37,7.97,13.55,19.47,11.11,17.66,14.30,15.80
13.06,4.83,19.3,12.35,12.53,14.74,35.09,11.07
21.38,11.87,14.79,20.0,18.32,17.44,54.55,7.97
17.57,19.43,5.72,13.28,36.55,17.35,49.06,6.78
9.43,23.01,9.12,29.56,50.70,18.50,29.82,22.17
6.82,11.2,9.61,24.25,56.14,28.05,30.22,46.36
4.44,11.47,1.83,8.51,52.42,35.66,22.04,49.51
4.57,18.24,3.73,6.65,37.34,38.93,9.66,21.51
7.44,15.71,4.57,6.69,25.98,31.59,7.49,8.86
14.83,10.27,3.95,6.65,12.84,18.59,20.80,11.87
15.05,9.08,11.38,12.31,7.31,14.96,36.55,21.60
11.38,7.75,7.36,16.78,7.22,13.90,41.10,16.69
6.07,8.24,8.51,12.57,12.80,23.15,29.43,9.88
5.54,18.46,15.54,41.32,19.25,29.65,23.94,19.08
8.28,20.89,11.78,24.83,24.60,35.88,18.24,13.59
5.9,13.5,34.56,13.19,21.11,40.08,10.63,8.77
11.38,12.26,5.5,11.03,19.61,35.31,8.55,15.36
8.11,6.69,15.49,8.11,17.17,44.46,20.14,22.26
5.06,9.04,14.61,15.23,26.99,41.46,32.26,34.20
9.08,9.12,7.71,5.94,30.80,58.40,39.47,26.95
6.12,4.44,6.96,6.29,38.01,44.37,32.88,9.61
2.84,2.98,6.34,4.66,30.58,34.20,13.28,9.04
5.14,4.08,2.67,3.99,22.97,15.41,3.51,9.52
5.1,8.99,2.62,8.06,14.92,10.85,2.09,11.78
4.66,12.13,2.0,10.5,8.37,15.58,1.30,13.28
3.99,9.79,2.8,8.9,7.27,16.42,4.30,17.84
2.67,9.96,10.23,13.5,5.63,16.29,5.94,13.68
10.58,15.8,4.92,5.41,7.80,13.90,12.84,27.17
14.92,29.34,31.59,8.51,16.25,18.99,26.02,48.97
8.99,26.06,13.55,11.69,22.70,19.21,36.28,57.11
9.12,13.06,7.67,4.44,35.26,21.15,27.30,38.89
11.56,15.58,7.71,6.56,29.69,12.09,10.27,18.46
5.1,8.68,6.43,10.36,33.32,13.77,6.34,10.54
10.05,4.61,9.83,17.22,21.60,12.00,5.45,7.27
12.53,10.72,6.43,8.2,24.03,17.22,5.06,4.22
6.43,5.67,14.17,16.73,15.10,12.44,9.57,15.49
2.09,2.22,6.78,6.16,12.93,13.06,11.42,22.39
4.22,1.52,2.53,8.42,13.15,18.90,8.55,23.15
5.9,4.04,4.7,3.64,18.06,24.07,5.50,18.55
4.35,3.68,6.69,5.1,21.24,24.69,7.67,13.06
3.95,2.45,5.23,3.15,20.80,14.70,14.26,6.87
2.84,3.91,7.75,7.13,13.59,9.52,16.91,7.75
6.78,11.78,5.72,7.49,8.99,7.89,17.48,18.77
9.96,14.65,3.91,3.77,6.60,12.22,21.42,24.03
9.61,11.16,14.83,11.25,10.89,15.94,29.20,27.66
6.47,6.34,6.65,8.24,11.69,15.76,27.48,25.75
3.77,7.13,4.39,6.38,11.56,11.47,20.09,21.51
3.82,6.47,12.18,8.37,16.91,16.38,6.87,15.63
12.22,7.4,10.05,8.2,26.99,24.47,12.13,21.07
23.19,15.67,8.42,18.41,46.98,40.62,24.16,31.81
25.05,20.62,29.78,18.19,46.94,36.68,28.36,25.75
17.4,13.77,10.5,7.13,53.53,33.23,20.76,14.03
9.92,5.45,15.01,13.33,36.72,19.56,7.44,12.75
6.96,8.37,8.51,7.13,36.86,18.68,8.15,10.10
7.97,9.43,8.28,7.8,24.38,14.43,11.07,9.43
8.68,4.88,10.63,10.67,19.34,14.30,10.23,8.51
5.19,3.86,6.21,4.75,8.55,8.77,6.74,5.45
5.54,4.97,6.12,8.99,4.88,8.33,9.92,2.53
9.3,4.48,7.05,9.17,8.02,9.12,21.73,4.48
4.22,3.55,10.85,9.04,12.31,8.20,22.97,9.30
13.33,4.35,4.75,5.28,20.36,8.59,11.60,14.48
17.57,3.55,9.39,12.97,20.18,7.40,4.08,17.62
10.14,2.53,7.8,11.56,19.92,11.07,5.37,17.75
3.46,5.72,6.6,6.16,14.30,10.94,10.14,9.61
2.14,7.0,5.14,11.25,9.08,12.93,11.65,8.11
1.74,5.28,13.72,10.54,5.72,10.14,7.93,13.86
4.75,4.26,5.23,5.59,3.99,8.99,5.19,13.41
5.98,4.83,10.23,7.36,4.13,8.86,2.36,8.20
11.73,6.78,4.17,4.97,6.29,11.96,5.19,8.90
17.48,8.86,8.42,4.92,8.02,18.68,18.55,17.22
14.65,3.07,4.39,5.06,13.15,29.29,29.34,21.11
6.47,6.6,3.95,11.25,15.63,30.40,27.30,14.08
4.26,5.67,3.95,8.37,15.10,28.98,21.24,7.49
7.93,9.3,10.94,10.05,10.94,18.77,17.66,10.32
9.12,9.17,6.65,6.25,7.89,16.33,22.97,14.12
12.35,10.45,5.41,5.59,14.79,21.02,27.66,15.80
15.71,31.86,20.31,18.46,26.37,36.33,51.01,26.59
14.87,34.25,25.05,14.96,36.37,43.98,57.55,35.09
9.92,17.66,9.74,7.97,48.58,50.61,38.62,32.48
8.46,4.61,9.04,12.13,43.89,37.12,18.72,18.94
5.32,8.02,10.23,4.22,43.40,28.10,3.73,10.67
1.74,6.43,3.6,5.98,24.43,14.74,6.52,12.04
2.98,8.06,13.5,5.72,18.41,9.43,13.68,13.72
3.73,9.57,6.52,8.81,7.80,6.25,19.83,12.84
2.71,10.32,6.16,9.21,5.63,4.39,16.42,10.67
2.31,8.95,4.44,14.12,3.29,2.58,7.67,10.23
5.23,6.82,3.11,7.62,5.50,3.15,8.06,12.71
6.91,4.35,9.96,9.88,6.07,4.35,8.90,11.78
10.36,2.4,8.51,13.33,9.17,5.59,8.02,5.41
13.86,4.04,3.37,5.06,10.10,4.79,10.76,4.08
13.41,3.11,8.95,12.0,12.80,3.82,8.06,4.52
9.88,6.21,2.31,11.82,11.47,2.71,3.20,3.68
2.98,3.95,11.96,10.27,11.73,4.04,4.35,4.48
5.5,6.96,9.57,13.19,14.26,8.46,11.96,19.78
11.16,12.75,13.55,12.22,21.64,20.93,26.86,36.81
29.38,10.94,22.97,3.42,23.50,28.94,29.69,30.93
29.29,4.35,26.55,5.1,25.67,33.45,27.39,12.62
12.44,5.01,10.01,9.96,19.92,26.02,19.52,10.10
3.33,6.38,9.43,11.38,20.80,17.40,5.90,14.39
5.14,6.6,17.13,19.47,19.34,12.35,9.92,11.60
1.78,4.26,9.08,21.07,24.16,14.21,8.68,7.13
5.5,5.01,8.95,11.6,21.77,16.38,7.89,10.10
5.19,3.86,2.62,10.36,20.14,17.13,12.04,13.95
3.95,6.96,6.87,9.92,14.34,12.88,8.77,10.05
7.05,9.61,4.52,5.94,11.56,10.27,4.52,6.78
6.87,7.4,7.8,7.58,8.55,8.73,4.44,6.96
7.22,6.16,10.05,15.67,4.83,5.76,7.53,8.90
10.45,8.2,7.53,10.41,3.99,6.25,9.35,11.11
8.77,5.45,3.64,5.94,3.42,5.23,9.12,10.27
3.07,3.42,6.82,11.56,5.23,5.72,7.75,9.08
4.04,5.85,6.03,11.56,6.60,4.75,5.94,6.60
4.52,10.5,14.79,6.07,13.06,9.57,5.63,6.60
8.9,19.78,10.94,12.62,14.03,12.22,16.25,16.47
14.48,24.56,23.9,15.1,15.49,22.92,41.77,36.15
8.9,20.67,19.08,17.93,12.66,23.54,60.08,40.31
