ALPHA L,ALPHA R,BETA L,BETA R,DELTA L,DELTA R,THETA L,THETA R
2.71,11.16,5.59,3.82,8.06,28.72,11.07,4.97
6.47,7.8,2.27,3.82,12.66,37.52,21.20,11.47
7.84,7.49,6.03,8.95,17.09,49.77,26.33,21.73
4.39,10.85,3.11,6.47,21.42,55.83,19.16,22.75
3.64,11.78,4.39,9.79,17.13,51.81,6.74,14.03
1.96,6.6,9.08,8.9,14.08,49.20,4.48,4.70
5.76,9.04,4.75,5.01,8.28,33.18,6.29,3.64
14.34,10.81,9.57,11.87,12.04,33.18,9.21,12.00
15.45,8.95,6.16,2.31,16.69,20.54,9.30,12.62
6.43,7.4,9.17,4.75,19.47,16.07,8.02,6.21
8.11,11.65,4.75,7.27,20.89,8.37,7.44,5.45
10.76,20.14,27.79,8.77,19.92,6.38,9.52,15.94
4.04,23.72,6.69,17.79,16.91,8.90,9.52,25.75
5.23,17.7,5.76,9.7,11.07,10.23,8.68,30.71
5.1,10.23,4.3,13.59,6.96,11.38,13.77,20.54
13.59,7.84,7.53,8.06,5.98,7.18,11.07,7.36
21.15,7.31,28.72,25.4,8.64,10.50,17.62,7.80
15.58,4.35,9.08,12.13,10.58,14.79,20.58,14.92
10.85,7.09,11.38,5.81,16.25,23.10,16.60,22.22
11.73,10.05,4.13,12.66,24.96,26.29,22.39,25.71
9.39,7.36,3.82,2.27,24.25,25.05,20.71,20.00
6.07,2.93,3.91,2.89,23.90,20.18,10.94,10.41
9.12,2.62,9.83,4.79,12.88,13.15,5.37,2.40
7.67,2.31,6.16,6.12,8.95,8.77,4.39,3.33
6.21,2.49,10.1,6.56,5.98,12.26,3.68,4.92
6.65,3.07,5.85,8.81,9.26,12.22,5.94,9.21
4.88,1.65,2.27,5.76,19.65,15.36,7.97,8.33
3.64,2.31,4.22,6.47,23.23,9.35,9.08,4.35
3.33,4.83,1.38,6.65,26.55,7.18,6.21,3.29
4.35,8.24,5.28,6.03,19.52,4.52,5.37,5.45
4.52,11.96,2.22,6.38,15.89,4.88,5.01,5.50
3.42,12.13,5.9,9.74,10.98,5.81,4.61,3.15
3.68,9.04,2.98,10.58,8.95,7.00,5.54,4.22
3.46,8.2,2.76,9.48,7.40,8.20,4.83,6.07
4.3,9.7,3.51,8.73,6.78,8.02,3.55,4.52
4.52,9.92,5.54,4.08,5.63,8.99,3.55,3.24
3.51,10.32,5.63,8.81,5.45,8.77,4.17,5.72
4.52,12.35,5.41,5.14,5.23,7.18,4.57,7.05
4.35,10.23,8.11,9.79,7.36,4.61,4.61,5.10
2.93,5.94,4.04,5.32,8.90,8.20,6.69,4.88
3.37,7.36,4.88,2.84,12.97,13.64,5.72,10.63
3.68,9.61,4.26,7.0,13.33,17.70,3.15,10.98
2.45,10.63,10.94,6.43,19.47,19.61,5.98,10.89
3.82,8.2,9.43,13.5,18.15,17.70,8.28,9.83
6.65,7.93,4.17,8.59,18.37,14.79,8.51,7.80
13.15,14.79,11.03,15.58,10.98,8.33,8.90,5.76
15.98,18.06,5.01,11.51,9.12,7.84,10.85,5.01
12.57,11.42,7.97,11.34,10.41,12.13,10.41,11.07
6.87,4.17,6.07,16.95,13.99,23.45,9.12,20.45
2.27,7.44,8.37,10.19,16.11,25.36,28.67,24.43
5.14,5.98,15.41,26.15,15.27,24.56,53.57,48.53
15.05,4.44,20.62,28.19,18.59,19.16,49.55,57.29
24.25,5.81,12.62,14.34,29.56,26.90,26.15,41.10
23.45,4.66,17.66,6.65,30.75,24.65,24.56,22.57
15.98,18.94,7.13,15.76,26.37,20.40,35.75,15.27
24.52,30.13,13.68,12.44,15.85,20.40,31.64,21.95
34.78,45.04,15.27,38.32,15.27,27.79,30.58,25.89
31.95,39.07,21.02,13.02,21.29,40.62,37.12,22.97
19.96,14.21,6.43,12.57,34.20,34.03,35.35,15.54
6.56,13.72,10.63,12.84,33.63,26.90,19.16,13.46
2.62,15.94,6.82,19.92,29.56,17.70,3.82,9.08
3.73,11.82,3.2,6.43,12.04,10.32,2.05,8.51
3.55,9.43,5.81,9.35,6.56,9.66,3.55,8.33
4.57,7.58,2.84,10.58,4.13,6.43,3.68,6.78
2.84,5.23,2.84,8.33,5.81,7.18,3.11,5.19
3.99,7.62,1.83,3.2,6.87,8.02,1.56,5.45
5.81,4.17,3.2,20.62,5.94,9.57,2.31,12.88
5.63,5.63,3.51,6.07,8.99,10.72,3.73,15.58
4.97,7.18,6.12,11.51,11.87,12.44,8.02,12.13
4.75,5.06,5.94,6.82,15.89,12.71,10.67,4.83
3.55,7.18,5.1,3.95,21.33,13.95,11.25,3.15
3.91,4.22,3.95,4.35,21.73,12.71,9.30,7.09
7.18,3.99,4.52,6.65,20.76,11.47,6.82,8.77
5.37,3.07,3.33,6.16,12.40,9.61,7.97,6.96
7.89,2.84,2.93,3.95,17.09,9.66,7.40,9.35
5.23,3.51,6.6,6.78,32.61,20.31,8.37,22.61
16.29,6.69,8.24,4.08,43.31,25.71,31.33,28.32
30.88,5.54,14.83,2.84,54.77,30.27,46.19,16.73
25.44,4.13,4.66,5.94,47.38,18.85,35.71,8.95
10.23,4.7,2.93,2.18,39.11,13.55,17.53,6.16
7.49,7.22,5.01,6.21,28.67,10.10,4.17,8.64
16.82,8.37,22.92,8.55,18.63,12.18,6.43,10.94
16.55,8.06,15.89,2.93,17.57,12.31,8.73,9.83
5.19,5.94,6.65,6.47,11.25,9.04,9.12,5.41
8.55,2.76,12.26,4.08,8.64,6.21,5.90,4.57
12.49,2.84,5.14,3.77,7.13,4.44,6.74,4.83
9.17,3.07,2.36,10.58,8.28,4.35,5.10,3.91
6.38,4.79,7.8,5.9,10.94,5.50,5.94,4.52
7.71,5.85,10.98,5.1,14.96,7.40,9.43,6.43
12.35,5.45,5.5,3.73,18.77,9.08,11.47,6.34
17.09,3.24,13.86,4.75,21.02,7.93,14.83,3.29
13.19,3.02,7.22,1.52,19.96,11.73,14.83,2.53
6.16,1.96,7.53,3.55,20.67,12.40,7.36,7.31
5.94,2.93,11.25,3.91,18.41,17.70,6.56,9.61
7.36,2.8,5.23,3.42,17.97,15.32,4.35,8.28
8.11,7.13,6.29,2.58,17.44,14.70,5.90,3.46
22.04,15.58,12.53,8.37,21.95,19.74,19.30,3.15
33.67,19.56,17.84,5.23,29.69,23.01,36.90,4.61
24.83,15.71,35.53,3.77,39.51,28.89,46.81,7.09
12.4,6.96,18.06,2.18,39.95,21.33,46.01,10.81
13.5,3.55,9.3,6.6,40.35,19.47,29.69,12.18
5.98,4.88,5.54,4.39,26.99,14.65,7.49,8.59
2.71,3.51,5.23,4.48,20.40,18.50,2.45,12.22
2.27,3.73,7.31,9.66,11.29,15.85,2.00,12.44
5.1,3.55,8.15,4.88,14.08,16.86,3.37,9.26
6.69,5.72,3.42,1.96,16.91,9.66,7.97,6.03
6.21,6.16,5.72,3.11,18.85,7.27,13.50,3.20
4.44,3.99,2.31,4.26,17.84,4.48,13.99,3.86
7.75,1.87,1.74,3.51,13.50,4.35,10.32,3.82
8.37,2.53,8.59,4.79,11.91,4.83,8.42,2.89
6.91,1.83,4.08,1.78,7.53,6.43,10.32,6.25
5.41,1.74,9.83,8.28,13.02,8.81,10.54,12.88
4.17,4.26,6.29,2.67,14.26,10.85,11.65,17.93
2.53,7.75,2.71,2.84,20.09,12.71,7.80,18.99
2.14,6.65,2.09,5.37,15.67,10.32,3.64,11.20
1.25,2.36,2.4,1.96,13.06,9.70,2.18,2.89
1.96,3.68,6.16,2.93,6.29,8.06,2.62,5.10
2.09,4.83,2.31,7.22,5.41,11.16,2.71,6.12
6.12,4.92,6.07,6.82,5.01,13.99,4.39,3.91
8.15,5.32,5.63,4.66,5.41,12.66,4.13,3.46
5.72,5.85,4.97,1.16,3.91,11.65,6.38,4.30
2.36,3.68,4.04,6.52,5.10,7.00,6.43,4.75
1.92,3.29,4.13,5.72,5.06,6.74,4.48,8.15
2.49,6.12,5.14,3.2,4.97,5.59,4.92,12.44
5.28,7.05,8.2,3.11,4.39,7.27,6.21,12.22
7.71,4.79,3.42,5.98,5.01,5.85,6.87,6.96
9.21,4.57,5.32,5.45,7.93,6.60,5.50,6.82
8.73,5.63,7.36,7.05,13.19,15.58,3.29,9.66
3.37,11.87,11.03,6.12,19.65,31.73,9.35,18.37
12.18,13.5,11.29,13.11,19.25,41.77,22.35,28.63
14.92,8.99,21.51,4.08,16.55,48.89,35.75,22.66
9.26,3.42,14.83,7.31,13.19,39.20,28.41,9.52
3.73,1.92,15.01,6.38,15.63,30.58,9.35,2.98
6.69,5.01,12.49,12.35,13.90,18.55,8.81,5.06
4.7,6.34,12.57,19.03,19.21,12.93,5.41,6.60
2.76,2.05,4.17,5.28,19.61,13.19,6.74,5.59
6.91,4.08,5.45,9.21,23.10,8.46,10.81,4.75
7.49,7.53,9.79,5.32,17.00,14.96,10.85,14.74
12.44,8.28,4.97,22.04,11.73,22.39,18.15,18.28
25.49,6.56,42.78,7.84,9.12,47.12,29.43,19.25
21.51,16.11,7.62,21.15,18.41,50.39,23.32,28.72
6.29,10.72,17.62,6.16,32.17,53.88,17.17,23.54
8.9,7.18,5.45,13.77,46.63,32.52,27.92,16.47
11.78,11.03,7.22,4.52,56.23,18.85,35.53,8.42
12.31,3.68,5.45,3.82,52.34,12.13,44.37,4.97
8.95,3.64,15.14,12.35,46.76,12.71,50.26,8.06
3.29,5.28,3.11,7.62,34.07,29.69,40.08,26.55
1.78,4.75,7.49,20.76,34.42,38.45,17.35,41.90
4.44,4.92,4.44,20.18,31.33,52.56,11.07,44.91
8.28,6.82,15.8,7.44,26.37,65.52,11.96,41.72
9.48,6.6,9.79,14.39,19.12,76.31,6.82,37.21
5.45,8.11,26.06,5.67,11.87,74.58,16.95,29.12
18.81,5.14,22.92,4.17,14.92,69.58,38.98,14.65
32.34,5.19,14.56,10.23,21.91,49.28,48.27,5.67
25.53,16.55,16.38,12.04,32.61,49.33,41.99,25.80
10.94,29.6,5.98,17.31,47.21,29.60,24.43,47.51
10.19,31.37,16.11,17.17,53.44,25.89,21.95,52.78
19.47,16.82,13.46,10.01,55.79,13.28,32.65,32.48
19.43,3.95,20.27,6.56,49.64,12.22,38.54,10.76
13.15,6.03,6.43,9.35,49.06,12.49,27.61,7.93
6.07,4.79,7.62,2.4,41.99,14.21,8.68,10.23
2.0,2.76,11.25,4.52,32.88,15.41,7.18,8.90
2.93,2.76,9.74,1.78,20.31,13.19,4.35,5.54
8.59,2.49,5.01,2.18,21.73,12.62,7.75,2.49
10.58,1.65,5.41,2.27,22.75,9.61,15.14,2.18
6.6,1.16,10.89,0.68,23.68,6.87,12.84,1.25
4.52,1.65,8.86,1.25,18.99,3.77,7.00,1.69
4.57,1.78,9.04,1.38,24.47,3.15,4.92,1.87
7.71,1.65,13.77,2.22,27.92,2.09,5.54,1.78
9.43,2.0,5.37,2.36,45.57,2.00,7.80,2.49
9.7,3.37,5.45,4.3,47.29,3.07,5.37,3.77
11.6,4.97,5.01,11.34,54.02,6.21,21.02,11.03
6.91,9.83,7.89,8.77,54.10,13.02,41.23,13.37
5.85,12.53,4.7,31.5,50.30,17.44,35.71,10.23
6.38,6.03,3.11,10.98,46.14,23.37,15.71,7.58
6.69,2.62,5.63,8.28,30.84,24.38,5.67,6.96
5.14,5.41,5.45,3.73,20.71,22.44,3.24,7.00
4.75,4.57,2.27,8.81,10.14,17.79,3.82,8.20
2.36,4.44,5.63,12.26,4.92,8.95,4.13,10.32
2.4,6.38,3.07,7.36,5.01,6.56,4.35,9.79
3.77,6.87,6.34,7.4,4.97,6.87,3.73,5.72
4.88,4.97,6.69,7.13,2.84,9.70,3.11,6.96
5.28,2.98,6.82,3.2,2.84,10.19,2.62,7.49
4.35,1.65,2.62,11.56,3.95,9.30,2.98,4.88
3.68,3.02,4.83,5.76,5.28,6.65,3.02,6.47
1.96,6.47,8.46,9.74,4.39,6.96,3.33,8.90
4.92,5.59,5.98,7.44,3.55,7.89,2.98,7.58
4.75,8.28,3.2,3.64,2.49,8.95,3.82,5.06
2.14,11.73,9.26,5.67,3.51,12.93,6.91,3.60
2.0,7.0,3.82,11.91,3.99,13.64,10.27,8.20
2.84,5.54,14.52,5.32,4.92,17.57,8.86,9.17
5.28,9.79,6.91,3.99,5.14,16.11,5.19,8.59
8.64,7.18,8.73,13.28,6.21,12.75,5.28,11.07
7.49,3.86,9.88,10.36,8.06,8.46,5.06,8.02
3.46,6.69,7.67,7.71,9.17,5.67,4.61,4.48
2.27,5.28,8.2,6.29,9.70,5.85,7.53,3.20
1.87,3.46,4.79,5.54,9.26,7.93,8.42,9.12
2.49,4.75,7.53,3.2,14.48,12.49,10.85,16.29
2.27,7.09,5.94,14.3,29.29,30.00,17.04,22.57
