ALPHA L,ALPHA R,BETA L,BETA R,DELTA L,DELTA R,THETA L,THETA R
3.91,3.46,5.28,5.23,10.63,6.56,7.27,3.37
2.62,4.26,3.95,12.84,14.83,8.46,10.32,7.89
12.57,13.19,6.74,10.41,20.36,13.19,13.28,8.55
23.99,24.47,4.52,20.58,19.39,10.98,12.62,8.73
28.81,31.59,9.04,5.28,17.75,9.92,8.51,6.56
27.44,30.04,9.17,6.07,14.08,6.43,6.60,6.82
22.7,21.95,10.01,16.25,13.11,6.56,9.04,17.17
23.81,21.91,17.97,11.91,16.33,10.85,12.97,18.63
22.35,18.06,10.01,10.01,18.68,12.26,15.54,10.01
20.71,5.63,13.19,17.57,18.68,11.69,21.07,17.62
23.23,13.95,3.55,5.54,18.01,7.40,16.42,21.20
29.43,23.15,24.12,37.17,16.42,5.81,5.14,11.87
28.14,14.79,2.71,12.8,13.24,6.21,5.41,8.95
21.95,14.39,20.23,24.34,8.59,6.87,7.84,18.15
22.97,25.71,10.67,8.37,5.01,5.50,6.16,20.85
21.64,23.59,15.85,22.13,3.33,4.48,4.13,13.15
12.57,15.71,4.75,12.04,3.42,3.33,14.08,6.96
15.14,25.0,2.53,12.13,5.50,4.35,16.95,8.86
12.26,25.89,6.69,8.55,11.91,5.19,15.67,8.51
5.85,12.26,6.91,9.79,17.26,8.33,21.82,7.13
14.12,4.35,13.15,12.4,18.59,8.46,15.67,3.82
11.73,8.86,13.19,12.18,13.99,8.64,8.55,7.00
10.45,11.56,8.64,8.95,8.55,7.84,9.26,6.29
15.54,15.98,11.51,8.68,7.13,8.95,5.37,3.95
20.67,16.6,8.06,12.49,7.49,9.48,10.10,10.98
19.08,12.31,10.01,9.79,8.59,7.80,10.98,14.21
19.65,12.84,5.32,10.94,11.25,6.03,10.23,11.73
26.15,17.04,3.99,6.43,10.98,3.68,11.82,10.85
25.49,17.04,10.67,2.36,13.68,3.91,7.75,7.40
22.39,16.11,11.34,9.35,11.34,5.10,12.66,7.22
18.9,16.64,12.62,13.77,16.95,10.01,16.78,9.79
18.55,22.61,10.36,6.29,14.43,10.14,10.76,7.40
15.98,24.69,12.18,12.04,15.80,10.54,14.17,12.22
10.05,19.83,5.32,8.99,8.90,7.22,21.64,19.70
4.22,14.43,7.09,12.97,9.43,5.59,20.00,16.42
11.38,16.51,8.11,6.21,8.15,4.35,11.91,8.11
19.21,17.79,8.95,6.6,10.23,3.77,3.77,5.76
12.22,8.06,9.74,9.57,10.32,4.92,4.83,15.85
8.02,8.15,5.14,4.7,12.13,6.47,11.56,19.39
18.24,13.28,8.24,6.12,10.94,7.58,11.73,14.34
18.01,11.56,7.71,6.52,9.08,7.75,6.56,5.81
10.94,7.49,8.9,4.7,5.06,7.09,9.12,8.24
11.91,1.74,10.54,8.9,4.04,5.59,11.29,14.21
14.39,6.29,6.96,4.08,5.54,5.90,7.58,14.30
16.91,13.55,2.98,4.08,7.13,5.19,8.42,7.49
14.52,17.22,9.3,5.28,10.19,7.40,11.78,2.80
9.43,21.02,10.36,8.02,10.54,7.53,8.90,6.21
9.92,25.93,13.41,23.76,14.12,16.25,6.38,14.30
13.11,23.76,13.37,27.3,17.22,21.11,10.98,23.28
9.52,9.08,10.23,9.48,17.62,28.81,10.63,20.36
5.76,12.84,6.16,12.4,18.55,29.51,5.54,9.52
9.92,11.78,20.54,6.52,14.48,26.20,5.45,4.70
17.22,28.54,20.18,10.54,19.03,27.70,20.14,8.51
14.48,36.33,38.67,17.0,18.06,22.84,42.34,12.31
11.03,19.83,19.78,46.36,26.11,24.21,46.10,6.91
31.02,38.23,11.38,14.26,29.56,24.56,32.43,7.18
35.26,44.55,8.86,17.35,32.92,22.13,20.18,16.33
22.26,26.77,5.54,10.41,33.14,20.58,14.79,13.68
17.4,8.02,16.69,12.97,23.72,11.29,12.88,8.55
9.96,5.45,7.58,21.6,19.92,7.75,15.76,15.18
2.8,4.04,17.4,4.97,10.23,3.95,11.65,15.10
3.07,5.85,5.45,14.12,10.10,3.24,5.54,10.32
6.52,3.55,9.3,9.92,8.37,5.50,4.22,6.65
10.19,6.34,5.63,4.39,8.81,6.38,4.30,3.60
14.83,10.41,5.41,9.39,7.58,8.64,5.23,3.68
13.24,9.04,10.27,12.35,5.54,6.78,5.76,6.78
13.24,10.85,13.46,10.76,4.79,5.63,6.38,9.21
12.04,9.26,4.17,13.68,5.41,4.88,5.41,9.43
8.06,3.73,4.79,7.62,5.28,6.29,6.21,7.18
13.81,12.93,13.55,17.48,6.25,9.35,8.20,7.13
18.06,12.26,7.97,10.63,4.48,8.68,10.23,10.14
19.3,7.18,9.83,6.91,4.08,6.65,12.00,9.48
12.0,10.5,9.52,10.76,4.66,4.52,16.69,10.50
2.71,15.14,6.34,9.08,6.60,4.92,14.17,6.82
5.14,11.25,16.07,11.16,8.64,8.55,8.11,8.81
7.4,9.7,12.75,15.67,9.92,10.54,15.80,15.23
7.22,4.44,15.89,7.36,8.06,10.72,16.64,12.53
3.95,7.67,12.62,7.0,5.76,9.66,8.06,6.60
12.62,15.14,5.32,8.51,5.98,7.40,5.76,4.97
17.79,18.59,6.38,10.41,9.48,5.37,4.75,7.22
21.42,20.45,13.64,6.03,15.10,4.30,4.79,6.69
26.95,22.92,5.37,14.21,19.21,5.23,7.40,4.75
23.28,20.09,17.44,5.76,18.01,7.89,11.60,6.25
10.94,9.12,16.33,28.23,14.61,8.55,15.01,11.25
3.24,5.81,14.03,9.83,7.13,9.08,13.99,18.81
10.01,9.88,8.59,6.91,5.90,10.14,11.82,19.39
4.83,4.66,7.89,13.64,5.45,9.48,6.65,10.14
6.07,11.11,5.72,11.78,6.21,10.19,3.46,4.75
12.04,13.9,8.11,11.56,6.52,6.96,8.73,10.10
11.73,10.32,7.89,16.02,9.17,5.37,13.24,14.34
7.05,11.78,5.32,9.66,10.45,6.87,13.99,12.26
5.9,14.65,4.13,10.27,10.76,9.52,10.27,6.65
2.27,8.37,7.31,7.0,9.39,14.34,5.59,4.48
9.48,10.89,5.59,8.73,7.53,10.05,6.07,9.48
11.07,13.41,5.28,11.56,8.24,11.07,12.80,13.33
6.74,10.05,7.31,10.58,7.71,11.07,14.17,12.44
23.23,20.89,5.01,15.76,10.89,19.12,19.03,16.47
29.69,24.29,8.15,9.3,13.19,17.84,19.08,20.31
17.75,13.46,11.73,7.58,16.11,16.55,15.98,19.96
8.02,4.22,11.07,12.31,18.81,14.48,7.31,7.71
4.97,8.77,16.42,15.32,23.28,18.94,14.26,15.89
7.93,12.71,23.5,25.93,26.37,23.90,39.07,41.72
5.72,7.97,21.6,23.37,31.90,27.83,57.55,60.87
10.63,10.14,8.73,8.2,35.22,32.61,45.83,47.34
8.02,6.78,9.52,9.83,36.41,32.48,20.18,20.76
5.59,5.63,3.73,5.9,31.90,27.04,10.36,9.26
5.72,5.63,9.43,6.69,22.61,18.50,7.00,5.81
5.98,8.51,6.65,10.45,16.60,13.15,10.89,7.71
10.58,11.07,13.9,17.57,11.47,10.76,15.58,17.26
20.18,12.13,5.5,2.93,9.96,8.37,15.10,23.72
21.33,6.78,29.29,5.94,9.12,10.01,7.84,18.99
14.65,9.7,9.04,7.89,9.88,9.35,8.99,12.80
15.85,12.0,10.67,11.03,11.82,10.10,10.76,10.72
7.4,10.72,9.79,12.66,10.05,7.09,8.77,11.03
11.29,26.95,8.9,4.79,9.61,8.06,5.01,12.00
20.8,24.29,11.82,12.04,8.51,9.17,10.14,17.48
14.52,10.05,12.4,19.74,11.91,13.37,22.44,21.64
11.29,9.83,12.18,8.73,20.45,20.27,16.69,13.99
28.41,21.15,8.02,13.99,22.22,21.29,9.04,7.62
29.65,19.56,4.08,5.5,23.32,23.23,13.33,10.89
14.79,8.42,3.02,2.89,13.55,14.65,5.41,7.00
5.67,8.9,5.45,12.44,11.38,12.75,3.60,2.98
5.23,11.25,12.04,5.63,8.37,6.91,3.82,7.75
9.96,10.5,11.2,7.18,9.48,5.94,4.83,14.21
15.18,11.07,8.51,11.03,8.73,3.37,5.37,15.32
18.24,13.9,7.97,13.41,6.69,3.77,5.85,12.04
11.96,7.89,5.94,10.45,6.52,4.66,10.10,9.21
9.3,8.68,3.24,12.26,5.81,5.37,18.41,12.04
16.29,18.32,10.63,14.08,10.76,8.90,18.68,17.70
15.27,17.04,11.2,7.8,14.30,12.04,15.89,18.94
15.36,12.71,14.26,8.59,23.50,15.94,25.40,17.84
24.38,16.69,11.51,2.93,19.65,13.99,22.61,14.65
24.87,18.9,7.67,7.27,17.84,10.98,17.53,15.14
10.81,20.4,11.07,5.23,18.55,12.97,16.73,23.76
9.43,14.96,6.16,12.4,23.99,14.83,30.27,38.71
4.97,8.11,21.73,11.69,37.12,27.21,37.78,50.26
4.88,12.84,22.35,13.59,39.29,31.68,43.53,52.11
4.3,11.11,15.94,10.19,55.08,45.08,26.51,28.54
8.15,10.05,9.92,6.74,53.62,42.34,10.32,14.17
10.81,9.61,4.04,8.46,47.03,38.05,11.47,7.49
5.32,10.85,3.42,9.3,29.34,27.39,7.27,8.86
2.98,12.62,3.86,11.16,15.71,16.47,3.11,8.95
2.71,15.71,8.11,6.38,9.66,11.73,3.86,11.65
7.31,13.28,5.01,5.98,5.67,7.36,7.67,12.97
14.17,7.84,16.47,7.71,9.17,11.69,13.19,9.04
12.97,3.86,7.36,6.16,15.05,11.87,16.73,6.87
5.23,4.04,9.08,12.53,27.83,16.47,14.30,7.80
6.43,15.49,5.98,7.93,33.10,17.62,10.89,12.44
7.75,27.35,4.7,36.1,36.37,26.11,12.57,24.78
3.33,21.73,4.52,6.03,36.90,31.99,7.89,28.50
3.29,6.78,10.41,10.54,31.06,35.26,8.55,14.52
4.22,13.11,5.37,5.76,37.43,40.62,11.42,13.81
4.26,22.7,25.53,7.62,32.88,33.89,16.07,22.48
2.36,20.67,10.14,14.56,36.55,30.13,15.89,13.46
6.38,10.54,12.57,8.33,22.44,16.20,12.26,8.64
4.66,5.98,4.3,7.13,16.16,11.78,8.15,12.66
7.31,5.23,5.06,13.33,10.27,9.35,8.06,20.09
6.16,23.06,2.71,11.11,25.00,6.96,6.96,36.59
10.05,34.2,8.46,23.37,35.62,9.08,8.06,43.31
19.25,24.96,13.15,11.82,42.12,9.74,10.63,32.30
27.79,4.97,5.5,4.92,37.96,15.45,27.44,14.17
28.05,10.41,28.63,8.81,36.77,20.00,48.71,6.96
