ALPHA L,ALPHA R,BETA L,BETA R,DELTA L,DELTA R,THETA L,THETA R
5.32,4.13,8.24,7.27,9.35,13.24,7.75,6.25
6.07,3.46,10.27,4.48,17.48,16.82,18.99,16.25
6.38,2.31,12.35,12.26,24.12,20.05,27.70,29.60
9.43,9.08,13.95,18.77,28.23,21.73,21.51,28.54
14.17,13.64,10.94,9.12,25.71,22.66,11.42,22.48
17.97,16.47,2.45,12.53,27.79,25.62,11.38,19.78
17.97,12.4,6.65,7.49,33.89,31.77,16.20,18.99
18.28,18.55,11.91,26.77,43.76,36.94,15.23,28.63
14.21,24.74,11.03,14.92,45.13,36.15,11.47,29.20
8.06,16.55,3.91,4.88,41.77,33.63,15.85,26.33
5.14,10.19,4.3,6.21,42.96,30.22,21.77,28.67
5.41,7.05,4.39,5.5,52.96,35.57,17.84,22.22
9.43,11.69,6.12,5.72,48.58,32.08,10.14,12.53
9.61,13.24,10.5,6.12,39.60,26.06,5.54,4.57
10.19,11.16,4.97,5.63,17.93,17.04,5.67,6.34
9.61,9.66,9.74,8.24,10.63,16.91,7.22,7.75
9.74,8.59,4.26,5.45,7.09,21.24,8.02,12.18
11.73,6.91,4.88,3.6,10.58,28.98,10.50,13.68
15.14,12.88,3.95,13.95,14.83,27.08,12.22,12.62
12.0,17.75,3.42,4.7,13.55,20.40,8.42,8.42
4.83,18.32,7.0,15.94,13.59,15.58,3.86,7.44
3.46,15.49,2.89,9.92,10.45,14.39,4.70,16.95
1.74,15.05,2.36,4.48,8.37,26.64,3.11,19.43
2.18,17.13,2.62,4.44,6.07,30.53,1.16,18.19
5.23,15.27,1.38,7.31,5.19,31.33,2.27,18.99
8.42,12.0,4.88,6.56,7.62,25.14,4.17,13.46
11.47,10.72,3.2,6.69,11.42,17.70,7.71,10.58
9.43,13.81,5.67,13.37,15.63,15.36,13.81,9.48
3.24,22.08,7.27,14.34,27.26,16.86,20.62,7.36
3.73,23.19,1.96,21.6,30.18,18.37,20.14,7.44
5.5,14.74,3.6,6.52,31.28,23.81,13.77,5.19
5.45,5.9,3.29,7.05,20.93,19.61,4.44,4.97
3.95,4.17,5.14,13.72,12.62,24.03,3.15,6.43
3.6,2.49,2.98,4.7,8.24,19.16,3.46,4.04
2.31,2.05,4.26,7.97,6.12,23.90,2.62,7.40
2.98,3.33,1.43,5.32,8.06,18.10,1.92,6.52
4.08,6.65,2.98,3.29,7.58,22.08,3.15,6.74
6.52,10.23,4.22,5.01,7.67,16.64,3.07,6.07
9.12,9.96,5.14,5.59,7.05,16.25,4.30,7.27
9.04,8.51,3.11,11.03,6.25,13.19,4.75,9.39
9.04,6.69,2.49,5.28,4.22,13.59,3.55,5.10
12.49,8.9,8.86,4.66,5.01,15.27,3.60,5.32
12.75,11.82,9.3,10.45,6.38,16.02,6.16,5.06
10.14,11.6,8.11,9.3,8.24,15.41,7.22,6.60
7.31,8.24,6.69,4.57,10.63,18.46,5.98,6.34
5.63,3.37,10.36,8.95,10.05,16.60,4.48,7.49
7.0,3.86,2.67,3.29,11.38,17.22,3.02,15.80
8.2,9.96,8.02,7.71,7.75,11.11,7.09,14.21
8.11,14.21,3.33,3.91,7.09,8.64,6.60,4.57
7.4,15.14,1.69,4.13,7.36,6.38,4.52,5.50
4.39,10.14,3.86,4.75,14.61,10.41,5.23,6.43
3.86,5.32,3.82,7.27,29.91,20.76,9.30,15.36
8.2,10.27,3.51,2.71,34.25,25.62,8.11,16.16
9.66,14.92,7.05,4.44,36.94,29.65,6.82,13.37
10.36,12.53,3.64,9.43,23.63,22.04,15.49,22.48
10.32,10.45,2.4,7.36,23.45,22.70,18.24,22.66
5.63,5.76,4.17,7.8,32.30,30.49,18.10,19.43
7.27,7.05,2.4,5.23,47.60,41.06,13.55,18.63
13.9,14.74,5.59,10.89,47.51,39.20,8.11,17.26
14.56,16.07,4.26,4.52,38.80,28.19,3.55,13.33
14.79,13.19,3.33,6.34,26.24,14.48,8.55,16.16
11.29,7.58,3.46,6.91,27.44,16.64,12.49,14.70
5.63,8.46,5.67,5.23,27.88,18.06,10.63,13.90
17.84,17.97,4.75,7.84,33.58,28.72,4.04,9.08
22.44,19.74,8.42,14.17,29.60,25.67,8.68,7.93
16.73,16.2,6.21,7.31,23.94,26.73,14.65,15.05
8.81,7.31,3.15,6.07,12.35,16.25,14.83,19.08
5.81,3.07,5.81,4.57,5.94,12.62,17.53,18.99
5.67,3.33,5.98,3.73,9.48,12.75,13.77,7.44
7.58,6.03,8.11,10.85,16.07,17.97,5.76,6.69
8.42,6.56,5.85,6.82,31.24,34.42,15.23,15.67
10.58,6.25,6.25,10.14,44.46,39.29,14.79,15.49
8.24,4.83,3.86,5.9,48.97,47.38,5.23,6.65
4.57,4.08,2.27,1.92,47.69,40.62,3.20,6.25
2.05,6.65,2.0,6.07,32.39,36.10,3.33,8.20
2.0,5.1,1.34,3.33,22.61,29.29,2.36,9.83
1.12,2.98,1.56,2.4,10.10,17.44,1.47,7.53
3.42,1.16,3.99,1.92,3.99,10.50,2.58,1.96
10.41,0.85,11.29,0.85,3.42,3.02,7.49,0.94
26.51,2.18,10.23,2.45,3.91,2.62,26.86,1.43
35.0,3.95,29.74,3.2,7.84,3.99,37.34,4.44
25.36,9.26,5.81,5.63,12.18,7.80,29.51,7.97
7.22,11.16,14.21,8.15,17.57,8.73,12.57,8.37
2.09,6.29,4.22,5.01,25.89,7.80,15.94,5.94
3.37,1.92,5.23,2.8,25.00,5.19,15.80,4.13
4.83,2.27,2.49,2.05,26.33,3.95,8.77,3.24
