ALPHA L,ALPHA R,BETA L,BETA R,DELTA L,DELTA R,THETA L,THETA R
1.47,13.37,1.61,7.36,2.09,14.34,1.83,4.66
1.47,14.26,0.81,7.44,3.60,18.94,2.31,18.55
1.3,14.96,1.69,10.72,3.86,17.66,1.65,32.52
2.62,6.65,7.58,15.18,3.60,19.61,2.36,35.48
11.42,13.5,10.85,37.34,4.13,18.41,4.88,23.15
29.34,23.37,20.27,48.44,8.24,24.60,22.57,11.65
36.28,15.36,21.51,14.03,17.00,25.58,31.15,29.69
23.99,17.44,10.63,44.82,27.21,35.97,22.79,48.22
5.01,18.06,7.31,6.34,27.44,33.63,8.51,48.13
3.68,10.1,2.18,8.81,25.40,38.58,3.24,23.63
1.87,3.82,2.36,4.3,13.37,30.66,2.62,8.02
0.85,2.36,0.85,5.23,8.51,21.29,0.99,7.27
1.43,5.85,0.99,10.01,3.29,12.09,1.47,15.05
1.65,10.5,1.65,5.19,2.80,11.29,1.65,19.12
2.45,10.36,4.97,10.89,3.29,21.07,2.31,20.31
8.59,11.03,12.8,24.21,5.76,28.32,3.24,14.34
21.64,22.84,14.43,21.38,10.67,39.07,14.12,14.21
21.51,24.74,35.93,31.99,22.04,40.75,19.03,30.44
9.08,25.84,13.77,8.11,34.47,42.30,20.45,36.50
10.85,20.93,16.25,14.12,41.15,43.80,25.31,21.55
19.03,18.06,9.3,12.13,50.79,46.41,28.14,18.50
17.17,16.95,8.06,8.55,42.92,47.16,22.75,19.12
9.88,15.14,4.92,15.98,48.05,48.36,18.41,14.92
3.86,6.6,13.11,19.83,31.02,37.39,12.18,17.22
12.0,15.1,8.51,13.5,25.05,33.23,14.87,19.08
27.17,29.34,18.63,23.94,11.51,20.49,10.41,15.14
32.08,29.87,18.24,20.58,13.59,18.19,16.73,16.55
20.98,16.78,9.96,7.58,20.31,16.29,26.82,19.52
8.95,8.46,11.87,17.97,23.54,14.70,17.17,12.88
7.22,14.12,10.32,9.48,23.28,14.74,5.01,11.29
5.28,14.03,9.66,10.36,15.49,11.34,3.20,10.98
3.2,11.38,4.97,7.58,14.48,18.72,10.36,10.58
10.54,8.28,5.94,7.62,12.00,23.63,15.14,7.31
15.63,5.81,17.09,13.5,13.19,40.26,19.92,14.83
14.79,25.62,16.51,36.19,11.25,46.06,43.71,32.74
11.38,27.83,15.23,17.88,19.56,44.64,63.92,47.34
11.91,13.5,7.97,18.94,24.47,41.37,54.68,49.37
26.24,3.11,20.98,15.49,36.24,30.62,26.20,51.19
34.29,4.17,26.37,3.95,36.55,36.86,17.75,39.11
16.86,10.5,8.33,9.48,37.96,33.10,30.71,15.36
23.68,30.27,28.72,16.33,36.28,31.24,25.00,28.14
35.31,35.53,22.17,11.25,40.04,25.62,12.04,29.38
21.2,23.5,7.09,4.97,38.62,19.78,13.15,23.90
10.27,28.72,10.98,6.6,42.38,27.17,18.55,20.80
19.7,37.3,13.95,5.14,37.39,32.17,24.25,20.31
21.51,33.18,4.97,3.55,35.48,34.25,12.13,23.63
21.24,32.26,6.78,11.87,28.14,28.36,17.26,42.96
13.33,20.0,6.29,5.85,25.80,21.73,36.94,57.82
11.78,4.04,9.08,15.94,39.47,33.10,35.18,50.39
19.83,12.09,28.28,24.69,50.04,44.64,31.81,46.98
28.32,16.42,24.03,10.54,58.66,52.20,28.05,38.18
44.6,21.64,32.03,24.07,58.93,50.57,18.24,14.96
46.14,19.96,42.92,16.82,50.57,38.40,8.28,20.58
26.95,22.17,15.18,12.88,34.56,38.36,4.30,22.08
8.51,11.56,38.32,28.67,17.26,35.48,12.88,22.79
21.6,13.19,25.84,30.4,15.94,49.73,21.55,36.02
31.46,20.89,34.82,18.85,19.12,41.72,24.78,43.80
29.16,19.34,5.85,13.41,25.44,39.95,41.46,45.48
19.21,13.15,22.08,22.35,18.46,20.05,53.22,56.67
5.72,10.81,18.63,16.51,20.45,13.46,47.65,52.29
11.78,13.5,11.65,18.01,13.77,10.27,33.14,31.81
15.71,13.15,20.09,12.75,17.84,14.03,12.57,18.59
10.85,4.75,13.19,15.18,12.62,16.78,8.15,16.02
10.63,2.98,7.31,21.64,15.18,12.71,4.97,9.12
6.25,5.5,11.91,13.02,12.80,14.74,11.56,18.85
14.17,12.4,7.13,16.82,19.83,19.12,19.03,27.39
28.59,15.8,23.76,8.15,28.28,24.03,38.67,30.22
25.36,13.41,4.13,6.29,38.23,33.45,53.57,31.55
13.55,7.53,7.53,11.78,42.56,36.77,42.56,26.82
7.4,7.89,10.45,13.46,47.82,40.39,25.09,23.45
4.26,8.46,8.59,14.56,40.04,40.66,18.46,19.70
11.07,10.19,10.19,21.55,35.35,33.18,18.55,15.71
11.42,13.9,29.43,18.37,19.12,25.80,14.79,20.67
14.48,15.01,8.64,19.52,20.45,14.79,9.66,20.27
20.89,17.62,33.27,28.05,21.15,15.80,9.17,17.88
27.04,21.2,17.88,19.43,38.27,30.09,14.43,17.04
41.59,25.09,30.71,15.32,43.67,38.54,13.81,26.37
41.9,16.86,12.26,31.37,53.26,48.53,24.47,47.38
32.65,20.8,24.03,9.21,60.96,56.58,25.36,47.69
20.62,21.91,12.22,12.8,56.76,54.19,13.19,21.91
8.68,13.41,28.54,36.28,53.75,51.76,31.28,38.23
13.95,8.95,22.66,19.96,37.83,41.90,50.70,62.73
18.5,17.66,11.38,25.05,37.12,38.36,44.55,51.89
10.89,13.77,6.07,7.75,38.80,42.61,26.64,27.83
8.02,9.66,12.18,19.56,31.81,31.59,26.86,27.92
6.65,9.12,4.48,6.21,30.71,35.40,23.85,23.72
10.67,7.0,8.68,11.6,23.41,24.07,25.18,21.86
15.49,6.74,28.32,30.31,35.18,33.23,43.76,39.86
11.16,6.21,27.83,32.65,36.28,28.98,49.06,46.72
7.75,11.2,10.23,19.52,53.09,41.10,36.33,32.34
3.99,12.13,17.88,24.56,45.13,31.99,17.57,14.34
4.88,13.86,8.86,12.4,44.29,29.38,9.43,8.33
5.19,9.08,6.03,5.1,23.76,15.41,16.82,23.10
17.13,13.95,11.11,16.2,28.32,16.11,18.28,30.93
29.51,25.44,17.53,10.14,28.54,21.15,21.33,33.27
32.17,25.75,30.88,16.82,34.38,28.98,25.31,41.01
22.97,13.55,7.58,4.57,28.50,31.24,24.03,34.60
12.22,9.61,12.0,14.92,22.04,27.97,10.94,18.85
17.09,20.18,12.75,11.42,20.67,25.22,8.73,12.57
23.45,24.65,23.37,21.64,27.74,30.80,17.48,19.78
17.0,16.64,7.0,5.28,43.58,43.76,29.74,29.74
9.17,6.74,10.01,11.65,44.37,42.07,26.42,23.85
7.36,2.27,3.99,2.53,39.51,35.84,14.52,14.74
4.48,3.37,2.58,3.37,24.16,17.48,9.92,11.29
2.76,6.82,6.69,8.86,18.01,16.38,9.96,11.96
11.2,16.86,9.12,8.2,25.09,25.89,15.01,24.43
14.21,26.37,22.88,25.58,33.58,39.11,13.41,22.39
16.64,29.07,19.03,23.28,61.31,63.26,11.47,12.09
17.17,17.44,10.5,6.74,59.81,62.73,22.39,19.83
11.07,8.15,9.04,6.16,58.97,60.78,16.91,21.46
5.23,8.24,6.56,7.09,34.78,39.60,10.67,21.77
3.91,10.45,4.88,5.63,23.54,30.31,5.23,16.20
6.74,7.89,9.66,10.41,15.80,23.68,13.77,15.54
12.4,9.21,7.84,10.81,24.65,33.01,20.49,17.44
17.22,14.34,12.84,11.87,29.25,37.65,10.94,10.50
23.23,20.71,21.91,23.99,38.05,44.11,20.85,28.45
25.67,20.09,7.93,4.26,42.74,47.16,35.44,47.56
20.98,8.73,9.35,14.61,36.41,38.23,33.01,51.05
15.41,3.82,4.48,4.66,29.56,33.67,21.95,41.85
8.28,4.22,4.35,2.93,15.05,15.94,7.71,24.78
4.13,3.95,5.01,3.42,13.72,12.57,7.75,10.01
5.59,4.92,5.72,6.65,11.16,9.12,8.24,2.89
6.03,5.54,1.78,3.64,13.81,14.83,11.20,9.57
16.91,18.24,18.55,17.4,25.36,25.22,16.07,19.78
25.09,26.33,11.82,15.54,48.58,47.65,22.30,29.96
20.8,20.58,16.78,11.42,56.27,54.24,23.68,28.10
9.74,8.55,2.76,4.44,60.30,56.01,18.46,19.25
3.6,3.46,4.75,3.6,42.07,39.42,8.15,7.49
2.84,3.11,2.22,2.27,32.03,27.92,3.02,3.29
7.71,6.03,4.83,6.29,23.50,23.54,7.18,7.71
11.03,4.88,3.02,3.64,19.39,16.82,7.62,7.93
14.21,6.52,9.79,9.26,20.67,15.94,12.93,5.45
12.88,8.73,2.45,4.08,19.03,7.84,21.15,11.47
8.06,5.23,5.1,5.72,21.24,4.48,12.75,8.55
3.73,5.23,7.53,4.92,16.73,3.82,6.47,8.46
11.6,13.41,5.9,6.96,26.86,19.83,14.26,13.50
19.08,24.07,23.63,13.81,33.41,36.72,10.76,10.19
21.51,25.44,25.05,23.85,58.26,54.50,10.05,15.76
15.89,16.95,7.49,5.19,60.92,60.39,19.78,19.52
8.68,7.31,10.01,11.16,56.98,48.27,14.21,13.33
3.77,10.45,4.57,1.78,39.33,37.03,18.99,18.94
2.84,10.01,9.3,4.66,26.11,23.90,21.07,22.57
5.59,7.97,8.24,8.86,22.35,27.92,21.91,24.43
11.47,9.3,9.04,6.52,16.42,24.65,14.56,18.46
10.14,6.43,8.11,2.09,11.07,21.20,10.89,11.47
8.42,9.52,9.43,7.18,16.25,27.74,16.73,12.71
22.53,22.66,20.54,13.28,26.77,40.39,11.38,13.37
22.0,27.08,27.74,20.85,46.01,54.55,9.74,15.49
11.47,19.21,12.35,7.22,64.41,68.30,18.90,16.69
8.06,11.78,22.13,16.86,65.87,62.29,10.14,7.44
14.39,12.35,5.5,11.65,59.81,50.48,17.62,18.55
22.44,12.13,22.88,30.4,35.71,24.65,32.96,43.58
34.38,14.12,24.56,21.91,23.15,19.08,37.17,52.69
31.68,9.52,17.31,11.78,15.94,26.55,34.38,45.30
18.41,10.67,19.87,10.41,16.11,40.88,34.47,38.54
15.01,12.35,29.16,23.72,20.36,44.68,51.81,60.08
15.76,6.34,10.67,9.43,30.44,58.62,48.18,58.66
15.8,3.33,16.02,13.33,31.81,57.60,32.65,38.89
17.88,9.3,11.07,14.08,38.05,63.35,40.88,46.32
18.32,10.32,14.83,10.01,39.51,64.19,52.82,47.78
12.26,23.85,21.29,24.47,39.64,59.72,50.52,44.73
10.76,31.46,9.43,17.66,36.72,55.56,35.84,49.51
10.36,16.95,7.22,12.53,30.49,44.07,16.11,39.07
9.08,11.78,5.67,27.21,30.27,36.41,10.81,25.80
4.83,10.27,10.14,17.4,36.19,30.04,16.16,10.10
10.27,11.25,8.59,6.78,34.73,20.98,10.01,8.20
33.05,14.39,20.8,15.18,32.26,13.33,10.32,12.40
54.46,23.68,21.38,7.18,24.52,12.62,17.31,22.44
49.2,26.24,20.27,19.74,21.95,13.77,27.97,41.54
25.49,20.09,7.36,5.37,21.38,18.99,29.87,34.33
4.3,12.71,11.65,9.17,19.87,21.38,21.69,20.89
9.26,17.53,7.89,14.87,17.31,22.30,31.59,39.64
5.9,13.99,10.01,9.83,14.74,23.23,32.43,38.05
5.32,5.28,12.4,7.75,15.27,24.65,13.33,21.86
13.55,2.67,33.05,40.39,21.29,27.44,7.40,14.17
16.29,6.52,23.85,20.09,33.36,35.66,28.85,30.80
