ALPHA L,ALPHA R,BETA L,BETA R,DELTA L,DELTA R,THETA L,THETA R
3.2,22.08,3.15,9.66,8.33,9.96,5.41,12.53
5.98,30.8,10.54,34.33,21.29,20.00,7.40,25.58
7.09,17.62,5.01,13.72,31.19,26.46,7.58,27.26
9.43,9.57,25.67,14.39,38.45,33.32,8.95,21.15
23.15,23.81,24.29,47.78,37.96,30.84,9.04,28.94
32.08,31.99,23.72,18.68,40.84,34.11,16.07,40.31
26.33,27.26,15.01,15.18,49.51,36.77,26.77,37.96
11.2,13.5,12.88,4.35,44.68,35.66,19.52,21.33
3.55,4.44,10.58,3.02,37.08,29.69,8.86,7.09
8.24,4.57,12.26,2.27,17.48,24.21,3.55,4.61
13.5,10.01,7.67,11.25,12.04,22.48,4.17,5.45
10.94,22.22,9.43,9.79,8.95,30.58,4.92,15.71
4.88,29.03,2.49,17.75,8.15,29.51,3.20,37.74
2.14,20.58,2.98,7.31,8.42,30.66,7.31,36.02
6.43,4.66,4.79,3.2,6.91,23.94,17.13,13.46
6.52,7.44,6.47,14.3,10.19,26.64,17.57,5.37
4.39,12.09,7.05,4.39,14.92,25.84,10.41,11.11
6.69,21.11,11.38,32.57,20.85,20.00,3.91,18.28
4.7,20.23,4.35,8.68,20.54,16.60,4.57,13.86
5.63,12.0,10.32,7.0,17.62,17.97,5.59,9.70
6.34,7.4,7.53,15.18,11.03,34.56,4.44,14.34
5.41,20.23,5.76,7.62,10.19,38.62,4.13,21.86
3.11,32.08,9.96,35.09,10.85,34.78,12.93,32.43
4.61,21.91,5.85,8.81,13.41,22.44,15.89,30.44
7.31,5.81,13.24,15.58,12.26,16.29,7.62,12.09
7.27,8.15,10.05,12.18,9.12,20.49,5.54,8.64
4.3,6.16,9.12,9.12,5.72,18.55,13.33,13.72
3.91,6.34,2.93,4.13,6.82,18.06,15.01,16.38
7.49,6.69,5.67,7.18,11.29,13.77,15.14,18.68
13.64,9.92,8.06,8.06,20.76,15.01,29.43,23.85
13.9,11.96,4.97,7.22,25.40,13.90,35.18,22.30
9.43,9.88,7.0,8.51,26.59,13.28,21.69,10.85
3.46,3.64,8.46,6.91,20.76,8.90,6.74,5.63
3.24,3.86,2.58,4.57,12.66,7.40,5.37,11.29
8.55,14.12,9.96,21.42,7.62,5.98,3.55,11.91
12.13,29.82,6.87,8.86,4.70,10.36,2.80,14.96
11.65,42.74,6.03,32.65,6.56,14.48,6.65,22.22
9.7,34.38,7.4,15.76,7.36,27.44,6.07,27.08
6.78,18.9,8.73,12.8,9.48,32.48,3.42,24.52
3.77,26.59,8.15,28.76,10.10,41.46,8.51,14.56
1.3,28.23,6.43,28.67,14.74,46.76,9.43,10.45
