"Time","PIP Beta R","PIP Alpha R","PIP Theta R","PIP Delta R","PIP Beta L","PIP Alpha L","PIP Theta L","PIP Delta L","beta L","beta R","alpha R","theta R","delta R","alpha L","theta L","delta L"
"sec.","B","B","B","B","A","A","A","A","A","B","B","B","B","A","A","A"
0.125,===,===,===,===,===,===,===,===,2.76,13.72,13.86,===,===,1.07,===,===
0.250,===,===,===,===,===,===,===,===,2.71,7.18,7.36,23.37,===,2.71,3.77,===
0.375,===,===,===,===,===,===,===,===,2.36,5.28,7.31,12.66,17.93,3.29,6.12,12.18
0.500,===,===,===,===,===,===,===,===,7.67,2.76,8.42,14.52,19.52,4.26,11.29,16.33
0.625,===,===,===,===,===,===,===,===,3.11,3.77,8.24,18.63,23.45,7.67,14.83,19.96
0.750,===,===,===,===,===,===,===,===,18.15,15.10,14.12,17.84,26.06,18.55,20.58,18.15
0.875,===,===,===,===,===,===,===,===,8.90,14.03,24.07,18.15,34.42,26.02,28.89,26.86
1.000,===,===,===,===,===,===,===,===,16.16,11.65,31.11,27.97,39.38,27.88,31.06,35.22
1.125,===,===,===,===,===,===,===,===,8.55,17.04,29.20,27.66,45.04,21.95,20.98,44.46
1.250,===,===,===,===,===,===,===,===,8.51,7.31,20.54,19.12,39.55,13.24,15.14,42.65
1.375,===,===,===,===,===,===,===,===,8.20,2.45,12.26,9.39,35.35,3.64,6.65,38.18
1.500,===,===,===,===,===,===,===,===,4.57,5.41,10.98,4.48,33.49,9.12,9.52,37.61
1.625,===,===,===,===,===,===,===,===,22.66,14.21,11.96,8.28,36.77,6.78,13.11,41.28
1.750,===,===,===,===,===,===,===,===,15.67,12.66,16.42,13.19,51.89,5.50,18.06,60.16
1.875,===,===,===,===,===,===,===,===,14.03,8.42,22.66,21.38,59.41,9.70,29.07,65.16
2.000,===,===,===,===,===,===,===,===,15.98,7.00,21.11,23.10,58.97,3.29,24.96,69.14
2.125,===,===,===,===,===,===,===,===,10.58,11.11,15.80,25.22,52.11,9.30,18.10,57.60
2.250,===,===,===,===,===,===,===,===,15.58,23.23,13.99,35.22,40.39,13.24,30.93,49.77
2.375,===,===,===,===,===,===,===,===,8.02,6.78,17.40,37.92,45.35,14.12,32.30,48.09
2.500,===,===,===,===,===,===,===,===,8.68,8.73,22.04,22.48,39.33,17.70,12.66,38.93
2.625,===,===,===,===,===,===,===,===,12.80,19.16,25.14,15.76,35.62,24.65,20.40,32.79
2.750,===,===,===,===,===,===,===,===,17.79,18.72,16.29,21.55,19.47,25.09,25.18,16.29
2.875,===,===,===,===,===,===,===,===,15.32,13.46,7.62,39.42,17.26,21.51,31.77,17.53
3.000,===,===,===,===,===,===,===,===,26.64,12.97,6.65,63.22,18.85,13.02,51.89,20.36
3.125,===,===,===,===,===,===,===,===,10.94,6.74,12.88,64.41,27.88,7.05,46.59,39.38
3.250,===,===,===,===,===,===,===,===,9.08,8.59,15.05,42.96,28.98,6.87,25.09,40.62
3.375,===,===,===,===,===,===,===,===,9.96,9.39,16.25,16.73,25.75,17.17,19.43,38.76
3.500,===,===,===,===,===,===,===,===,13.64,11.96,19.61,14.08,23.15,25.00,22.00,26.64
3.625,===,===,===,===,===,===,===,===,20.18,22.22,24.38,19.34,25.89,27.21,23.85,25.14
3.750,===,===,===,===,===,===,===,===,5.94,5.98,11.78,27.39,39.11,11.03,26.42,38.58
3.875,===,===,===,===,===,===,===,===,6.78,4.22,9.30,26.06,39.91,11.51,29.12,42.38
4.000,===,===,===,===,===,===,===,===,12.44,5.23,28.23,32.48,35.09,24.21,36.10,41.15
4.125,35.29,61.02,79.61,95.78,59.61,59.61,81.88,95.78,4.61,15.32,35.09,43.22,23.76,21.69,41.37,31.77
4.250,36.22,61.96,79.76,95.88,59.84,59.84,82.67,95.98,16.33,14.65,38.14,42.61,27.08,25.18,41.90,38.85
4.375,37.65,63.14,80.00,95.78,60.63,60.63,83.53,96.08,7.36,19.56,30.35,51.41,35.57,29.51,45.44,46.72
4.500,39.00,64.24,81.33,95.88,62.43,62.43,85.18,96.18,9.79,8.06,24.38,51.89,35.75,27.08,40.57,46.23
4.625,39.57,65.18,82.98,95.49,63.92,63.92,87.37,95.88,3.82,9.61,21.77,45.17,32.30,13.68,35.18,36.24
4.750,39.04,65.88,84.47,95.29,64.47,64.47,88.86,95.88,5.37,4.83,13.99,30.13,30.40,5.54,16.82,34.20
4.875,38.22,65.80,84.55,94.90,64.00,64.00,88.08,95.88,3.82,8.42,14.96,15.32,35.44,11.16,5.41,40.92
5.000,37.58,65.10,83.92,94.80,63.29,63.29,86.75,95.20,5.54,4.52,15.23,20.98,34.51,13.95,16.91,39.24
5.125,37.33,64.86,83.76,93.92,62.98,62.98,85.80,95.10,12.71,17.09,20.49,21.69,25.00,20.54,18.19,25.22
5.250,37.25,65.49,84.00,93.92,63.69,63.69,85.25,95.10,7.13,13.24,26.37,21.55,33.98,25.62,8.37,27.21
5.375,37.18,66.82,83.69,93.92,64.31,64.31,84.47,95.10,15.14,15.18,20.58,21.64,47.21,27.88,14.79,39.86
5.500,37.33,67.45,83.29,93.24,64.55,64.55,83.29,94.51,18.15,8.42,17.97,11.03,68.04,21.86,14.39,60.83
5.625,38.57,68.55,82.12,93.24,64.24,64.24,81.65,94.61,8.81,22.35,20.14,3.02,77.99,20.18,11.91,61.89
5.750,40.50,69.80,81.49,93.63,63.92,63.92,80.55,94.71,35.09,18.37,30.49,5.28,70.91,22.97,16.82,47.91
5.875,42.14,70.82,80.86,93.82,63.29,63.29,79.92,95.20,11.20,14.87,37.74,13.11,65.47,20.09,20.93,33.36
6.000,42.89,72.00,79.45,93.04,62.75,62.75,78.98,95.39,19.47,9.83,20.00,14.61,47.96,16.25,15.89,22.70
6.125,42.92,72.71,78.82,92.65,61.96,61.96,78.35,95.39,10.63,17.84,12.22,26.95,43.45,10.98,24.74,21.20
6.250,42.78,72.31,78.67,93.63,61.02,61.02,77.65,95.78,6.60,5.45,12.97,30.75,46.14,7.75,26.90,23.85
6.375,42.71,71.61,78.27,93.63,60.16,60.16,77.49,96.76,1.74,9.83,7.18,20.98,45.70,5.23,20.67,25.40
6.500,42.28,70.51,76.94,93.24,58.90,58.90,77.02,96.76,7.13,5.81,9.26,11.73,47.91,5.90,10.76,36.41
6.625,41.93,70.12,76.16,93.14,57.88,57.88,76.71,96.67,8.42,13.59,15.71,17.97,56.67,12.97,14.12,50.43
6.750,41.68,69.80,76.16,93.14,57.49,57.49,76.71,96.67,17.53,12.22,14.74,12.93,59.37,24.16,13.86,55.17
6.875,41.85,69.49,76.39,93.14,57.73,57.73,76.08,96.67,19.78,23.50,16.91,16.25,63.97,36.10,7.62,61.18
7.000,42.35,69.49,76.55,93.14,58.67,58.67,74.82,96.67,5.81,7.89,14.34,22.70,58.97,36.81,7.53,66.89
7.125,42.46,68.31,75.92,93.24,59.53,59.53,73.73,96.86,18.06,12.18,3.99,14.08,42.34,24.74,8.95,67.46
7.250,41.39,65.57,74.27,92.94,59.84,59.84,72.55,96.86,13.37,14.17,5.50,3.77,28.36,6.82,18.37,60.61
7.375,39.93,62.75,73.88,93.14,60.39,60.39,71.69,96.57,54.28,16.95,7.36,16.42,12.80,17.48,15.98,44.68
7.500,39.11,60.55,74.12,92.75,60.86,60.86,72.00,96.18,28.85,10.10,10.54,30.22,16.69,27.92,19.16,30.31
7.625,39.68,59.92,74.12,93.04,60.86,60.86,72.55,96.57,33.41,35.40,19.03,32.48,29.16,20.14,37.17,30.53
7.750,41.39,60.24,73.80,93.43,60.55,60.55,72.71,97.06,25.22,14.03,19.56,21.77,39.33,12.40,47.29,26.99
7.875,43.57,60.63,73.33,93.63,60.39,60.39,72.78,97.06,12.40,5.59,8.24,8.73,45.83,8.11,35.31,41.46
8.000,44.78,60.55,73.33,93.92,60.16,60.16,73.57,97.06,10.19,9.12,3.24,11.47,49.81,3.77,14.34,36.72
8.125,44.88,59.53,73.57,93.82,59.45,59.45,73.02,97.25,1.56,3.42,2.93,10.50,41.32,4.79,7.40,33.49
8.250,44.24,57.73,73.49,94.71,57.96,57.96,71.37,95.98,3.64,4.48,2.14,10.89,41.06,4.30,5.23,19.34
8.375,43.21,55.45,73.10,94.71,56.31,56.31,70.51,95.00,4.66,6.03,2.36,12.75,31.95,6.47,9.74,19.30
