ALPHA L,ALPHA R,BETA L,BETA R,DELTA L,DELTA R,THETA L,THETA R
8.2,6.12,8.06,5.32,16.29,15.18,10.72,9.79
9.12,8.06,4.97,7.8,31.81,22.88,10.50,12.53
5.54,6.07,6.16,9.92,36.86,23.59,6.78,12.00
1.87,4.39,19.12,19.47,44.82,20.93,8.11,10.01
3.73,3.11,4.97,8.59,31.95,10.41,8.55,12.26
9.74,8.02,15.49,20.71,29.65,8.59,10.54,13.24
9.79,10.76,6.47,4.75,17.48,7.13,11.82,15.63
4.13,6.38,6.21,8.46,16.82,9.21,12.22,13.46
1.87,3.55,8.46,4.44,19.12,8.90,5.76,9.04
2.98,2.8,11.42,6.29,26.73,14.21,3.68,7.05
5.28,2.27,7.62,5.54,25.98,15.67,15.58,19.56
4.17,2.27,7.0,5.85,22.48,13.68,25.36,26.68
1.78,2.45,5.54,3.51,15.01,7.67,25.80,22.61
5.41,1.96,3.33,1.87,13.95,4.70,15.23,11.82
8.11,0.99,6.47,1.16,14.48,4.66,3.95,3.07
7.27,1.3,2.4,1.43,11.11,5.37,6.78,1.87
7.67,5.06,3.86,3.11,9.83,5.32,6.52,4.04
9.26,8.42,6.91,8.11,11.34,12.84,5.54,6.12
10.72,12.0,8.37,7.49,17.13,19.21,7.67,10.19
9.83,14.3,9.12,17.31,24.43,27.88,15.10,18.81
10.19,14.96,2.76,3.07,27.17,31.90,18.90,20.49
10.41,15.32,4.83,9.35,26.51,30.49,16.51,11.11
8.99,20.36,5.32,6.03,23.72,26.59,9.74,6.74
12.57,24.16,7.0,6.21,20.23,21.77,7.84,11.20
17.53,13.9,12.04,9.52,17.26,20.93,15.41,13.77
21.11,8.51,27.57,5.28,19.83,25.67,28.81,13.95
13.59,16.11,37.3,13.28,16.78,21.86,28.19,6.03
7.36,17.17,5.41,19.78,25.93,25.44,17.31,9.52
10.98,12.4,14.3,5.54,26.42,22.70,5.28,12.35
7.75,7.05,4.13,8.28,27.97,26.37,3.82,6.03
6.78,4.97,2.18,5.14,21.51,22.79,5.63,5.41
8.95,1.87,6.12,4.66,14.70,16.20,6.60,8.59
5.5,6.65,9.52,10.23,11.87,10.10,8.59,11.78
8.64,10.14,11.16,5.94,10.32,7.18,13.33,11.96
14.26,10.36,5.32,6.91,16.91,12.40,13.64,12.31
15.01,8.11,1.92,3.2,20.76,15.63,15.32,18.10
14.83,10.63,8.37,8.24,25.71,17.70,22.97,28.28
13.81,14.74,9.57,7.75,24.83,18.85,26.82,29.20
14.61,17.31,5.45,5.85,18.94,14.79,28.32,25.53
20.67,21.38,11.34,6.87,12.71,9.96,27.97,24.91
23.23,20.62,5.1,4.48,5.10,4.22,15.23,11.29
26.68,23.19,6.91,3.82,6.38,4.97,7.80,2.14
32.03,29.82,5.45,9.66,9.21,8.24,10.05,4.22
38.18,34.38,7.67,5.06,16.47,12.84,14.08,6.69
37.96,34.64,5.01,10.98,17.57,16.16,12.26,4.52
33.54,33.72,9.17,10.23,25.40,21.60,16.29,5.01
25.53,26.64,9.43,9.48,29.29,28.59,20.40,7.62
15.27,14.52,10.94,10.81,35.44,32.12,24.47,10.23
13.99,11.11,7.71,5.01,38.05,37.56,18.55,13.06
15.58,10.72,9.57,10.45,28.67,29.38,15.18,17.13
13.41,8.2,5.23,4.75,23.59,21.95,14.03,10.10
12.62,10.1,3.91,3.86,11.87,8.24,13.33,12.88
15.32,13.86,10.81,12.49,13.50,5.28,8.24,23.76
14.61,11.34,6.03,6.43,14.79,6.87,10.05,18.90
11.07,5.32,7.89,4.66,18.41,13.33,18.68,7.05
13.95,10.89,4.26,2.05,25.14,24.38,27.70,14.74
14.52,16.91,4.44,2.0,30.18,31.77,24.38,10.89
16.55,18.24,8.06,7.31,46.41,48.71,20.93,13.95
16.02,16.25,5.94,5.19,44.02,45.83,23.94,21.29
10.27,14.03,8.42,4.66,48.09,48.53,17.04,19.08
5.85,12.71,6.43,5.5,35.40,34.07,8.11,17.00
10.23,12.09,7.27,10.98,30.35,26.77,14.34,18.32
14.87,15.67,9.26,10.85,20.23,17.57,16.29,18.85
17.79,20.67,11.56,10.89,11.20,10.27,22.08,22.79
16.78,16.78,7.58,9.66,9.08,10.94,29.82,26.42
17.44,13.28,14.65,13.33,13.15,18.32,31.37,25.14
17.79,15.14,7.97,7.27,14.61,22.53,23.45,14.61
10.76,9.43,3.77,2.09,17.26,28.05,18.10,7.31
3.77,3.29,3.91,2.98,11.11,21.02,9.74,3.37
2.45,1.3,2.76,1.25,12.13,16.82,3.07,2.45
4.35,0.94,3.33,1.38,8.81,7.67,4.44,1.38
6.29,2.89,5.32,1.74,15.49,4.61,9.70,1.61
5.5,5.81,0.77,3.55,14.87,5.10,12.49,5.23
2.09,10.41,1.78,2.93,18.55,10.32,7.58,11.60
2.27,13.06,2.09,3.11,11.51,12.04,4.35,17.09
2.98,11.2,1.83,4.35,12.88,10.89,5.98,15.41
1.52,6.96,8.95,11.47,10.01,6.87,5.72,8.02
5.06,3.29,4.39,4.66,13.24,4.61,4.44,4.70
7.75,2.18,5.19,4.79,10.01,4.39,5.01,2.45
6.34,1.47,6.34,2.14,10.94,3.91,6.91,1.47
9.79,1.43,6.34,1.07,10.98,3.86,13.37,1.43
14.03,1.78,7.58,1.3,15.32,3.07,16.07,1.92
10.63,1.83,4.17,1.56,19.52,2.89,11.07,1.92
9.7,1.69,2.27,1.61,18.68,2.27,4.88,1.83
10.41,1.43,4.44,2.58,16.07,1.83,9.04,1.43
8.95,3.55,2.18,1.47,10.54,2.05,13.55,2.36
14.83,7.53,4.26,3.15,8.86,5.50,9.52,5.90
18.32,12.09,2.93,2.89,8.24,8.59,7.89,14.79
17.62,15.01,7.31,10.23,9.21,10.50,22.22,22.79
17.62,18.01,2.93,4.44,12.80,11.60,23.68,21.38
13.81,14.96,12.71,9.88,12.44,10.23,10.72,11.78
12.18,10.36,3.82,5.59,11.11,10.36,10.89,6.03
17.0,16.86,15.67,10.98,9.17,6.03,13.95,8.59
14.92,17.09,9.48,9.08,11.16,5.67,6.91,11.20
11.65,13.86,9.39,10.23,19.56,7.49,7.31,13.99
10.45,10.27,9.66,9.48,22.57,10.98,12.04,11.82
11.96,8.99,7.22,9.48,26.02,13.81,11.34,7.58
11.29,10.23,5.28,6.38,26.77,17.57,11.38,7.84
12.71,14.96,12.0,13.06,26.29,20.09,9.88,6.74
10.54,16.07,10.98,12.4,28.36,25.31,4.97,7.89
6.38,14.3,5.67,5.9,26.02,26.37,11.20,16.69
7.71,13.46,15.01,15.8,24.29,23.50,14.34,22.75
8.33,8.73,14.56,10.63,23.76,19.03,12.93,18.28
10.36,6.03,4.52,6.56,17.79,11.47,16.95,19.87
19.08,18.41,15.18,11.87,16.07,8.90,21.69,23.28
25.18,21.91,4.97,4.97,13.95,8.68,24.56,23.54
22.92,17.97,10.76,10.54,13.90,8.99,20.62,16.78
13.9,10.27,10.27,12.75,13.50,13.19,11.69,9.12
7.0,5.37,8.42,6.56,12.00,11.03,11.20,8.51
9.74,6.12,17.04,20.8,10.67,12.04,12.66,8.95
15.23,15.54,6.16,3.33,13.02,8.59,8.46,6.21
17.62,21.42,20.14,21.6,14.03,11.51,3.55,3.95
13.81,15.45,8.46,11.29,14.17,10.27,9.04,4.52
10.98,6.47,13.77,14.12,12.93,9.83,8.33,7.44
13.19,11.34,7.05,6.52,9.35,6.03,3.95,9.39
9.92,12.04,8.64,9.26,11.47,3.95,4.97,8.42
8.2,11.47,5.72,4.88,11.47,5.50,2.67,4.08
10.63,8.95,7.09,7.05,13.41,8.02,3.77,9.79
11.42,5.9,4.66,5.23,12.22,10.58,6.03,13.50
8.64,4.44,2.76,4.57,11.03,10.58,5.81,10.63
8.11,12.0,3.64,2.89,10.81,8.06,7.44,4.13
8.81,16.6,4.44,5.76,10.94,5.90,13.68,5.14
6.69,10.85,2.84,3.42,11.56,3.60,11.56,2.53
3.91,5.19,5.98,3.33,12.31,4.04,5.67,2.93
6.74,8.51,15.76,12.53,9.61,4.79,2.80,4.97
10.27,9.12,11.03,7.36,8.51,6.12,7.62,9.39
8.59,6.65,10.81,8.42,8.90,5.76,14.34,8.28
6.96,7.67,5.28,5.81,12.13,4.70,14.74,8.33
12.09,9.39,5.59,5.45,16.47,4.22,13.15,10.41
12.13,6.87,3.6,4.61,13.64,5.50,13.19,8.68
14.34,13.02,10.67,11.16,12.71,6.87,13.99,3.42
15.98,17.57,3.91,6.65,8.11,6.82,6.43,4.35
12.57,13.15,4.39,5.1,6.96,5.45,7.67,9.08
14.26,15.58,5.1,6.29,5.14,3.91,15.58,12.66
21.73,23.06,10.01,11.11,3.42,4.35,22.04,14.61
