ALPHA L,ALPHA R,BETA L,BETA R,DELTA L,DELTA R,THETA L,THETA R
8.55,9.08,4.04,7.22,8.02,12.18,11.11,12.00
5.94,4.57,12.26,9.39,14.30,14.34,20.00,22.79
13.41,9.04,5.23,10.1,16.73,12.40,18.72,28.76
30.09,20.09,20.62,13.24,18.28,12.40,22.66,34.82
32.39,27.39,19.43,20.27,26.95,14.83,23.85,43.18
15.49,25.8,10.36,10.41,38.32,29.34,27.97,35.31
6.16,18.06,9.88,15.1,43.05,30.66,24.91,17.31
9.21,10.27,6.43,4.61,40.70,32.43,13.11,7.75
20.93,21.55,19.12,12.13,30.09,21.95,17.13,18.90
28.5,27.04,12.0,13.19,29.56,24.78,28.28,32.61
19.3,17.7,16.69,13.24,29.16,26.68,35.48,37.87
15.85,20.14,6.91,3.82,37.30,32.96,21.91,19.87
22.26,25.0,9.61,11.34,36.06,33.32,14.74,10.50
10.27,12.97,4.04,7.05,26.24,23.01,16.29,13.19
7.89,4.66,2.09,11.82,16.69,12.49,13.59,13.28
15.54,12.22,4.88,4.26,15.05,5.54,15.05,12.53
17.26,13.02,5.5,3.51,19.43,8.46,24.03,22.35
17.35,13.59,3.51,8.11,18.77,8.86,32.70,31.68
21.64,16.78,18.19,12.84,14.87,10.63,20.54,17.31
20.18,18.94,15.1,17.4,22.84,21.20,17.00,15.98
9.57,22.79,9.43,8.9,31.77,32.52,37.56,37.30
20.31,33.05,10.67,9.21,35.13,35.44,32.08,31.77
29.51,37.61,9.66,6.52,26.20,28.14,14.21,17.88
22.84,32.3,6.38,6.82,14.61,17.00,13.11,24.25
15.63,31.5,4.79,5.45,8.95,11.16,15.05,21.64
17.79,32.61,8.73,10.89,10.54,8.99,21.20,15.85
16.33,26.51,7.97,6.38,12.80,8.77,27.70,19.21
14.08,23.06,7.49,7.31,17.22,13.59,17.70,17.00
25.27,27.3,22.22,15.36,20.67,19.87,8.59,11.56
28.14,25.36,26.68,23.63,35.09,32.70,11.69,19.56
21.77,13.95,8.73,5.54,52.38,49.68,25.14,27.70
17.53,10.94,11.25,9.96,53.53,47.56,23.41,19.96
11.73,16.51,5.81,5.06,47.51,42.38,12.93,12.22
7.31,14.48,8.37,13.19,28.94,22.39,17.57,17.26
11.6,15.98,9.21,6.03,21.38,15.89,21.46,23.76
21.24,15.67,12.8,16.64,18.24,13.28,20.54,24.60
21.29,20.8,15.54,15.32,21.33,17.57,13.95,12.57
14.08,25.58,27.74,26.73,31.81,23.63,10.50,13.95
10.76,26.06,6.69,12.09,43.36,31.68,26.90,28.85
10.23,19.83,13.59,9.43,40.84,28.67,19.52,20.18
8.06,14.61,7.18,7.44,34.87,23.10,22.35,16.29
3.68,11.07,8.46,13.37,15.45,10.36,27.13,25.22
12.13,13.99,9.83,7.18,10.41,8.42,12.49,13.64
15.76,13.28,12.0,7.8,12.13,12.09,10.81,6.52
13.02,11.56,11.42,3.37,19.74,21.55,13.24,9.17
24.52,27.13,16.02,12.88,24.91,29.47,15.01,26.46
34.78,38.98,15.49,17.22,31.42,39.64,18.15,34.38
32.08,29.82,12.66,12.4,37.74,44.99,16.82,26.51
26.68,18.41,6.87,9.12,44.46,44.15,15.45,7.89
24.56,11.87,12.13,9.88,40.13,35.84,15.01,11.65
16.07,12.44,12.13,17.04,30.75,26.73,7.75,9.66
12.31,16.95,6.03,7.75,23.76,20.58,18.28,16.91
27.92,26.99,18.59,26.55,26.11,21.95,27.48,24.16
33.36,28.67,12.66,12.35,34.69,31.59,27.61,21.24
30.44,25.4,15.76,16.86,41.59,41.23,22.75,22.35
32.17,27.92,5.14,6.03,41.85,45.04,15.98,19.56
30.62,26.2,15.49,11.96,36.68,38.58,14.52,17.04
20.93,17.13,5.41,5.81,25.71,23.85,30.35,22.30
11.51,12.35,4.17,2.09,20.14,14.26,19.30,13.15
7.58,4.97,9.3,9.83,20.71,12.80,13.64,14.34
22.75,16.55,13.9,10.41,26.29,18.15,9.43,13.41
27.83,24.21,8.81,9.61,31.68,22.22,17.00,13.41
34.11,25.4,27.39,10.41,34.16,23.45,27.48,15.89
34.33,25.09,17.75,22.57,38.36,34.07,32.21,16.64
20.8,11.69,13.77,4.39,39.11,42.25,36.02,28.72
33.27,25.75,10.89,15.89,36.28,42.78,23.15,18.94
31.33,30.8,9.7,3.91,32.48,37.48,6.25,6.74
12.57,13.33,4.22,9.17,23.32,24.96,7.53,11.96
22.57,13.86,11.03,11.78,21.11,23.85,11.29,13.90
27.17,22.53,4.75,8.51,12.71,14.30,26.02,30.49
31.42,30.62,22.48,19.65,12.31,12.40,32.61,37.56
34.6,36.55,10.85,29.56,18.32,13.72,29.03,27.66
29.07,31.86,11.69,7.31,31.64,24.34,25.89,23.28
19.16,19.03,7.27,6.16,39.69,29.96,17.31,19.21
5.23,5.14,3.42,10.85,36.28,26.64,21.20,22.97
2.05,5.06,7.75,7.75,28.81,17.93,14.79,16.78
12.44,6.34,1.52,9.52,25.80,13.90,18.59,14.21
32.79,13.06,10.94,16.25,25.75,15.45,32.70,30.22
36.33,10.14,20.45,5.59,31.02,21.73,30.53,38.93
23.1,7.18,6.12,6.12,43.40,40.00,20.67,22.61
20.54,16.38,13.41,5.76,43.71,44.51,11.03,6.38
26.42,18.37,9.17,10.76,35.26,39.11,8.68,5.94
18.5,14.61,6.47,4.35,19.08,21.02,10.85,12.53
13.55,20.93,11.03,17.26,17.70,14.65,22.04,28.85
13.37,24.52,7.67,7.05,20.31,15.63,25.27,31.55
21.86,32.26,6.87,12.66,18.19,17.31,19.12,23.59
25.53,35.48,12.75,12.62,18.50,17.31,11.29,22.00
23.76,28.36,23.1,26.55,24.56,23.32,18.28,28.14
19.61,24.07,4.83,3.77,43.71,38.98,38.45,35.66
15.01,22.08,10.76,16.38,47.29,40.92,28.81,28.54
15.14,20.85,9.74,4.13,40.48,34.07,9.66,12.40
7.93,11.78,9.74,9.26,20.93,16.16,14.65,7.05
9.04,8.37,11.29,4.48,13.68,11.47,10.10,5.81
13.81,14.7,10.81,10.19,14.21,11.87,10.36,10.89
21.64,22.7,11.51,12.88,17.88,14.96,15.18,18.06
29.34,27.92,16.95,9.3,16.16,15.01,14.48,16.47
24.96,21.38,25.62,25.49,21.02,20.05,28.72,28.59
12.84,5.9,6.38,15.49,32.83,29.96,29.34,26.95
13.33,14.87,5.45,15.58,33.58,29.60,14.61,14.17
12.53,13.46,4.97,7.67,29.12,23.99,13.90,17.88
15.8,10.14,7.05,9.61,15.49,12.62,11.34,15.27
20.76,16.55,3.68,9.48,10.10,9.92,11.03,11.91
17.53,15.67,7.05,10.54,9.21,12.97,12.18,10.98
17.84,18.37,10.01,4.04,11.47,15.32,4.88,15.41
23.5,23.19,25.93,22.17,20.05,18.63,9.43,15.41
25.58,26.59,14.43,22.88,37.21,31.06,12.18,13.41
20.14,27.74,8.81,4.26,49.11,43.53,24.43,28.63
18.19,26.46,5.06,13.77,54.50,47.34,21.51,26.73
25.14,26.24,3.99,5.37,46.19,40.62,11.38,16.29
26.46,20.49,2.53,7.22,30.93,24.52,10.54,15.27
26.95,16.16,5.5,7.8,22.13,21.11,14.39,18.81
21.42,12.57,12.97,7.97,11.96,14.03,19.83,20.71
17.44,14.3,15.67,10.1,16.20,17.40,20.09,17.09
14.43,18.46,15.8,5.37,20.00,19.34,14.30,10.89
19.39,20.23,22.66,25.0,33.63,28.63,12.49,19.87
22.66,20.49,9.17,10.67,50.12,43.14,20.36,25.49
13.99,15.1,9.04,19.16,50.21,41.54,19.43,16.42
3.99,5.9,5.9,11.11,42.65,33.94,16.02,18.28
15.23,6.91,4.88,10.27,22.53,15.32,5.41,9.88
22.04,11.78,5.14,13.02,13.72,7.62,8.81,3.37
14.92,9.3,10.67,6.56,7.97,4.97,12.97,6.60
4.83,6.87,5.72,9.21,6.07,6.52,15.76,11.42
1.69,8.51,7.62,5.63,10.41,12.71,23.28,18.06
5.01,10.94,3.82,5.9,15.49,21.51,16.78,11.91
19.25,20.27,18.06,14.17,23.90,30.40,8.59,14.17
30.49,27.48,12.8,12.66,34.56,38.09,20.31,27.08
24.78,19.65,17.04,21.91,43.22,42.07,30.18,37.34
5.9,13.72,3.29,4.61,57.95,50.39,22.97,27.39
6.38,20.71,7.67,11.25,52.96,46.59,10.67,10.72
6.96,17.4,7.36,7.4,47.87,40.22,3.02,3.02
6.38,13.11,5.32,10.94,32.17,28.32,9.74,5.14
15.23,17.09,9.79,10.67,21.15,19.92,13.02,13.81
22.61,20.09,25.98,24.83,22.00,22.70,13.41,13.99
24.38,21.73,18.63,19.16,33.76,33.98,7.53,7.49
23.23,21.38,8.86,9.57,48.05,44.64,23.01,26.29
21.55,18.85,11.87,12.66,53.93,50.74,28.59,33.36
19.39,17.09,3.77,8.33,50.61,45.83,18.32,23.99
22.3,21.29,4.79,3.15,40.35,35.22,12.88,15.18
20.14,22.66,4.79,3.33,31.06,24.91,20.18,23.59
19.52,23.63,21.51,16.02,18.55,14.03,28.10,31.11
13.55,21.46,28.94,17.79,16.25,15.27,27.97,23.76
8.95,10.32,55.17,34.11,23.10,23.41,22.88,14.79
17.44,4.26,21.64,19.34,37.30,38.09,16.47,12.66
8.86,8.86,21.95,13.95,41.01,42.12,12.97,16.07
9.79,14.83,11.91,14.92,37.83,39.64,17.70,29.87
7.36,5.54,10.5,5.76,26.82,29.74,20.18,36.10
9.61,14.52,4.48,6.65,24.03,26.15,20.31,34.69
26.33,34.87,27.35,20.27,25.67,25.22,27.26,35.97
31.73,38.45,18.94,17.44,31.19,27.79,21.55,33.14
23.19,32.12,14.34,11.38,37.74,32.30,22.35,27.61
11.73,18.9,6.78,13.06,39.11,32.57,19.25,23.54
11.42,12.4,14.56,10.14,38.62,29.96,13.46,11.78
10.76,9.79,18.77,15.71,32.96,25.53,18.55,10.41
14.87,18.59,10.85,10.85,23.99,20.45,24.78,22.04
23.68,35.04,30.18,23.9,14.87,14.61,22.35,29.12
27.61,41.81,12.71,11.69,17.79,14.39,16.86,26.15
20.36,28.32,10.5,19.43,28.59,22.35,23.63,28.54
10.36,9.04,6.34,4.66,33.98,26.99,20.00,24.56
8.06,5.59,10.1,14.56,26.06,22.26,10.94,15.36
10.32,10.63,6.47,5.94,16.73,11.87,10.10,15.01
24.03,23.37,18.59,18.06,18.19,11.96,20.85,23.15
32.57,31.11,13.24,12.49,25.98,20.62,25.05,24.52
32.12,30.31,12.22,14.79,33.58,29.74,27.21,28.14
25.36,23.32,7.62,14.65,38.32,35.48,19.96,24.03
19.12,13.28,9.17,8.11,29.34,26.64,8.33,14.56
14.56,10.81,7.27,5.63,27.17,27.30,9.30,10.10
18.06,20.58,8.02,7.44,26.90,31.19,17.62,20.31
24.21,31.28,13.86,12.88,34.91,40.84,14.74,24.52
28.1,32.96,20.45,18.46,40.35,44.46,19.43,26.82
26.59,27.35,10.67,7.05,51.50,51.14,34.78,35.26
27.48,23.85,6.74,6.87,51.58,52.11,22.70,24.74
26.37,20.4,5.32,4.79,46.01,46.59,5.54,10.41
23.59,17.26,10.5,5.45,30.27,34.56,3.95,8.81
21.33,19.43,7.8,6.87,21.07,27.17,11.25,17.22
15.76,20.85,24.47,24.43,23.15,30.88,11.82,17.48
16.11,22.08,16.73,17.62,34.42,38.71,11.47,10.50
12.04,12.4,9.7,11.69,44.82,42.83,26.59,23.50
6.12,4.3,9.21,14.65,47.21,39.02,23.85,16.29
6.87,6.69,7.27,4.35,40.88,27.61,11.91,11.20
5.76,7.09,9.08,4.26,29.74,16.20,13.64,14.43
17.04,19.92,13.15,8.95,20.62,10.41,22.39,18.81
18.99,25.22,19.16,17.09,16.42,15.05,21.55,20.54
12.62,26.68,11.03,7.27,21.69,26.33,15.36,16.60
11.11,27.04,24.21,21.73,34.42,36.33,18.41,26.06
10.23,23.01,13.59,5.23,51.50,46.85,34.60,38.32
9.04,13.02,7.4,9.12,52.73,45.83,24.60,24.47
6.65,3.2,10.63,10.89,48.66,40.66,22.08,16.02
15.54,8.9,13.02,3.91,33.10,30.18,30.93,25.14
19.61,13.5,10.14,4.26,29.43,22.61,20.62,9.39
27.48,20.45,21.69,19.52,36.28,25.80,21.07,15.36
28.98,20.18,12.35,16.6,44.33,33.18,16.60,13.06
22.35,3.91,12.97,10.01,49.59,40.44,19.25,22.08
21.91,18.28,9.08,13.77,48.27,40.75,15.36,19.39
17.75,18.46,7.62,5.76,40.26,34.42,11.96,8.99
14.61,12.84,7.05,8.46,28.59,26.51,10.10,7.00
20.45,16.6,11.07,4.79,16.73,20.49,17.00,17.35
20.31,22.17,11.47,7.36,13.24,18.94,20.67,20.98
21.73,27.04,22.92,17.22,19.70,21.82,11.73,12.62
24.43,23.72,26.02,19.78,33.80,31.46,7.13,16.55
23.15,10.5,6.25,7.71,47.12,44.73,17.00,22.79
14.39,10.45,11.87,6.74,47.47,44.29,14.48,11.47
8.37,14.83,10.54,7.22,38.01,36.99,7.71,6.78
8.99,14.96,6.21,18.01,20.31,23.94,5.76,7.00
15.54,18.59,9.66,18.63,16.42,22.57,10.27,15.76
20.8,18.5,11.87,39.73,20.89,27.61,10.14,12.66
