ALPHA L,ALPHA R,BETA L,BETA R,DELTA L,DELTA R,THETA L,THETA R
5.41,5.5,7.89,6.16,9.96,11.87,6.65,6.60
4.57,3.91,1.38,1.78,18.37,20.09,11.82,10.76
4.48,4.26,7.49,5.72,23.23,23.19,12.26,10.63
2.27,2.93,2.14,2.45,28.32,29.34,7.84,4.39
2.98,4.75,6.78,4.7,22.04,22.97,6.69,3.91
4.44,5.06,6.52,4.57,19.74,18.85,10.01,9.08
4.44,6.16,5.1,4.66,9.83,9.43,6.43,10.32
2.0,5.98,5.72,6.56,7.40,7.18,9.70,12.18
2.4,6.12,5.98,7.62,6.60,8.06,13.37,13.68
3.51,5.5,5.59,18.55,13.72,12.35,14.65,11.16
4.04,14.39,1.83,9.48,21.51,16.60,14.61,7.93
3.77,29.87,1.83,43.22,25.53,20.98,18.55,15.63
3.33,27.88,5.14,8.68,26.59,25.36,13.90,22.39
5.59,13.46,3.91,13.02,20.36,23.23,3.82,18.01
6.43,5.45,4.17,11.11,14.12,25.36,1.69,9.35
3.6,5.67,5.67,5.63,6.69,19.43,7.36,10.94
3.33,5.5,15.85,12.84,4.92,19.39,11.03,13.24
8.24,9.92,6.91,8.02,8.59,12.66,10.05,14.08
10.76,11.56,9.7,15.27,21.29,19.70,6.12,8.77
17.26,16.6,10.05,8.46,28.89,22.92,19.03,21.20
24.07,18.28,38.01,46.19,28.76,23.45,27.04,20.05
30.31,23.76,11.34,12.93,27.17,21.91,15.41,8.90
28.5,21.64,20.76,22.44,32.65,29.56,16.55,17.48
18.77,7.13,9.08,9.43,47.43,40.92,13.95,11.47
7.22,8.68,5.37,7.75,56.10,46.10,11.03,15.71
3.29,6.69,1.38,2.36,44.55,33.18,9.04,14.96
5.32,5.06,6.16,3.64,29.74,19.87,3.20,6.60
10.5,10.14,6.03,2.58,18.68,18.85,13.02,13.64
20.67,20.93,20.27,7.4,26.20,29.12,15.01,17.75
26.9,24.52,14.65,20.49,54.95,56.80,13.86,16.42
20.14,13.77,8.46,4.61,66.80,67.59,22.30,23.99
7.8,4.22,3.86,8.46,74.36,69.50,21.11,17.35
5.45,5.54,2.05,5.1,62.64,62.86,10.89,6.21
7.4,2.71,3.95,10.85,49.68,42.38,4.92,8.81
9.3,9.08,8.55,17.4,46.85,48.84,5.76,13.46
17.26,16.95,12.57,31.95,41.19,45.04,28.98,19.83
24.43,21.51,19.12,13.28,50.35,54.02,45.79,23.50
20.45,19.12,4.83,10.54,48.31,58.70,43.53,23.23
11.07,14.48,4.66,2.98,44.77,64.41,23.72,16.29
6.78,7.0,4.3,5.72,34.16,61.62,8.46,15.98
1.96,5.94,3.24,8.02,23.68,53.22,5.94,15.98
2.76,11.51,2.67,9.52,14.92,31.37,4.97,21.60
5.59,12.09,4.39,10.89,9.04,25.14,6.47,22.88
8.77,9.48,5.23,3.6,5.37,20.18,10.23,19.08
8.11,9.35,12.22,8.81,10.05,24.21,14.08,9.96
6.78,8.11,5.76,6.96,14.52,23.90,11.60,6.65
8.28,5.98,10.85,4.39,18.46,14.08,5.59,6.03
8.24,4.61,11.87,9.12,19.30,8.20,16.82,3.51
9.39,11.03,5.28,7.27,17.84,2.93,22.35,4.30
8.59,18.46,25.93,39.47,13.19,3.42,14.12,9.12
10.67,18.55,13.41,8.15,7.31,6.38,10.54,16.95
10.63,9.26,12.93,19.25,8.02,11.11,10.23,22.70
3.68,2.14,9.7,5.9,15.32,16.51,5.54,21.07
3.51,3.77,8.77,5.14,19.52,18.94,3.11,11.96
4.26,4.08,6.6,7.27,19.30,19.61,5.76,7.97
3.51,3.82,5.45,2.89,16.16,18.55,11.29,10.50
4.57,3.51,8.33,6.12,23.63,23.19,9.74,6.52
6.87,6.91,9.04,3.82,32.79,28.01,16.64,18.19
8.73,11.2,5.37,3.02,39.95,34.33,20.23,25.80
11.2,10.85,4.52,6.56,47.91,42.34,11.29,13.99
10.36,6.07,2.93,5.37,49.86,49.46,11.25,9.88
4.66,2.71,4.17,4.39,48.00,48.18,11.07,15.05
3.15,5.23,2.14,2.05,38.49,38.76,7.71,7.22
5.23,5.76,3.91,3.02,29.87,26.73,9.04,6.69
3.73,4.13,4.75,5.1,22.92,17.40,6.12,5.14
4.44,4.08,4.83,1.52,18.68,11.96,5.45,3.99
7.22,4.39,4.48,4.48,17.84,9.43,10.85,3.82
6.65,2.67,2.98,6.07,20.14,11.82,15.58,3.95
5.94,1.43,6.25,7.93,21.55,13.72,21.29,11.56
2.67,2.14,6.03,7.67,19.16,16.42,27.26,18.24
7.0,3.29,6.6,5.23,14.96,16.38,19.34,14.43
8.11,4.48,3.64,3.95,14.08,17.70,7.05,4.79
3.68,5.32,13.24,8.46,10.41,17.79,4.52,7.36
2.58,3.99,4.35,5.14,11.60,19.08,8.81,4.66
2.49,2.93,21.55,5.72,17.48,27.88,12.93,7.97
4.17,4.75,5.63,7.75,24.12,29.25,14.26,17.75
4.39,8.11,3.29,8.37,31.02,34.20,10.50,20.71
3.55,6.21,5.32,3.15,33.32,30.31,7.22,13.02
3.37,5.23,4.35,6.38,28.54,24.65,4.70,7.84
3.86,8.55,2.09,6.47,23.81,15.67,2.09,6.16
2.93,6.43,3.77,4.92,11.60,9.04,3.86,4.79
2.58,3.6,2.31,2.89,8.15,10.27,3.20,9.30
5.23,6.43,2.58,3.55,4.44,14.92,6.74,8.86
6.65,7.13,4.57,5.37,4.83,18.46,11.38,7.71
4.35,7.0,1.96,3.2,3.77,15.80,10.98,10.14
2.31,6.78,3.6,6.69,3.15,12.88,6.87,7.62
3.91,8.64,3.64,4.13,3.60,6.96,3.20,5.45
6.96,9.3,2.89,5.85,10.45,8.33,6.96,9.57
