ALPHA L,ALPHA R,BETA L,BETA R,DELTA L,DELTA R,THETA L,THETA R
5.63,4.79,11.42,7.44,6.03,10.89,7.05,3.60
4.75,4.7,8.15,9.35,4.66,8.24,5.72,2.89
4.44,2.76,2.18,7.84,3.42,5.23,5.90,4.92
4.57,4.92,8.11,10.19,3.55,3.51,6.69,7.31
5.23,5.85,5.85,5.23,4.79,6.34,5.81,6.03
3.51,5.01,5.37,9.7,4.92,9.21,5.72,5.01
4.75,6.56,10.67,6.74,9.48,16.60,11.87,10.27
7.36,7.4,8.99,3.91,12.26,19.65,12.53,7.36
8.59,7.53,3.6,16.11,25.00,27.61,9.35,4.61
7.44,12.35,2.53,8.37,30.00,30.04,9.88,7.71
3.77,9.92,2.71,6.78,33.10,31.59,8.11,8.33
1.47,2.67,2.58,3.51,26.77,28.94,4.52,10.05
4.92,9.12,3.91,8.51,18.41,22.70,2.36,8.55
6.25,10.1,7.27,9.39,16.25,19.21,9.83,4.17
8.81,2.49,10.94,9.79,17.09,14.83,36.86,2.27
9.74,2.4,27.04,12.75,32.52,18.41,51.50,5.50
11.38,5.76,2.89,7.13,39.07,20.49,41.68,20.40
6.87,13.86,8.99,29.47,38.85,34.82,22.04,43.09
2.89,16.2,3.91,8.73,27.57,39.42,4.17,46.54
1.38,9.48,1.61,9.35,15.32,44.64,1.92,24.78
0.9,12.0,1.07,5.76,8.77,37.25,1.07,9.26
1.25,15.36,1.92,7.36,2.93,25.09,1.16,4.35
1.87,10.72,3.24,9.35,2.67,14.74,2.27,5.10
4.17,8.37,3.55,22.88,3.11,4.26,3.51,8.24
5.59,6.34,8.99,17.26,5.81,5.32,8.68,12.71
3.68,5.06,3.55,22.17,6.16,6.07,10.63,13.55
3.2,5.06,3.99,14.3,5.85,9.21,6.29,9.83
4.79,3.68,5.9,5.72,3.64,7.00,4.13,9.21
6.16,7.49,10.05,7.53,4.61,6.21,6.07,10.01
2.62,5.5,9.57,25.31,5.45,3.82,3.95,7.89
2.8,2.05,10.27,12.84,5.81,5.10,3.11,12.22
2.45,3.15,3.91,13.81,5.32,5.98,3.77,13.06
4.17,2.49,8.55,16.42,4.04,9.57,3.46,9.39
4.97,8.51,6.38,6.69,3.20,9.12,4.13,7.71
4.3,14.12,7.49,7.05,2.49,9.39,6.38,6.65
7.31,15.36,5.45,15.1,2.27,7.40,7.09,4.08
9.7,9.3,6.38,7.67,5.32,7.89,3.64,6.34
5.85,2.8,4.61,6.34,6.74,8.24,5.54,9.30
4.44,9.26,6.56,11.6,8.46,10.76,5.10,4.30
6.38,8.15,4.08,3.73,8.28,14.83,9.43,7.09
3.24,2.27,3.99,7.89,11.56,26.24,9.61,8.46
2.76,2.53,4.75,6.74,11.78,31.15,10.10,3.73
5.54,4.04,7.44,5.41,10.41,28.98,11.69,4.79
3.82,7.67,8.77,16.91,5.45,17.93,12.35,9.57
5.32,8.24,11.03,7.05,5.81,9.48,13.59,19.39
7.4,3.91,10.27,9.52,8.11,13.77,18.19,30.93
8.15,11.96,23.41,18.06,13.55,18.77,35.09,29.20
14.39,22.08,21.6,14.87,18.90,33.41,46.59,24.60
10.45,21.51,14.48,11.6,33.98,38.62,38.05,31.64
5.98,13.41,15.63,3.86,38.36,42.03,14.26,23.06
9.7,9.83,9.7,6.07,39.64,30.27,19.78,18.24
17.93,17.48,8.68,12.26,31.95,18.06,24.29,17.57
24.34,21.86,14.52,15.14,35.93,20.31,18.59,26.77
25.93,22.22,13.11,13.9,40.92,31.77,30.31,31.95
21.55,19.03,3.82,8.37,42.12,40.35,27.35,20.98
15.05,16.86,9.57,7.05,38.58,40.79,14.56,10.54
10.94,15.8,3.77,5.72,26.29,26.99,8.77,15.71
15.54,20.36,7.67,21.64,26.68,22.13,14.52,26.20
18.46,28.19,12.71,17.44,26.37,20.80,11.47,26.77
14.21,24.65,24.91,23.32,35.04,27.30,15.58,28.10
5.67,12.49,15.45,14.03,42.21,39.42,28.36,28.67
4.92,3.02,17.17,16.64,39.82,41.90,19.78,17.13
9.88,5.1,7.36,6.38,31.59,36.24,7.44,9.21
15.23,10.81,12.53,9.83,15.54,24.74,8.11,8.64
15.32,14.65,13.99,6.38,7.71,12.75,11.07,9.12
15.8,15.18,12.04,12.09,5.37,11.03,8.33,4.88
17.62,13.81,9.57,9.88,3.91,6.82,11.34,5.85
8.33,6.21,13.55,5.23,5.10,6.78,16.07,12.26
7.36,6.25,9.39,8.59,8.15,5.98,15.14,13.46
17.84,11.65,12.04,7.13,11.69,12.04,19.92,20.40
17.53,4.7,16.73,13.46,12.22,17.84,28.54,37.30
17.35,12.93,14.26,19.43,24.52,29.25,36.68,47.43
17.84,17.84,10.54,7.62,35.75,41.06,32.70,35.88
8.11,9.39,15.27,8.42,45.52,42.12,15.05,14.08
6.29,3.82,15.63,11.51,41.41,39.38,11.82,9.61
6.52,6.03,12.35,7.97,26.68,20.93,7.44,9.52
8.15,10.14,10.23,5.54,16.29,13.50,3.86,6.78
14.74,14.03,14.21,17.75,10.72,9.66,9.48,8.11
12.57,12.97,7.62,8.42,10.27,10.32,36.63,39.07
20.05,7.44,28.36,33.94,10.85,14.92,51.01,59.37
25.05,3.6,22.44,9.61,11.87,17.00,44.82,61.67
15.58,7.36,18.77,17.48,26.20,23.72,31.77,45.97
4.04,7.31,13.28,6.87,32.52,31.33,10.85,20.89
6.29,2.98,7.67,14.83,31.50,30.62,5.63,8.20
5.32,4.92,5.14,3.91,20.31,25.71,9.61,6.34
6.21,7.58,7.75,9.3,10.23,12.97,13.59,12.97
7.05,11.42,6.91,4.13,7.27,8.37,16.64,18.10
7.0,11.29,16.33,7.75,7.40,7.00,16.02,17.26
3.6,6.47,13.19,6.78,11.96,8.77,10.36,15.18
3.64,6.16,14.34,8.9,11.82,6.69,6.16,10.76
4.39,6.21,15.45,16.16,12.75,8.28,6.56,6.25
4.52,4.97,7.97,8.2,9.21,8.06,8.02,8.33
6.16,8.46,6.6,13.72,12.88,13.24,16.07,16.78
10.58,14.26,6.47,3.55,11.38,11.78,28.14,26.90
18.94,25.58,15.45,22.08,13.99,12.04,30.88,30.04
25.18,28.98,16.07,12.57,22.88,17.17,28.19,28.32
