TIME,BETA R PIP,ALPHA R PIP,THETA R PIP,DELTA R PIP,BETA L PIP,ALPHA L PIP,THETA L PIP,DELTA L PIP,BETA L,BETA R,ALPHA R,THETA R,DELTA R,ALPHA L,THETA L,DELTA L
sec.,B,B,B,B,A,A,A,A,A,B,B,B,B,A,A,A
0.125,===,===,===,===,===,===,===,===,0.90,1.38,6.16,===,===,0.81,===,===
0.250,===,===,===,===,===,===,===,===,1.30,1.43,2.80,5.19,===,1.12,1.25,===
0.375,===,===,===,===,===,===,===,===,1.65,1.56,1.83,3.37,1.92,2.62,2.80,2.31
0.500,===,===,===,===,===,===,===,===,2.45,2.00,3.64,2.84,1.78,3.82,3.86,3.29
0.625,===,===,===,===,===,===,===,===,1.21,2.62,3.11,2.14,2.05,3.42,2.71,4.04
0.750,===,===,===,===,===,===,===,===,2.00,2.00,1.78,2.71,2.62,1.56,3.46,4.30
0.875,===,===,===,===,===,===,===,===,1.83,1.43,2.58,4.88,3.51,4.26,6.47,3.68
1.000,===,===,===,===,===,===,===,===,3.55,3.51,2.98,4.44,2.71,4.13,6.52,2.71
1.125,===,===,===,===,===,===,===,===,2.89,1.74,3.60,4.08,2.76,2.62,4.04,2.18
1.250,===,===,===,===,===,===,===,===,3.46,3.91,6.16,3.11,3.11,5.81,2.14,2.53
1.375,===,===,===,===,===,===,===,===,3.29,2.58,5.37,2.53,5.01,6.91,4.48,3.15
1.500,===,===,===,===,===,===,===,===,2.27,1.96,1.65,4.75,4.79,4.13,5.81,2.98
1.625,===,===,===,===,===,===,===,===,2.05,2.40,4.13,6.34,4.04,2.84,5.72,3.11
1.750,===,===,===,===,===,===,===,===,2.31,2.18,4.79,5.90,2.62,4.66,3.77,4.13
1.875,===,===,===,===,===,===,===,===,1.52,2.84,3.77,3.77,2.89,5.10,2.27,6.07
2.000,===,===,===,===,===,===,===,===,3.82,3.46,4.04,4.92,3.20,6.91,4.44,6.74
2.125,===,===,===,===,===,===,===,===,3.15,1.74,5.63,5.06,3.64,6.96,3.77,7.13
2.250,===,===,===,===,===,===,===,===,2.89,3.20,8.06,4.52,2.76,8.15,2.80,6.96
2.375,===,===,===,===,===,===,===,===,1.83,3.11,7.62,5.01,2.22,7.93,5.32,6.07
