ALPHA L,ALPHA R,BETA L,BETA R,DELTA L,DELTA R,THETA L,THETA R
8.64,6.87,9.21,14.74,18.01,19.08,11.47,13.11
7.8,10.27,4.88,9.7,25.89,18.59,14.83,9.57
10.94,15.58,5.06,10.81,32.88,24.52,19.12,7.27
18.9,22.13,15.8,10.01,35.66,26.99,17.93,9.52
18.85,22.17,17.04,20.54,45.44,32.03,14.26,25.05
12.49,11.56,7.62,2.71,49.99,44.73,20.23,27.70
8.06,5.85,9.79,7.62,48.89,38.85,16.29,17.13
13.64,5.76,6.52,3.86,37.08,42.96,9.66,15.63
16.95,8.77,8.28,10.58,25.00,32.39,15.36,15.54
13.64,17.93,12.26,36.46,17.70,44.02,20.27,11.34
4.39,24.03,5.06,8.81,12.66,36.46,16.86,7.31
11.6,18.46,21.86,44.6,14.87,32.48,30.00,11.47
17.88,7.05,8.73,5.45,20.80,26.82,30.04,25.53
21.38,17.09,17.04,28.67,27.39,26.37,14.21,47.25
22.75,11.38,16.82,22.26,39.60,27.08,33.49,65.25
16.16,29.16,29.07,21.02,38.98,23.99,32.88,53.04
12.09,52.42,28.67,14.96,37.61,21.95,18.50,20.27
6.87,45.17,12.4,4.92,23.99,25.09,32.88,16.16
18.19,30.04,30.13,13.37,16.82,30.62,44.99,15.05
28.98,21.86,22.97,27.35,21.46,33.05,34.20,29.12
21.2,20.71,12.93,11.96,26.20,48.84,34.91,17.40
10.01,15.85,8.02,16.6,43.09,52.42,27.30,18.15
6.52,13.06,6.21,9.08,39.69,65.96,17.48,31.06
6.43,13.19,5.1,9.43,38.49,61.84,9.48,23.15
5.37,7.58,7.67,13.95,21.60,54.64,9.83,23.68
8.55,19.7,14.65,23.1,19.87,40.26,14.43,51.27
4.57,19.61,23.32,22.7,24.34,24.65,20.85,52.25
18.32,4.08,12.49,15.98,31.02,18.90,28.54,25.27
27.13,20.8,20.45,18.68,24.43,18.81,29.16,13.06
18.99,21.2,22.0,5.37,18.19,19.65,17.84,36.55
14.61,15.98,31.19,28.5,14.17,23.85,12.35,44.68
15.63,17.4,11.87,12.62,23.37,27.79,20.00,37.52
19.56,13.11,13.28,4.3,26.02,28.10,24.12,36.19
20.8,12.53,8.37,19.43,37.12,31.86,31.50,40.53
31.28,18.5,10.63,6.56,32.79,27.66,35.97,42.34
39.47,25.8,32.34,29.07,36.33,32.26,40.88,31.86
40.0,22.97,28.89,33.05,24.96,30.44,37.48,18.37
26.77,7.67,14.61,16.69,26.77,33.10,17.93,8.06
24.25,8.64,22.48,35.84,30.40,32.88,14.65,25.09
24.03,17.53,10.36,24.29,40.13,38.76,12.80,36.90
22.79,15.01,12.57,10.01,42.43,42.83,23.94,33.05
15.18,6.47,4.22,10.1,42.21,40.08,20.23,23.94
9.35,4.39,8.15,7.89,27.74,28.89,10.27,13.46
7.49,7.67,3.42,13.99,21.24,19.34,12.93,10.89
13.33,19.3,13.15,11.38,10.81,22.57,13.46,8.06
22.0,24.83,9.04,14.34,11.11,26.64,22.00,28.32
21.15,18.01,20.89,9.04,15.14,32.03,26.95,42.43
9.39,15.85,8.73,12.8,22.61,33.45,16.51,36.63
13.19,13.95,11.91,17.35,31.73,31.81,18.90,14.03
12.84,14.34,13.86,15.36,35.79,29.20,32.12,18.46
5.94,15.98,5.1,12.75,37.43,22.70,29.69,33.89
8.59,12.0,5.81,8.86,34.56,23.99,24.38,30.93
10.32,4.7,4.22,8.64,29.96,31.19,25.31,22.53
15.32,4.66,23.9,8.51,34.25,36.06,36.63,11.56
18.85,14.92,12.97,17.62,34.78,44.51,32.34,20.49
12.26,22.44,7.93,11.25,46.67,55.79,8.81,35.31
5.37,19.87,3.82,15.32,38.32,64.14,8.95,28.28
9.21,12.0,5.81,6.6,49.64,69.76,10.81,10.19
10.76,7.44,4.44,5.59,36.72,64.50,37.03,14.52
20.05,14.34,11.96,8.2,37.43,50.88,44.37,12.97
34.29,28.23,9.48,15.05,21.91,38.49,25.80,18.72
32.83,31.02,13.06,31.99,23.19,18.81,25.84,24.52
20.67,14.74,6.29,6.69,26.64,17.97,38.27,29.69
19.39,9.39,5.72,2.53,28.32,16.55,41.06,25.49
12.8,8.24,18.24,8.02,32.17,24.87,25.00,18.06
15.18,6.6,14.79,9.48,23.85,33.36,7.09,17.40
