ALPHA L,ALPHA R,BETA L,BETA R,DELTA L,DELTA R,THETA L,THETA R
3.51,9.79,5.98,15.71,18.28,23.76,10.45,4.79
4.22,7.89,3.99,4.88,25.49,30.09,7.67,10.14
4.26,6.16,3.86,4.7,23.45,28.01,4.7,10.54
5.63,6.43,8.06,5.37,34.73,38.01,10.45,8.95
2.62,5.94,2.8,2.45,30.71,34.38,18.68,21.29
2.18,5.1,10.36,9.08,30.93,34.07,17.22,22.61
8.64,4.83,6.07,3.33,22.53,25.31,10.63,18.5
14.17,12.13,8.28,8.86,22.88,25.8,13.19,20.09
13.46,12.84,10.01,8.02,24.07,32.12,20.23,17.13
7.4,5.32,5.01,1.65,23.81,33.98,13.02,7.22
5.5,4.08,2.22,4.92,22.48,34.73,5.23,9.08
7.89,8.9,8.51,4.26,18.15,23.59,3.33,7.49
7.05,9.12,5.45,6.47,21.91,19.83,7.93,11.03
5.5,7.67,14.43,11.82,21.02,15.23,8.86,15.18
2.18,4.88,4.04,8.28,25.53,19.61,14.39,16.69
3.86,5.85,9.35,18.59,27.66,26.15,25.4,26.46
6.56,10.72,12.22,6.43,36.99,36.72,25.71,26.99
8.95,8.02,2.45,4.13,55.79,53.75,16.25,15.01
8.11,2.14,13.81,6.03,58.13,53.66,7.27,5.59
7.58,5.41,6.29,4.97,55.48,51.85,12.09,8.2
8.15,2.76,9.35,4.83,29.74,30.04,8.55,11.65
6.47,3.77,4.97,7.13,23.68,33.85,9.21,13.72
5.14,3.82,11.25,6.52,21.2,29.38,9.39,4.66
7.67,6.96,9.88,10.67,36.41,40.75,10.41,7.84
6.25,6.65,8.2,4.92,34.95,29.65,12.62,16.25
3.73,2.22,15.49,13.86,32.48,27.97,15.71,14.08
5.81,8.81,10.63,3.51,17.31,12.88,12.93,8.11
7.84,11.25,9.26,8.06,11.51,8.42,11.2,7.13
8.02,7.62,7.05,4.88,9.26,7.58,10.45,10.72
7.58,5.23,5.37,2.84,9.66,12.0,5.06,9.48
6.6,6.82,5.76,6.69,10.23,16.69,3.29,11.11
6.03,7.93,8.99,6.25,9.43,15.67,7.53,11.25
5.85,8.06,5.06,6.91,11.03,17.26,7.71,10.36
7.58,7.71,5.1,6.82,12.26,19.96,12.26,22.04
9.3,5.63,3.77,4.26,13.46,21.69,15.05,23.06
9.21,5.01,9.43,6.29,13.99,23.68,8.99,12.04
5.59,8.46,4.48,3.68,17.35,22.84,6.43,4.17
2.0,11.16,7.31,9.12,20.58,22.53,9.52,9.88
4.17,11.29,7.71,3.86,20.85,19.21,7.71,16.64
7.05,10.05,3.51,4.17,23.41,18.06,8.95,20.71
9.66,5.54,8.77,5.23,19.65,14.21,11.11,19.92
10.05,7.36,3.24,3.77,25.09,16.07,10.32,15.18
6.07,6.34,3.2,7.44,19.96,13.02,5.23,12.09
5.81,5.94,4.22,3.37,23.15,15.71,7.62,14.48
8.2,11.29,9.04,5.63,15.14,13.95,12.97,14.48
5.28,8.55,1.92,5.23,11.34,11.91,12.62,6.82
1.92,5.72,7.05,4.26,12.84,8.28,8.99,10.36
4.13,7.0,4.13,3.64,17.62,4.79,7.36,12.18
5.72,7.22,6.16,4.13,28.72,7.93,14.74,17.22
4.75,4.57,4.08,3.77,32.74,10.36,14.52,15.76
7.31,2.76,7.4,4.75,33.23,16.38,5.9,7.8
9.21,2.18,6.38,19.43,34.29,15.85,8.42,5.98
6.74,12.66,11.82,8.33,29.87,18.1,13.11,5.9
6.69,22.79,15.63,34.07,30.75,21.33,7.71,18.24
6.16,23.54,5.59,18.19,28.5,28.32,7.75,28.72
7.13,15.05,7.36,18.68,36.37,42.03,12.97,32.12
13.59,4.7,14.56,24.91,35.48,40.35,7.62,21.38
8.86,3.82,8.73,5.98,42.43,46.54,6.78,6.65
2.58,4.92,7.13,12.57,35.13,35.66,21.15,18.46
3.86,6.91,8.46,10.19,46.28,41.23,25.84,23.9
5.32,8.33,8.33,12.31,48.22,38.01,22.22,19.39
3.55,8.86,12.35,12.13,52.16,40.75,19.52,16.47
3.2,6.29,12.0,15.49,57.25,47.78,14.21,13.24
