ALPHA L,ALPHA R,BETA L,BETA R,DELTA L,DELTA R,THETA L,THETA R
2.36,2.27,2.8,3.07,2.22,7.18,2.76,2.14
3.73,3.82,1.92,1.3,3.37,7.36,4.17,2.80
2.62,1.74,3.82,2.58,5.06,8.95,5.90,5.94
3.82,4.13,1.21,1.21,6.03,11.11,5.50,7.05
4.75,5.76,3.29,1.74,6.60,11.11,4.13,5.63
3.07,3.29,2.22,2.22,6.25,10.58,4.83,4.70
2.0,2.36,1.12,2.89,6.52,8.81,4.17,2.62
4.22,3.91,5.28,3.73,5.94,7.93,3.24,2.18
3.77,2.31,3.73,2.31,5.01,7.71,4.75,5.59
2.71,1.83,3.91,2.0,2.89,5.63,5.14,6.82
4.52,4.66,5.45,1.96,3.91,7.09,3.29,4.83
5.37,4.22,4.22,1.38,4.48,6.43,2.89,2.93
5.5,1.92,3.15,1.61,6.25,7.58,4.08,2.09
4.92,2.89,2.76,2.45,5.67,6.43,6.29,3.24
7.71,6.21,4.66,1.87,8.59,7.89,14.39,9.79
9.61,7.8,4.26,3.64,18.55,14.74,25.71,17.57
8.64,4.97,6.21,3.86,24.60,19.56,26.46,15.54
5.81,1.96,6.03,4.57,28.67,21.82,18.46,9.30
3.46,4.04,9.3,3.86,22.88,17.79,8.20,10.01
7.18,5.1,7.05,3.2,16.29,12.57,3.42,9.35
7.71,5.23,4.66,3.99,9.66,9.66,3.20,8.99
4.83,4.52,6.47,2.36,5.01,8.77,1.83,11.34
1.56,3.77,3.55,3.02,6.38,13.28,4.04,13.64
2.4,4.61,3.91,3.2,7.93,14.43,5.23,11.16
2.62,4.44,4.57,2.4,8.77,14.87,4.57,7.93
3.46,3.37,5.59,2.0,9.88,11.87,3.99,4.13
4.88,2.62,2.45,3.07,8.86,10.58,5.19,3.33
5.1,1.92,6.12,3.15,11.20,13.77,6.96,6.52
6.52,3.73,4.97,2.89,16.51,20.18,10.05,8.77
8.68,8.11,10.19,9.39,22.79,27.26,20.62,18.90
7.67,7.89,5.28,3.91,29.34,33.36,26.15,24.07
3.86,2.58,5.85,3.51,33.32,35.44,16.38,16.78
2.4,4.7,5.85,3.51,30.09,30.75,4.70,8.46
6.6,6.25,2.84,2.53,29.43,26.77,1.96,5.94
11.07,8.86,5.98,4.52,21.55,19.21,5.98,3.24
12.09,10.63,4.88,5.5,18.28,16.38,5.72,6.34
7.4,5.28,5.06,13.59,12.53,12.31,2.98,5.90
11.16,15.85,5.54,4.88,14.52,10.94,8.46,16.02
24.83,33.01,8.55,27.7,23.28,16.95,23.76,38.49
26.33,34.03,22.53,5.28,39.16,29.29,29.34,49.28
12.4,18.37,11.56,12.71,40.31,33.94,21.69,36.99
10.89,13.59,7.0,4.7,38.27,35.22,19.92,19.21
12.57,17.53,15.85,15.32,25.84,27.83,23.63,19.78
12.44,17.4,8.28,6.25,22.17,24.65,28.23,27.57
11.07,13.86,4.88,2.84,16.73,18.24,21.20,21.64
6.78,8.95,4.22,3.95,11.56,13.37,6.56,6.60
2.31,5.01,4.48,3.02,9.04,11.51,3.77,1.69
5.45,1.92,5.41,4.17,9.21,11.03,3.64,1.34
6.38,3.02,2.53,2.67,8.64,9.08,3.24,1.30
4.35,2.05,7.67,4.92,6.65,7.36,4.04,2.31
2.67,3.07,2.67,2.98,5.72,7.53,4.79,4.83
4.7,3.77,6.21,7.4,8.24,10.45,3.42,4.48
4.48,4.3,4.13,5.19,8.90,8.28,5.10,5.72
6.78,6.43,5.76,5.32,7.67,8.64,5.37,7.80
7.53,6.96,2.98,1.61,5.63,7.49,4.44,6.96
3.68,4.75,2.71,2.49,7.09,12.35,4.83,5.28
1.83,2.31,2.58,1.74,8.86,13.06,2.67,4.08
1.47,1.3,1.38,3.07,11.11,13.50,5.23,2.49
2.36,1.43,2.76,2.84,9.43,10.67,6.56,3.64
3.46,2.05,2.76,3.51,7.40,8.06,7.53,6.52
3.07,2.22,3.73,1.96,4.92,6.16,8.81,7.93
2.71,1.65,2.71,3.42,3.02,4.35,9.35,7.67
2.8,1.74,2.98,2.4,3.11,4.04,6.60,5.06
3.82,2.76,1.47,1.34,5.01,5.98,2.40,3.82
3.82,2.89,4.35,3.07,6.25,7.18,3.68,4.48
3.02,2.14,2.93,2.36,7.31,7.89,5.14,4.39
2.31,2.89,5.06,3.86,6.56,6.52,5.54,2.53
1.52,3.24,3.02,1.16,6.74,6.16,4.08,2.27
2.31,4.44,4.61,4.52,8.90,7.00,3.11,5.32
1.78,4.35,3.11,2.62,9.96,6.21,3.07,6.60
1.47,2.31,2.18,3.77,11.07,5.32,4.22,7.13
1.47,1.47,2.76,2.89,9.35,3.55,4.35,6.91
1.78,0.94,2.09,3.64,7.49,4.30,4.17,2.98
3.64,1.65,5.23,4.26,5.76,5.98,4.57,3.82
5.32,3.95,2.27,2.18,5.01,7.71,3.77,6.29
5.5,4.48,2.22,1.69,5.85,8.46,3.46,5.10
6.43,5.37,4.13,3.86,8.73,8.90,4.61,5.10
7.8,7.4,2.05,4.7,13.02,11.20,15.49,17.35
8.2,8.9,4.75,3.73,25.36,20.76,22.88,23.94
9.35,7.13,2.09,3.99,31.06,24.65,20.27,18.41
8.15,3.68,2.98,2.27,32.61,25.05,11.65,9.79
5.72,3.82,4.48,3.95,26.15,15.58,5.06,6.52
3.99,1.87,5.63,3.33,17.75,11.16,4.66,5.23
1.56,2.67,4.35,5.01,12.80,8.64,5.45,4.22
1.25,2.14,3.55,1.61,7.27,10.01,7.80,4.17
2.53,3.46,2.89,6.07,6.82,10.36,7.22,3.86
3.46,3.51,2.67,2.4,5.76,11.65,4.17,3.60
2.62,3.11,2.09,1.74,5.50,10.98,2.76,3.33
2.62,3.24,3.02,1.61,3.95,10.19,2.93,3.46
1.38,3.37,2.93,2.93,3.82,8.11,6.29,5.67
2.8,3.86,3.68,2.71,5.23,6.16,6.38,5.50
2.18,3.42,4.44,3.02,6.82,4.35,5.14,5.10
2.22,2.53,2.31,1.3,7.40,3.42,7.27,6.25
1.43,1.78,2.36,2.27,6.29,3.91,5.90,5.41
1.74,1.83,2.98,2.93,6.07,3.37,4.52,3.95
1.87,1.65,2.93,3.24,5.14,3.51,4.52,2.71
1.92,0.77,3.64,1.83,4.92,3.11,6.78,3.15
2.8,2.18,3.37,2.14,3.68,3.24,6.52,3.95
3.6,2.76,5.72,1.47,3.02,2.62,3.86,4.97
