ALPHA L,ALPHA R,BETA L,BETA R,DELTA L,DELTA R,THETA L,THETA R
5.19,3.6,7.36,4.7,5.01,7.53,12.49,6.34
6.69,3.46,4.92,5.41,6.38,4.52,23.99,18.41
5.59,2.8,7.84,4.39,4.97,3.99,32.74,27.30
2.45,1.16,3.82,7.89,4.83,4.83,24.34,23.99
3.99,1.43,3.07,2.53,2.98,3.60,6.87,13.37
5.45,3.73,4.44,3.15,3.91,3.73,8.15,8.64
7.71,4.7,4.08,4.26,6.65,4.92,16.33,12.09
11.65,5.14,5.19,4.22,19.25,10.98,30.35,21.73
12.31,2.45,2.84,3.15,29.47,17.13,30.58,25.89
5.94,1.69,4.3,4.52,37.52,20.40,21.73,22.66
2.4,3.95,3.95,3.77,44.24,24.91,18.10,19.96
1.25,4.66,4.7,3.07,41.32,22.92,8.51,12.49
1.43,5.63,7.09,5.63,45.66,26.64,7.97,5.23
4.97,5.54,2.93,3.46,37.08,24.74,9.88,5.50
7.75,5.28,10.14,10.54,36.19,24.34,10.58,10.58
6.74,5.41,6.87,5.37,31.81,23.32,16.16,14.79
6.69,7.22,4.26,3.86,26.82,16.64,16.95,14.96
8.68,6.21,8.86,5.94,22.84,12.80,8.99,8.59
11.6,3.11,5.98,3.68,12.35,7.44,3.77,3.11
13.06,8.95,5.59,3.64,10.72,11.47,2.93,7.00
12.18,9.52,6.12,4.26,8.95,13.41,10.32,9.04
8.2,6.52,4.83,3.02,13.59,19.21,17.88,9.88
8.51,7.4,2.18,3.86,10.14,17.26,10.63,9.92
13.19,11.78,3.02,4.83,10.81,17.66,15.05,13.41
14.3,9.52,3.11,5.41,8.42,13.41,23.90,10.36
10.01,4.35,3.24,6.69,10.67,10.58,17.04,4.75
5.06,7.93,3.33,4.13,7.89,8.02,8.86,10.05
8.11,10.67,3.07,6.34,7.09,9.74,23.32,19.16
5.1,5.72,3.2,3.91,10.14,12.26,25.49,19.43
6.03,2.45,2.98,3.2,12.44,17.00,12.62,12.00
11.25,8.95,3.86,3.07,15.76,12.09,13.72,16.60
12.18,10.14,3.68,4.35,13.46,8.81,33.32,31.90
9.08,8.73,4.52,4.52,16.95,6.16,35.40,35.84
9.04,8.9,4.75,4.61,18.32,8.51,32.79,38.67
10.67,9.17,6.96,6.21,25.00,13.41,28.01,34.91
13.72,6.91,5.85,5.1,22.84,12.09,24.52,32.12
8.33,2.53,3.11,4.61,21.91,10.63,26.77,27.79
4.22,6.78,4.92,4.88,16.95,6.65,29.12,24.43
7.97,6.87,6.07,5.85,19.21,9.21,34.33,26.06
6.47,6.82,2.98,4.52,21.69,12.40,33.27,24.65
5.85,8.37,10.1,10.01,24.34,16.82,23.63,17.84
7.36,6.12,2.8,3.11,28.94,20.71,22.30,17.17
6.52,5.63,10.36,8.33,26.33,20.80,23.37,20.18
4.26,5.19,3.46,2.4,30.49,26.20,29.87,26.90
6.82,2.98,6.91,3.11,23.94,23.06,31.33,28.81
10.81,6.65,3.6,5.23,28.36,28.23,21.64,20.67
16.25,9.88,6.38,2.09,18.85,20.98,10.19,11.25
17.4,11.11,5.81,6.78,16.82,19.16,7.58,7.09
10.45,6.03,2.18,1.74,13.90,15.67,13.72,8.02
4.35,1.74,7.62,5.28,21.11,19.87,16.42,8.15
3.2,3.42,4.04,5.76,30.97,27.79,11.82,6.43
10.14,5.45,3.68,3.42,27.97,26.06,5.37,5.45
11.96,6.25,2.31,3.11,26.20,26.59,15.49,19.30
7.05,6.74,3.33,2.67,15.85,17.88,20.54,23.41
4.61,7.97,2.14,4.17,15.89,18.68,26.95,21.60
5.41,6.91,2.93,2.31,9.88,13.50,29.29,23.54
5.5,3.29,3.6,3.24,9.92,16.91,22.08,22.88
8.15,7.71,2.98,4.3,9.48,15.71,15.01,14.34
11.11,12.22,3.07,3.15,9.88,18.24,10.67,5.32
11.03,12.93,3.46,5.37,8.24,15.36,7.44,6.91
9.04,10.58,7.13,4.57,5.90,12.80,8.99,14.21
10.85,8.59,5.41,3.37,4.88,9.79,15.80,20.80
13.33,7.31,5.72,5.23,3.29,8.15,16.78,18.06
11.56,7.75,7.4,6.69,4.39,13.02,12.97,13.46
6.96,7.49,3.55,4.75,5.63,16.73,14.74,16.20
10.19,9.08,4.7,10.89,8.46,18.81,9.12,12.97
