ALPHA L,ALPHA R,BETA L,BETA R,DELTA L,DELTA R,THETA L,THETA R
6.78,4.35,11.73,2.98,9.43,16.47,4.35,7.36
8.9,9.7,11.11,12.0,17.13,17.22,6.74,13.24
9.08,6.65,13.19,8.33,20.27,12.04,15.45,20.05
7.62,8.64,9.61,11.56,20.58,11.34,12.97,13.77
2.4,11.16,7.22,7.93,19.12,9.79,17.35,11.38
9.96,14.61,3.33,4.79,25.44,18.90,24.83,16.60
6.78,14.26,12.0,14.21,30.58,23.06,20.67,16.20
4.44,5.45,7.18,9.74,47.34,35.13,20.98,22.35
12.53,18.94,11.16,17.44,50.04,35.26,30.53,27.79
15.76,27.74,32.12,36.15,55.61,38.23,38.85,33.27
14.83,22.75,8.42,12.18,53.97,37.74,29.07,28.94
19.52,18.85,8.46,12.0,51.76,35.79,9.88,9.39
12.31,14.56,5.59,7.05,45.08,31.73,13.15,17.66
9.88,5.9,14.83,12.66,28.63,23.54,7.09,9.96
22.22,23.19,14.17,10.72,23.37,24.29,22.35,15.80
22.0,24.16,16.6,19.43,26.82,31.28,36.55,29.07
10.23,12.8,3.07,2.0,39.82,43.00,24.34,23.10
5.72,5.37,9.08,6.56,36.77,38.45,15.18,11.07
15.85,8.68,8.9,2.14,26.73,28.45,12.31,6.16
15.1,11.56,3.46,3.95,14.92,14.96,11.60,8.37
14.3,14.17,5.28,5.76,12.22,11.73,25.62,21.51
13.15,19.7,4.92,12.26,16.33,15.45,47.51,30.93
15.01,31.81,12.88,7.53,19.74,21.77,48.66,23.45
10.89,30.71,35.04,35.48,24.52,26.99,34.69,12.13
10.89,18.68,8.55,8.46,23.41,26.82,24.65,32.26
18.77,9.74,20.05,15.98,23.28,25.84,27.83,46.36
20.76,19.87,33.63,18.46,13.06,17.04,32.74,41.59
18.37,18.63,8.28,7.84,12.35,18.24,31.46,28.19
10.23,8.73,8.11,16.2,13.02,18.94,22.08,19.74
20.14,17.09,12.35,32.79,24.34,26.99,14.79,26.20
16.91,10.41,12.09,17.26,31.73,30.62,26.68,36.59
7.22,6.52,14.34,13.19,39.82,34.78,47.69,45.08
12.31,9.7,6.56,5.37,35.71,29.47,49.33,37.83
13.77,8.2,5.9,10.41,26.73,21.82,29.74,20.09
9.88,2.36,8.02,10.14,13.24,17.57,16.42,13.06
13.33,7.67,6.25,10.27,6.12,18.72,21.77,25.93
18.15,15.54,7.93,4.35,6.52,27.30,18.59,25.93
18.28,25.93,5.63,8.55,8.11,33.45,15.01,18.72
14.74,35.22,27.52,24.87,5.90,30.04,21.82,23.37
23.85,32.88,19.25,12.49,4.39,23.15,20.89,19.83
31.11,23.68,12.8,15.49,2.98,13.59,9.52,7.22
27.35,19.7,16.25,15.41,4.79,15.49,4.13,6.52
26.55,14.52,11.69,9.12,11.56,26.24,21.46,14.03
39.73,29.56,14.03,22.57,19.56,31.46,32.57,14.74
48.4,41.99,24.12,9.88,25.71,30.49,22.04,26.06
36.28,34.47,7.67,14.43,29.56,22.04,11.11,32.43
18.77,16.64,15.49,6.6,24.52,14.30,18.19,25.53
9.43,4.35,4.97,7.8,23.59,11.82,22.84,22.17
8.24,8.86,9.39,9.7,24.47,13.99,9.66,7.80
23.23,23.01,13.37,14.03,33.05,21.02,12.18,10.50
26.46,25.67,20.45,20.49,42.12,31.46,25.00,24.03
16.82,12.84,3.51,3.82,53.71,46.45,31.90,30.84
3.51,10.14,6.78,4.79,48.00,41.32,21.77,21.64
9.79,21.33,6.6,10.41,44.86,38.71,14.03,18.32
14.17,24.91,4.48,4.22,25.93,26.24,21.95,23.72
15.76,23.54,6.29,8.51,29.78,36.28,32.61,26.42
11.69,14.56,7.8,8.28,23.19,32.65,30.09,23.10
7.97,8.64,7.67,6.82,25.67,33.01,8.68,6.29
19.08,17.0,19.16,17.26,25.98,29.69,7.53,4.26
28.59,23.54,22.35,24.74,46.45,44.02,13.06,11.56
22.0,14.92,6.21,6.87,59.81,55.56,25.09,23.94
10.41,7.97,9.26,5.63,64.37,54.15,26.51,23.72
3.46,7.97,4.83,4.35,59.06,46.45,13.24,17.79
10.76,8.99,10.01,7.36,42.61,27.88,26.11,23.10
23.81,8.55,7.89,5.98,39.11,20.62,40.39,37.34
38.14,8.46,25.18,6.29,26.29,14.03,37.65,41.63
34.16,17.7,14.52,12.62,29.91,16.51,32.43,36.24
13.28,21.02,11.42,1.56,29.91,20.80,24.87,20.62
5.32,12.75,11.34,4.13,32.17,22.53,14.83,6.52
5.9,7.58,16.29,9.26,28.81,28.94,17.04,8.59
10.14,3.95,4.22,6.74,19.56,25.93,17.00,9.21
17.66,12.84,17.53,7.44,25.18,39.07,13.02,10.81
28.41,20.45,12.62,13.24,35.71,43.89,16.73,7.18
27.3,22.66,20.18,24.07,48.49,57.20,23.59,13.55
15.49,17.57,3.29,6.74,54.95,60.43,21.77,21.86
5.72,10.5,5.85,8.42,41.90,48.36,9.79,14.12
7.05,5.23,2.89,5.01,40.39,44.33,10.01,12.75
7.93,4.48,12.62,5.54,29.56,28.81,27.52,27.83
18.9,19.3,4.79,8.33,41.85,38.23,36.06,35.26
27.92,24.78,12.93,5.32,31.90,29.12,21.07,22.08
17.09,13.59,4.52,6.47,28.89,31.11,12.66,11.78
4.75,19.16,12.13,11.16,27.04,22.97,10.85,17.88
8.77,30.93,8.24,22.08,37.08,27.97,11.25,42.69
15.49,22.53,26.51,14.96,49.59,35.00,16.86,66.14
13.11,13.24,7.75,10.81,69.85,43.89,20.98,58.13
8.24,17.04,10.14,9.83,77.24,48.53,15.58,30.58
17.17,19.34,15.71,7.67,78.30,47.56,5.85,12.26
12.44,5.1,7.13,8.02,69.32,41.10,16.86,9.96
7.97,23.68,23.5,18.99,52.91,30.80,31.37,16.20
14.48,41.68,23.15,25.58,36.99,21.91,35.26,9.48
20.36,34.82,6.87,23.28,18.28,20.23,19.03,14.61
26.06,24.91,13.11,10.19,23.06,28.54,7.93,30.71
26.82,23.19,9.88,11.2,34.11,35.18,21.82,35.35
24.69,14.48,22.04,19.03,44.91,40.44,27.66,36.90
16.07,11.07,13.59,8.77,51.94,49.73,24.91,30.40
6.74,9.3,7.97,3.91,54.24,54.24,21.38,23.94
14.7,12.88,11.2,6.21,51.67,52.20,24.69,27.48
23.01,28.19,10.54,20.27,44.29,41.37,22.88,35.18
