"Time","PIP Beta R","PIP Alpha R","PIP Theta R","PIP Delta R","PIP Beta L","PIP Alpha L","PIP Theta L","PIP Delta L","beta L","beta R","alpha R","theta R","delta R","alpha L","theta L","delta L"
"sec.","B","B","B","B","A","A","A","A","A","B","B","B","B","A","A","A"
0.125,===,===,===,===,===,===,===,===,0.77,2.40,1.12,===,===,0.72,===,===
0.250,===,===,===,===,===,===,===,===,1.07,1.47,1.16,1.61,===,0.72,0.94,===
0.375,===,===,===,===,===,===,===,===,2.00,1.83,2.05,2.53,2.18,1.65,2.00,1.74
0.500,===,===,===,===,===,===,===,===,3.95,2.45,2.53,2.45,1.83,1.92,2.67,3.29
0.625,===,===,===,===,===,===,===,===,3.15,1.38,2.31,2.27,1.61,2.31,3.51,9.17
0.750,===,===,===,===,===,===,===,===,4.17,2.45,1.38,1.87,1.74,4.30,10.41,11.96
0.875,===,===,===,===,===,===,===,===,2.27,1.74,0.99,2.98,2.67,4.88,10.76,17.84
1.000,===,===,===,===,===,===,===,===,1.74,3.29,0.99,3.86,4.79,2.31,6.38,14.03
1.125,===,===,===,===,===,===,===,===,2.45,1.83,2.31,2.53,6.82,1.38,2.71,15.63
1.250,===,===,===,===,===,===,===,===,2.80,3.73,3.99,1.61,7.00,1.47,4.66,10.94
1.375,===,===,===,===,===,===,===,===,4.08,2.80,3.51,2.40,6.03,2.76,5.85,10.81
1.500,===,===,===,===,===,===,===,===,2.00,2.49,2.98,2.00,4.44,5.23,3.24,7.93
1.625,===,===,===,===,===,===,===,===,3.73,3.86,2.89,2.00,4.08,4.52,3.51,7.53
1.750,===,===,===,===,===,===,===,===,1.61,2.22,1.21,1.56,3.51,3.11,2.31,6.47
1.875,===,===,===,===,===,===,===,===,2.84,2.45,2.93,1.61,2.80,2.36,1.65,5.59
2.000,===,===,===,===,===,===,===,===,2.00,3.55,3.29,1.43,2.27,1.87,2.27,3.20
2.125,===,===,===,===,===,===,===,===,3.55,1.83,1.07,1.92,2.36,3.68,2.00,2.80
2.250,===,===,===,===,===,===,===,===,2.62,2.89,2.58,2.71,2.49,4.13,2.80,2.14
2.375,===,===,===,===,===,===,===,===,2.14,1.61,3.33,2.76,3.42,3.68,2.49,2.14
2.500,===,===,===,===,===,===,===,===,2.80,1.52,3.37,2.67,3.20,4.08,2.05,2.00
2.625,===,===,===,===,===,===,===,===,2.84,2.76,3.24,3.29,3.11,3.46,2.89,2.09
2.750,===,===,===,===,===,===,===,===,2.14,1.83,3.68,2.58,2.22,2.98,2.93,2.36
2.875,===,===,===,===,===,===,===,===,3.42,3.37,3.99,1.16,2.14,3.20,1.69,2.58
3.000,===,===,===,===,===,===,===,===,1.61,2.14,3.51,1.56,2.80,2.98,1.83,3.07
