"Time","beta L","beta R","alpha R","theta R","delta R","alpha L","theta L","delta L"
"sec.","A","B","B","B","B","A","A","A"
11.000,12.53,4.39,12.71,31.64,12.40,5.37,18.72,14.87
11.125,5.85,5.54,8.95,17.44,11.73,2.98,8.15,12.88
11.250,4.66,5.90,5.10,9.21,10.05,5.06,18.15,12.26
11.375,5.90,6.56,10.50,14.12,12.00,11.65,24.69,12.04
11.500,9.26,7.53,12.44,18.59,17.53,11.07,26.77,15.67
11.625,8.64,4.70,5.01,22.97,18.72,8.15,25.09,19.92
11.750,7.49,3.15,10.19,27.17,22.61,18.01,25.05,23.15
11.875,15.54,11.47,15.23,25.93,23.10,19.25,24.47,21.29
12.000,10.19,9.39,12.49,19.56,21.73,14.17,21.55,15.63
12.125,9.96,6.38,5.50,8.02,16.55,8.99,16.55,9.96
12.250,2.62,3.37,3.02,8.99,11.96,5.67,7.13,8.55
12.375,4.75,3.37,6.43,11.69,9.96,2.84,3.86,10.27
12.500,8.11,9.74,6.43,9.92,16.55,6.65,8.81,10.72
12.625,11.47,5.50,3.99,18.46,19.70,5.32,13.86,12.35
12.750,2.98,5.67,5.23,15.45,27.97,5.32,10.85,15.01
12.875,5.81,9.26,10.76,7.13,21.69,16.60,5.67,15.54
13.000,11.29,7.84,11.69,8.02,16.42,19.87,14.03,13.90
13.125,9.66,18.94,9.08,7.84,13.19,12.40,13.68,8.90
13.250,13.37,5.50,12.88,8.77,13.72,6.56,14.26,7.97
13.375,7.80,8.95,15.67,25.93,19.83,11.16,27.57,9.12
13.500,9.48,8.55,13.50,31.33,13.64,10.10,34.33,9.52
13.625,7.40,9.04,16.60,30.80,16.20,8.86,31.55,11.65
13.750,9.39,6.74,14.79,33.18,15.58,3.37,23.63,9.08
13.875,16.38,6.78,18.77,28.14,20.80,13.46,13.28,11.07
14.000,8.90,8.06,21.95,20.71,21.51,26.95,4.83,12.93
14.125,13.19,5.19,17.97,17.04,30.75,25.58,9.48,24.43
14.250,9.83,7.05,15.71,14.12,33.63,16.64,17.09,24.47
14.375,2.53,9.39,16.42,11.20,31.99,11.78,22.08,21.77
14.500,5.98,1.92,15.89,10.81,21.02,12.00,13.77,13.59
14.625,7.31,3.64,8.20,16.55,15.32,10.89,9.35,14.08
14.750,2.67,4.48,11.38,14.96,20.80,11.51,9.74,17.53
14.875,4.70,2.89,18.99,15.10,23.76,13.64,8.90,17.48
15.000,6.29,7.89,16.07,25.18,28.32,9.30,16.07,20.67
15.125,5.54,11.96,10.41,25.75,23.23,6.16,18.28,19.43
15.250,3.51,7.31,7.89,25.93,22.48,9.04,24.47,23.41
15.375,4.26,12.09,7.93,30.27,20.93,3.95,30.58,21.64
15.500,7.80,4.79,9.39,29.38,16.16,3.11,29.87,16.86
15.625,4.97,4.57,7.40,21.51,11.73,5.06,22.17,11.34
15.750,7.40,4.61,4.66,13.81,7.18,7.31,6.38,6.87
15.875,7.49,5.28,9.04,12.93,8.46,8.99,1.92,7.58
16.000,7.80,9.57,9.79,7.49,9.17,8.15,3.15,9.96
16.125,3.33,7.53,8.20,15.10,8.99,4.30,10.67,13.06
16.250,11.69,11.73,7.44,22.35,10.98,4.17,16.82,19.87
16.375,3.91,4.66,4.83,15.41,20.80,1.92,12.22,30.27
16.500,7.09,15.41,2.80,13.06,28.01,3.95,12.53,33.01
16.625,5.23,5.45,2.18,23.23,29.56,3.73,21.33,32.88
16.750,2.93,7.75,5.85,23.23,21.20,1.87,20.05,23.76
16.875,2.71,3.86,5.72,13.02,13.72,2.71,17.88,17.04
17.000,6.96,3.95,7.13,12.80,11.96,4.30,18.15,11.51
17.125,5.01,6.82,6.65,15.58,19.47,5.14,16.95,13.81
17.250,4.48,4.66,9.66,18.10,22.57,4.08,18.72,18.94
17.375,6.47,8.68,22.08,17.40,24.43,17.26,19.43,24.16
17.500,4.04,6.69,20.62,14.56,18.06,17.53,17.13,26.86
17.625,7.89,9.61,11.87,20.31,14.56,10.63,19.08,26.99
17.750,6.47,6.12,6.82,23.85,15.85,10.14,26.46,24.91
17.875,10.72,7.75,5.06,21.29,17.26,6.69,25.40,19.12
18.000,5.76,5.41,9.70,15.89,20.80,2.14,15.49,15.05
18.125,13.15,16.20,14.61,21.24,19.87,4.57,13.33,15.41
18.250,4.22,7.89,15.54,19.08,18.06,4.97,10.10,16.16
18.375,8.51,6.87,12.75,20.49,17.22,5.50,13.37,15.94
18.500,4.04,4.48,8.99,22.57,16.95,6.16,17.70,15.85
18.625,4.26,4.48,10.05,23.37,23.41,10.36,22.92,18.85
18.750,4.35,5.14,12.18,21.95,24.16,13.11,30.04,19.16
18.875,3.68,3.82,10.45,25.49,21.82,10.23,34.07,17.31
19.000,8.51,4.79,6.82,28.67,13.59,7.58,32.34,12.62
19.125,5.32,10.14,3.95,15.27,10.32,5.98,15.67,13.06
19.250,13.95,15.67,9.66,19.96,15.49,11.25,19.34,19.21
19.375,4.39,8.86,7.67,28.10,17.31,12.09,26.68,18.77
19.500,7.58,15.27,9.08,12.44,21.33,14.34,16.82,20.05
19.625,6.69,14.12,14.08,17.26,15.54,16.16,9.04,13.55
19.750,11.34,16.51,17.13,27.74,14.08,14.79,16.25,14.48
19.875,4.39,1.74,18.81,34.25,11.47,14.12,31.90,14.26
20.000,11.91,14.21,25.80,33.76,17.04,21.86,29.60,20.80
20.125,5.50,7.13,20.76,19.87,16.64,17.93,14.08,19.96
20.250,16.11,9.61,10.63,8.86,14.26,7.40,3.73,15.89
20.375,4.26,5.23,2.84,6.52,9.12,3.15,9.12,8.28
20.500,12.00,2.84,4.22,10.89,8.33,8.55,19.25,7.22
20.625,7.80,9.88,6.74,24.29,10.67,7.44,29.69,8.46
20.750,3.07,6.34,12.75,28.72,8.77,8.20,31.55,10.98
20.875,6.34,2.76,15.27,19.08,10.98,13.06,30.58,11.42
21.000,9.74,6.82,10.81,18.59,9.35,15.36,45.48,10.32
21.125,6.78,6.34,7.49,25.62,10.41,12.00,46.54,7.44
21.250,9.57,11.11,7.53,31.77,6.12,4.08,35.93,5.01
21.375,5.54,1.87,7.49,32.52,5.37,6.91,28.14,5.10
21.500,7.53,6.03,10.05,34.03,3.33,11.78,23.15,7.67
21.625,12.13,7.49,10.45,28.81,5.81,9.43,23.90,7.31
21.750,3.68,6.56,15.54,19.12,7.62,20.27,23.72,5.81
21.875,10.67,7.71,19.12,17.79,18.10,21.60,16.82,6.87
22.000,2.45,7.18,16.69,8.68,24.47,10.81,12.18,11.96
22.125,9.17,15.54,10.98,9.57,30.18,13.90,15.85,19.74
22.250,3.91,9.48,5.37,9.96,32.08,18.10,12.84,30.31
22.375,5.01,7.71,9.26,7.40,27.52,14.83,6.43,33.58
22.500,7.44,7.89,11.78,14.61,28.63,11.07,8.55,38.18
22.625,6.87,8.59,4.08,17.79,19.39,6.25,11.29,40.26
22.750,18.77,18.46,5.50,26.42,16.73,3.55,22.48,43.84
22.875,8.15,36.06,15.32,22.66,10.85,9.66,28.63,45.22
23.000,39.20,34.38,32.08,18.46,12.26,21.82,17.00,44.24
23.125,4.44,11.29,26.90,25.80,16.91,22.84,10.45,40.26
23.250,14.12,5.10,7.40,20.67,29.51,11.07,16.69,34.69
23.375,3.51,4.08,2.31,13.11,40.62,4.48,8.68,27.88
23.500,6.07,14.03,3.15,16.78,48.31,12.40,9.88,24.43
23.625,11.34,6.12,9.79,27.17,53.75,16.55,20.80,29.96
23.750,4.79,39.95,21.77,30.22,43.93,17.35,22.57,27.57
23.875,7.97,9.35,22.26,31.33,38.09,10.19,29.96,33.49
24.000,5.72,24.38,13.24,33.67,18.63,8.64,45.13,25.62
24.125,4.61,4.70,12.49,40.35,17.17,19.74,47.96,27.39
24.250,4.61,6.03,6.56,40.79,13.15,14.43,46.81,18.01
24.375,8.55,7.09,2.45,32.79,15.05,8.02,36.37,17.84
24.500,4.35,4.79,5.59,19.08,14.74,7.97,10.10,13.55
24.625,7.31,5.63,10.58,18.01,20.98,6.65,11.25,12.57
24.750,4.79,7.75,10.41,25.36,36.06,10.36,20.71,17.48
24.875,11.16,11.03,8.86,33.45,43.58,2.40,29.82,24.34
25.000,2.93,3.20,6.65,32.03,45.30,5.98,34.73,29.07
25.125,4.70,7.13,2.58,26.55,38.98,4.44,32.88,29.29
25.250,3.37,2.80,4.79,36.37,30.80,10.72,33.49,22.04
25.375,8.15,10.32,7.13,30.09,25.22,15.32,26.46,18.50
25.500,12.13,5.01,7.13,15.58,18.59,15.45,10.05,12.53
25.625,29.51,3.11,12.13,33.63,14.79,10.54,8.64,12.80
25.750,16.38,10.14,17.62,38.93,11.38,13.95,21.73,13.95
25.875,10.98,6.52,15.71,35.13,6.43,21.24,30.49,11.73
