ALPHA L,ALPHA R,BETA L,BETA R,DELTA L,DELTA R,THETA L,THETA R
2.8,4.08,3.95,9.3,4.39,19.83,3.11,16.29
7.44,5.28,6.29,4.22,6.34,15.54,9.04,15.58
19.08,20.05,3.64,3.99,7.62,8.73,8.59,18.50
25.84,24.96,5.32,4.17,7.13,7.18,3.46,13.06
23.32,19.16,9.48,9.17,7.22,8.33,4.83,14.52
17.0,18.15,7.44,4.17,9.83,10.19,7.75,16.78
12.18,12.84,9.04,11.96,10.14,10.32,7.13,12.00
3.77,3.2,7.93,5.45,11.11,10.67,3.37,8.11
6.03,8.06,9.66,6.87,9.04,7.22,5.45,8.42
8.59,12.0,8.51,4.08,7.84,5.37,5.98,4.39
7.0,13.46,5.63,11.29,5.50,3.73,2.93,2.36
4.83,10.41,4.52,3.51,3.07,4.92,3.95,2.27
2.53,4.66,4.17,2.05,2.84,6.69,4.92,4.79
1.87,5.32,4.3,3.37,4.30,9.83,3.64,7.75
6.21,8.28,2.53,5.98,7.62,15.58,3.86,4.57
10.81,10.58,4.57,9.88,8.46,17.75,6.96,4.66
13.77,13.41,4.66,4.08,8.77,18.24,6.25,5.45
16.2,17.44,7.97,11.38,5.45,15.49,5.14,3.07
11.38,14.56,5.28,6.87,3.55,13.33,5.90,3.20
5.37,12.04,3.99,3.99,1.52,11.56,7.84,4.88
10.63,14.79,3.99,3.68,1.74,11.07,6.91,4.70
10.36,12.0,2.98,8.02,2.53,11.47,3.73,3.55
9.92,7.36,2.22,5.19,3.73,12.26,3.55,3.20
10.85,7.18,4.61,6.6,5.37,12.13,4.44,2.36
10.63,8.42,9.08,11.6,7.00,11.91,5.37,3.46
7.4,6.87,9.92,4.79,7.05,10.01,4.39,3.24
4.52,4.35,6.16,4.75,7.13,6.91,2.93,5.19
3.46,5.81,9.79,7.44,5.98,4.44,5.72,7.84
3.46,6.78,6.43,5.9,6.87,3.86,6.43,8.37
10.89,13.28,8.95,16.29,8.33,5.85,6.69,6.82
19.61,23.41,8.86,3.51,8.81,8.37,9.74,8.46
19.16,20.09,12.75,16.42,13.77,15.76,15.05,14.96
12.4,11.38,8.68,5.32,16.11,18.01,9.66,9.12
15.49,17.31,4.92,7.05,26.59,28.05,3.20,2.31
13.02,14.61,8.24,7.44,35.71,32.74,4.66,3.24
11.91,9.66,13.33,2.76,38.62,35.22,7.62,3.82
