ALPHA L,ALPHA R,BETA L,BETA R,DELTA L,DELTA R,THETA L,THETA R
35.97,13.5,23.94,50.57,18.9,24.52,26.37,47.12
29.29,11.34,18.81,25.05,19.83,21.86,29.65,32.52
20.23,10.89,10.05,21.46,18.9,19.12,30.66,16.33
21.11,18.77,12.22,15.14,26.59,17.88,22.88,19.96
31.06,29.74,10.19,13.55,30.4,25.71,16.2,22.44
28.36,30.27,29.65,33.1,33.18,29.47,8.15,20.49
16.91,20.71,16.78,22.48,33.45,31.99,11.34,13.77
9.17,12.22,7.49,15.41,31.46,29.74,11.29,11.96
12.97,13.95,5.41,8.11,35.84,28.5,11.96,17.22
15.54,12.88,7.18,10.72,33.58,25.44,16.51,22.08
11.51,10.98,4.92,6.6,28.72,20.62,22.53,29.47
5.54,6.21,14.61,14.08,16.64,15.18,24.91,28.5
5.28,5.19,4.26,5.41,12.53,14.65,15.54,15.1
10.27,6.47,18.24,17.62,14.34,18.41,7.97,9.7
4.3,6.56,13.68,6.91,19.96,22.79,8.73,11.65
4.83,9.88,9.96,10.72,23.32,24.12,6.69,10.76
3.86,7.75,8.37,3.77,24.29,22.04,9.52,15.05
15.54,17.84,9.83,4.22,22.88,18.5,13.68,17.7
19.3,18.9,5.01,6.52,24.91,18.63,7.75,13.37
9.7,11.38,23.94,16.6,24.69,16.38,6.69,23.41
25.67,27.88,15.18,9.52,21.29,15.36,15.49,29.25
37.96,43.93,29.2,23.72,18.72,15.54,22.3,27.74
30.13,41.15,47.43,23.01,15.27,16.42,20.71,32.17
10.94,22.17,31.11,23.37,25.36,22.04,18.68,31.11
4.04,4.75,15.32,12.18,28.98,22.66,20.31,19.87
12.22,13.28,13.5,18.5,32.65,24.74,18.46,11.56
15.01,17.4,5.67,7.13,29.6,26.86,16.16,13.9
14.21,17.04,7.89,3.99,21.51,24.07,12.88,15.1
15.63,16.16,4.97,12.57,18.01,23.41,16.25,15.49
18.01,18.99,11.51,9.61,13.55,20.71,20.71,17.62
17.22,16.91,9.96,4.08,16.55,19.61,19.47,19.83
13.02,10.81,11.51,10.27,18.85,19.39,24.96,26.9
6.12,8.02,22.84,7.18,27.08,22.04,32.96,33.01
4.7,17.13,27.61,17.7,29.34,25.36,48.31,47.96
4.17,27.44,26.55,19.52,33.36,26.99,57.78,50.61
3.37,22.08,17.4,3.11,31.73,25.36,53.13,41.9
3.02,6.43,22.0,2.8,34.33,24.29,37.56,28.85
12.53,11.16,9.04,7.44,42.92,32.83,13.59,8.81
18.24,11.25,30.53,6.52,41.1,33.67,13.11,16.64
16.47,11.16,9.66,11.34,43.8,34.87,12.35,11.2
15.49,14.96,13.5,7.97,31.24,23.68,13.59,6.07
8.59,12.35,10.58,13.5,36.28,25.22,8.59,5.85
6.87,7.89,9.12,3.77,40.92,33.76,8.24,9.48
10.05,8.86,9.83,10.45,63.44,52.47,10.19,8.9
12.49,8.46,15.67,11.69,67.42,58.53,21.6,22.39
30.13,24.07,11.87,11.6,62.69,55.34,34.03,43.31
20.09,18.99,6.47,14.56,45.17,44.15,31.86,51.81
19.39,2.71,21.02,8.86,34.47,36.15,31.46,34.42
30.93,11.2,9.26,10.76,31.55,39.07,34.07,18.81
13.64,3.68,10.81,8.64,31.33,31.95,15.94,15.45
13.02,14.83,9.17,6.78,29.38,31.19,8.02,18.55
20.36,20.62,8.86,11.91,26.73,22.44,13.06,20.58
22.66,23.01,31.15,24.38,23.06,27.26,9.7,24.87
20.76,23.9,26.33,26.9,25.8,23.81,9.96,26.64
10.19,15.8,13.9,13.33,22.22,20.71,23.99,26.95
9.57,15.36,35.04,36.1,28.05,15.8,46.32,42.52
22.92,23.5,20.8,19.12,23.68,14.56,56.71,51.85
27.74,27.48,7.97,11.6,28.63,15.49,60.47,52.47
15.36,15.76,12.84,18.37,30.35,19.39,55.83,51.81
14.52,12.04,25.53,19.96,33.23,23.23,49.02,51.01
16.38,16.51,13.24,14.03,34.6,28.89,55.34,60.3
11.96,16.69,20.27,25.05,38.45,39.86,56.49,58.97
6.91,10.94,13.11,15.1,45.79,52.56,52.25,47.47
