ALPHA L,ALPHA R,BETA L,BETA R,DELTA L,DELTA R,THETA L,THETA R
1.92,5.28,3.86,4.04,3.02,34.73,2.40,8.86
2.76,7.44,5.94,4.22,2.98,17.62,3.82,10.63
4.44,6.65,9.26,4.79,2.84,11.82,8.06,16.07
5.19,7.67,6.91,3.86,3.42,10.98,10.94,14.17
3.73,6.25,4.97,5.98,9.17,18.94,6.47,7.58
13.19,7.97,7.49,11.87,12.71,17.48,9.43,14.87
22.0,13.86,21.77,13.06,16.51,23.15,28.89,41.37
25.27,13.41,12.53,27.39,16.29,24.16,55.39,67.55
27.26,16.73,20.54,5.45,18.90,27.97,52.47,60.65
18.99,14.83,7.09,9.35,21.15,31.95,27.88,32.03
6.25,7.97,3.2,7.53,18.01,27.48,9.83,7.53
2.18,6.82,7.18,5.5,13.77,22.88,9.96,10.14
1.07,5.28,2.58,1.96,7.00,11.47,8.99,8.86
3.6,2.67,4.48,6.21,4.52,5.76,6.12,7.27
5.28,3.02,5.59,6.74,5.67,3.51,3.11,5.14
5.76,2.4,3.37,6.82,6.52,4.35,3.86,4.44
6.91,2.76,3.91,4.52,7.71,6.52,7.18,5.32
5.94,3.33,7.18,9.92,7.71,7.75,7.13,8.86
2.45,5.63,3.42,3.07,6.96,8.06,8.55,7.93
3.07,5.98,9.52,9.12,5.14,7.75,9.08,3.37
5.14,4.26,5.81,3.86,4.39,6.96,3.86,4.13
6.74,6.96,2.45,3.64,4.97,7.67,3.33,4.04
5.54,9.61,9.04,4.61,6.82,6.82,3.51,4.48
3.11,7.31,6.16,6.07,7.18,7.53,3.68,3.51
2.53,3.42,2.14,4.75,6.52,5.54,5.06,1.34
2.76,2.4,1.87,2.67,7.75,5.28,6.78,4.44
2.45,2.53,3.37,3.37,8.02,4.30,9.21,7.71
2.93,3.15,5.9,3.86,13.11,5.72,8.64,9.57
5.14,6.34,7.89,5.94,12.53,6.65,5.41,7.36
6.52,8.81,2.53,3.6,13.99,7.05,4.48,2.53
8.2,8.46,4.61,5.63,9.30,7.09,6.16,3.15
8.99,5.37,2.89,3.86,7.13,6.12,4.79,4.52
7.62,2.45,2.14,5.98,4.08,5.98,3.73,3.51
5.67,2.62,2.71,5.54,4.30,5.54,7.05,4.61
4.61,4.08,2.93,2.67,7.71,6.60,6.52,8.02
5.59,3.68,5.59,3.42,9.21,6.25,4.88,7.89
5.41,4.88,6.47,8.46,13.33,8.77,10.05,6.65
