ALPHA L,ALPHA R,BETA L,BETA R,DELTA L,DELTA R,THETA L,THETA R
6.43,4.66,9.61,6.34,4.30,4.92,3.51,3.33
8.28,4.97,5.54,3.37,5.50,3.73,4.08,3.15
7.05,3.33,7.13,7.89,6.60,2.76,4.48,3.82
8.02,5.98,7.8,4.66,7.36,4.26,4.75,4.04
8.46,9.48,11.25,3.91,6.91,4.70,3.99,4.66
5.1,9.57,6.56,5.94,6.69,6.07,3.37,4.79
3.99,5.67,3.99,3.24,5.76,8.02,3.20,3.24
4.83,3.91,2.18,5.72,5.59,9.61,3.46,1.65
1.87,2.89,6.56,5.32,5.54,10.10,3.11,2.27
5.76,4.04,5.14,5.1,4.75,8.95,1.69,3.42
9.52,7.31,6.96,4.04,3.99,6.29,3.07,4.70
10.63,8.81,11.73,2.76,3.99,4.13,4.44,5.14
7.84,8.9,5.76,4.61,3.51,2.80,5.85,6.25
7.8,9.39,11.38,6.87,3.77,2.67,5.54,7.62
10.85,11.6,8.64,12.75,2.93,3.51,5.10,6.87
12.66,15.01,4.17,4.52,3.37,3.15,6.29,7.09
11.38,15.14,9.57,11.34,4.39,5.41,6.60,9.30
6.82,10.58,13.95,4.08,5.59,6.21,5.01,8.99
5.06,7.49,9.17,7.09,7.00,8.28,2.80,5.72
4.7,6.43,8.59,2.4,5.81,7.44,1.43,3.86
4.26,5.01,7.58,4.08,5.90,5.98,2.09,3.07
6.16,3.82,5.85,4.08,5.14,3.64,5.54,4.39
4.66,3.6,10.14,2.84,7.84,2.53,8.42,8.24
3.24,5.72,2.58,4.35,7.40,2.31,6.25,7.84
10.23,11.73,20.36,9.7,7.27,2.71,5.14,4.22
9.08,13.81,5.54,3.91,4.66,2.22,9.83,8.68
4.44,10.89,6.78,2.14,5.01,2.80,7.22,6.43
6.56,7.05,10.98,4.52,6.03,3.77,4.13,4.08
5.76,5.94,2.09,4.92,8.33,6.07,2.89,7.44
6.96,8.86,6.91,6.07,10.94,9.08,7.80,8.11
3.46,5.9,13.72,3.2,10.23,8.33,12.53,10.54
