ALPHA L,ALPHA R,BETA L,BETA R,DELTA L,DELTA R,THETA L,THETA R
12.53,6.47,7.84,10.05,43.80,46.32,21.69,19.56
4.75,10.41,17.4,11.82,36.02,37.48,9.30,8.15
2.8,4.35,8.77,3.2,17.66,20.49,11.87,8.90
7.84,7.18,10.41,6.43,16.16,16.47,14.65,10.63
5.01,5.9,8.02,10.01,10.01,9.30,11.42,6.91
3.68,6.07,19.52,11.34,10.27,7.40,9.08,5.76
6.43,7.84,19.39,11.91,6.29,4.48,7.93,6.47
6.56,9.08,14.96,15.14,10.32,8.11,4.61,4.75
5.76,8.59,20.05,20.05,10.76,10.67,7.89,6.69
6.96,4.83,12.97,20.27,13.90,12.75,13.02,10.85
8.68,3.29,6.96,5.19,9.12,7.62,10.10,7.27
8.37,3.29,11.34,10.94,6.78,5.32,10.67,7.36
10.32,3.51,3.37,13.77,6.74,4.48,17.22,13.95
14.96,8.15,16.07,8.59,9.92,7.13,16.60,14.17
19.78,11.51,14.08,18.59,13.50,6.96,12.04,9.30
15.89,9.57,23.85,18.01,15.67,7.84,9.26,7.97
7.49,4.39,7.27,12.57,16.60,9.17,14.65,19.39
5.14,5.06,10.58,7.89,21.24,18.37,20.23,25.00
4.79,6.29,7.4,4.83,20.31,23.32,19.92,18.99
5.94,5.54,13.24,10.41,19.56,26.33,14.03,10.76
5.19,2.84,5.32,7.09,16.47,25.84,6.12,5.85
5.45,3.6,5.81,8.37,13.77,22.00,9.08,7.27
3.91,5.9,6.82,6.47,15.76,20.05,12.13,10.85
5.9,11.91,5.14,5.9,17.79,17.13,11.07,8.06
10.54,18.15,6.91,3.46,27.21,22.30,9.39,5.10
10.1,13.11,13.33,14.17,26.55,22.53,10.27,7.49
12.53,9.48,12.97,14.74,24.78,20.80,13.24,11.82
17.26,17.04,4.26,16.47,16.47,17.22,14.03,12.18
23.15,22.04,22.0,24.12,17.93,18.90,28.28,29.82
26.68,22.75,17.53,26.15,27.70,29.69,38.93,40.13
19.52,18.77,10.98,9.7,35.44,37.39,37.65,38.27
8.68,11.73,7.18,11.38,38.23,38.54,25.89,28.14
4.08,4.13,3.55,6.21,29.12,30.27,13.33,13.95
4.39,4.04,4.26,3.42,26.46,25.44,7.05,7.36
12.13,6.25,3.02,11.78,25.36,25.22,15.41,12.84
14.52,8.2,3.11,5.63,31.11,30.44,19.92,18.63
11.56,6.91,3.55,4.92,28.59,24.38,16.55,17.84
13.55,8.99,2.84,7.84,23.37,17.35,10.67,9.12
12.93,12.62,3.55,6.87,14.17,8.46,7.31,5.54
9.17,8.55,2.93,3.68,5.45,4.08,4.13,12.49
7.71,2.31,3.73,5.28,3.60,4.97,8.37,16.33
8.51,2.89,4.7,5.54,3.20,6.52,5.72,9.61
9.52,3.37,3.2,5.45,6.29,9.79,7.75,7.93
8.42,8.33,2.36,7.53,8.11,12.18,13.02,10.72
6.34,9.26,5.41,7.53,11.51,14.92,10.67,10.01
5.98,6.38,4.88,5.37,9.74,10.89,6.38,7.27
4.88,4.35,5.1,3.95,13.81,11.38,16.20,15.10
4.08,4.08,8.9,4.48,18.99,15.27,18.90,16.60
6.74,3.77,6.07,3.11,28.14,25.18,15.36,14.79
17.48,15.18,23.41,11.11,39.73,36.37,21.69,18.99
25.62,26.51,12.62,15.32,50.96,46.81,33.76,26.77
21.46,22.17,15.89,13.02,53.80,58.35,28.36,25.40
10.98,11.87,8.68,6.65,49.06,59.99,10.94,14.65
3.99,7.44,3.07,15.89,35.84,56.36,7.36,8.28
6.52,11.6,3.37,15.01,24.07,46.94,6.29,11.03
10.14,15.94,7.67,13.55,15.67,37.96,6.82,8.59
6.38,11.73,6.43,5.59,10.94,28.98,8.24,4.75
4.08,6.87,8.95,16.78,15.10,23.99,9.96,6.34
7.44,7.05,8.55,10.67,19.70,23.94,8.46,7.36
10.41,8.64,20.31,16.64,21.42,22.61,4.44,5.85
7.09,4.04,15.67,6.29,20.09,19.65,8.73,3.29
3.64,3.07,20.23,8.95,16.78,13.81,14.92,8.20
8.15,6.6,21.91,11.11,12.13,12.40,11.91,8.46
8.86,6.96,11.42,9.35,10.19,10.36,6.29,7.00
14.34,12.0,13.64,18.94,7.05,8.95,6.03,5.50
12.62,9.96,4.92,9.17,8.51,7.09,3.68,6.52
9.92,3.33,12.0,18.19,8.24,4.22,4.92,7.36
8.11,4.17,12.22,6.69,10.81,4.52,13.68,12.66
3.86,3.15,6.12,8.77,12.84,9.43,17.75,12.49
4.04,2.89,17.84,11.96,14.65,12.26,15.01,9.52
8.51,5.19,6.69,6.91,15.41,16.42,11.60,9.48
9.3,7.8,13.41,14.08,11.65,14.83,14.03,13.59
4.57,6.34,11.38,8.99,8.42,13.15,15.23,15.05
4.92,9.74,8.37,8.64,4.35,12.13,10.36,9.17
8.15,13.33,4.88,11.47,5.85,11.73,19.03,13.99
10.19,13.24,7.84,2.14,12.13,12.97,35.97,27.57
16.16,16.42,10.76,5.19,12.80,11.25,36.33,29.25
25.05,23.99,10.89,11.47,20.31,13.33,22.22,16.55
25.67,24.07,21.15,23.99,23.01,21.02,25.67,19.65
18.19,15.76,5.85,5.81,43.58,40.17,29.69,28.89
8.28,10.1,11.73,7.89,42.25,41.28,17.17,14.74
8.55,9.7,22.61,21.51,42.30,42.34,11.56,7.62
10.23,11.47,19.3,17.22,25.49,26.11,12.22,9.88
10.1,7.13,20.4,24.65,23.63,26.64,6.74,4.66
10.58,5.59,9.04,11.96,21.95,23.85,6.16,4.17
5.23,5.67,10.36,16.64,18.99,20.67,9.61,8.28
5.06,8.37,6.43,11.91,14.17,15.05,11.07,12.66
9.21,8.59,6.25,9.26,9.39,10.36,11.82,12.93
7.71,6.52,9.04,5.81,9.30,10.85,13.72,11.38
7.13,9.52,13.46,6.21,8.64,10.89,9.88,10.23
4.66,7.0,4.83,8.81,7.75,7.49,9.48,6.87
3.42,5.32,13.02,5.76,8.81,5.63,15.85,8.68
7.22,4.22,12.31,10.45,9.79,5.23,12.00,8.42
10.14,3.51,15.85,9.21,8.73,7.27,12.75,14.70
5.1,4.92,8.95,7.84,5.67,7.93,16.29,16.69
7.93,5.01,7.36,9.21,5.59,8.51,13.55,12.49
13.19,7.0,13.59,19.16,8.02,10.76,8.02,6.65
13.33,9.74,17.09,17.04,13.37,16.16,9.30,9.66
9.79,9.12,4.57,5.81,13.81,14.96,22.66,23.72
18.5,19.3,15.36,16.95,15.18,13.11,22.75,23.41
22.26,22.53,13.19,12.35,27.61,20.85,23.63,25.14
19.08,19.56,14.12,14.61,40.17,34.51,28.85,31.50
10.76,9.92,8.86,7.84,50.21,45.88,22.75,23.32
8.06,5.06,6.91,4.66,44.60,43.62,16.33,14.17
14.26,12.44,11.38,7.13,29.91,30.62,10.41,8.06
14.17,13.95,9.48,9.79,17.09,23.81,5.85,8.64
8.73,8.64,5.32,2.31,5.23,12.53,11.73,10.76
3.91,3.95,8.77,5.1,2.71,12.22,9.92,7.18
7.0,8.06,5.76,3.15,3.20,7.31,6.74,5.63
8.02,10.23,4.13,5.37,4.44,9.52,8.37,7.00
6.03,8.46,10.81,7.53,6.96,8.68,6.69,6.56
2.67,4.97,6.34,9.35,6.47,8.59,2.22,3.46
5.9,3.73,4.13,10.41,9.12,5.67,3.73,3.07
8.73,6.74,7.71,6.25,8.77,4.61,12.09,7.00
6.78,11.07,7.4,6.03,11.20,4.70,22.44,16.25
3.55,10.5,7.18,8.2,8.59,3.82,19.56,16.16
1.74,5.28,10.36,4.83,10.63,5.10,6.91,8.15
4.79,5.85,8.15,4.83,12.93,6.34,2.71,6.69
5.32,7.05,12.71,6.52,14.87,7.27,6.07,15.14
4.22,6.69,11.03,14.61,15.49,6.60,11.20,21.15
6.34,7.84,12.75,11.2,13.11,5.81,10.32,18.90
11.6,8.2,7.36,9.48,10.67,7.09,9.39,13.19
12.53,9.74,4.22,6.52,9.12,7.05,12.09,8.37
6.96,6.43,19.7,18.94,13.95,15.49,11.69,13.11
2.4,2.93,10.05,20.54,22.26,24.07,14.12,19.87
2.49,5.14,18.1,20.76,33.72,37.92,18.15,26.51
5.9,9.96,11.87,30.71,48.97,52.42,15.27,26.59
14.43,16.02,10.32,12.4,47.69,50.57,22.08,33.67
