ALPHA L,ALPHA R,BETA L,BETA R,DELTA L,DELTA R,THETA L,THETA R
13.77,16.25,7.4,10.05,9.83,16.55,8.20,12.75
18.1,22.35,15.27,9.96,14.21,16.60,18.01,24.21
12.93,18.46,6.43,6.91,28.54,22.22,20.67,28.50
3.07,10.58,8.99,8.68,29.87,24.78,14.21,25.40
6.56,4.04,7.71,4.44,37.61,28.54,13.15,23.72
14.92,14.61,8.11,5.06,24.56,17.04,30.18,37.39
14.3,17.62,17.44,12.26,22.26,14.17,36.59,43.80
14.17,14.7,13.06,6.78,17.31,13.86,25.98,38.80
15.67,18.1,4.61,28.59,22.30,19.78,16.20,32.17
8.33,11.78,13.81,17.48,23.85,26.42,20.67,21.33
6.91,7.09,4.04,10.85,23.06,27.44,20.27,10.27
10.81,13.59,15.89,12.22,21.77,30.75,19.56,10.50
16.29,19.39,17.88,11.87,18.50,27.83,19.52,10.67
11.65,15.18,22.04,11.51,15.98,24.07,19.78,15.05
11.73,12.26,10.81,12.53,13.95,20.54,15.94,13.77
16.2,12.09,14.39,8.28,18.24,21.77,15.63,15.85
20.93,17.66,5.01,3.82,26.90,30.44,25.31,28.59
25.71,28.28,32.96,24.25,28.89,31.68,39.29,48.75
30.0,31.9,18.59,11.6,25.62,26.64,36.06,47.96
22.0,22.3,15.98,16.64,15.01,15.45,21.77,30.84
12.49,18.41,7.09,14.21,10.05,10.89,21.86,27.39
9.88,20.54,6.6,11.78,7.09,9.21,32.48,36.33
24.87,25.05,3.91,24.52,12.40,14.52,45.35,39.64
35.66,28.41,9.7,21.29,17.17,19.12,43.45,30.31
29.87,25.67,11.6,3.55,26.82,25.00,27.21,20.89
16.47,23.32,11.34,3.64,21.07,19.47,21.24,28.01
12.18,19.39,14.39,5.1,23.32,17.70,22.92,29.07
15.94,17.09,10.94,8.77,18.10,15.58,16.29,16.73
15.85,14.56,17.09,13.11,23.85,21.33,20.85,16.02
13.95,10.32,9.48,8.99,27.66,28.14,28.45,22.22
15.71,8.2,8.37,4.7,29.38,31.37,25.31,19.87
13.99,10.81,11.42,26.37,24.96,27.88,11.42,15.80
6.56,14.87,19.39,18.99,13.95,18.77,7.22,15.41
14.43,14.92,3.95,5.32,11.65,12.53,15.58,13.59
21.69,20.27,7.71,8.86,13.64,14.39,15.89,8.06
22.84,21.29,7.18,10.5,22.57,19.47,10.41,17.48
8.37,12.13,11.29,10.41,20.00,21.29,18.63,23.54
6.21,6.29,1.52,4.08,20.49,21.73,27.26,14.03
8.33,6.6,6.78,7.89,11.47,21.29,34.25,17.00
12.13,8.55,6.56,5.32,9.08,22.13,24.83,16.20
14.56,15.01,10.89,9.35,11.07,21.64,18.15,13.02
