ALPHA L,ALPHA R,BETA L,BETA R,DELTA L,DELTA R,THETA L,THETA R
4.04,4.92,4.57,10.14,5.50,4.08,3.82,2.40
3.86,6.34,4.61,5.14,10.50,6.07,3.86,2.89
3.55,5.81,5.63,9.26,12.40,6.25,4.17,3.33
4.7,3.64,6.43,12.57,13.15,5.72,6.21,1.87
3.6,2.49,8.06,7.67,9.88,5.32,8.11,3.42
4.88,3.2,8.02,7.31,6.96,6.78,7.80,3.55
9.66,4.17,7.89,7.93,4.57,7.40,4.22,1.83
12.04,8.51,3.86,6.25,2.53,7.40,5.41,4.13
11.6,11.38,12.97,10.76,2.00,5.32,6.03,6.78
8.37,9.74,7.13,3.82,1.52,3.91,4.08,9.43
5.54,6.82,1.61,5.28,1.96,4.22,3.77,9.83
5.94,4.17,3.33,7.67,2.05,6.03,5.90,8.11
6.34,6.78,5.01,8.42,3.91,8.06,5.37,8.06
5.23,8.9,7.0,7.75,7.18,10.14,3.99,6.38
3.86,8.33,8.64,5.98,12.00,12.71,4.66,5.94
4.04,5.23,6.74,9.57,18.99,18.68,3.51,2.89
4.17,4.61,10.76,10.32,20.54,21.11,9.17,3.91
8.64,8.2,9.96,8.77,21.33,22.70,20.67,10.81
10.98,9.96,15.8,20.09,18.06,24.43,20.62,12.53
6.43,10.54,12.35,19.56,16.78,29.07,22.00,15.94
7.49,30.22,26.29,31.28,16.07,27.17,37.52,16.29
8.59,38.54,27.7,37.43,18.41,22.70,39.02,11.47
3.95,24.12,13.68,14.87,29.16,14.61,19.92,9.83
5.32,8.42,11.25,16.51,32.65,11.91,7.97,8.02
4.83,8.95,11.2,10.41,29.65,8.15,12.09,4.75
4.04,2.76,10.32,22.26,18.55,6.74,4.52,5.45
6.34,6.07,11.11,16.11,15.18,8.15,11.38,9.48
14.83,12.44,11.6,21.42,23.01,16.73,19.16,18.28
10.05,9.66,5.32,9.26,25.67,19.52,19.70,20.89
4.44,3.82,4.26,7.58,25.44,22.22,15.80,13.72
11.42,9.35,6.03,7.8,15.63,13.55,12.84,11.11
10.27,8.95,4.75,3.82,8.99,10.63,9.83,9.35
6.12,4.79,6.21,5.81,4.83,7.36,7.75,5.63
4.61,2.14,3.42,9.7,4.26,9.08,5.85,4.92
6.07,1.87,3.2,7.27,5.85,7.40,9.88,11.42
5.81,2.93,12.35,10.58,7.27,7.62,14.92,18.59
3.29,3.86,3.95,9.39,9.52,7.84,17.79,26.33
9.08,12.35,4.52,7.09,11.07,13.55,19.74,27.08
23.94,21.38,9.74,3.86,12.44,18.46,21.38,23.01
40.66,30.13,26.55,21.6,19.43,23.72,15.94,39.29
39.55,31.55,22.7,23.68,23.54,27.97,9.74,46.06
21.73,22.79,7.05,6.82,35.53,43.00,18.94,34.91
8.51,9.66,9.7,12.09,31.64,45.52,18.06,17.48
8.37,7.58,2.8,4.13,34.20,50.35,8.24,4.57
3.64,2.71,10.1,7.18,25.44,33.45,5.90,4.83
5.06,4.75,3.33,6.74,23.90,28.98,7.49,5.28
7.36,9.61,4.48,8.37,16.38,16.91,5.32,3.46
8.68,12.71,6.12,3.24,14.08,15.41,5.54,4.08
13.5,16.6,7.93,4.26,10.23,12.22,6.29,9.92
10.1,9.39,8.11,7.53,16.20,20.31,18.50,20.71
17.13,19.61,17.13,11.34,17.53,24.07,36.46,31.19
28.67,28.45,9.74,22.35,22.84,29.69,48.58,34.87
22.22,20.71,4.3,8.64,15.76,30.22,39.42,27.17
13.72,9.66,6.69,9.17,13.28,23.90,25.05,16.82
18.41,12.75,7.84,10.05,19.92,19.25,12.40,8.42
16.73,15.41,3.46,2.89,27.74,13.86,10.14,7.89
7.8,8.59,4.13,6.65,28.59,13.19,6.69,7.22
7.4,6.78,5.98,5.98,16.95,12.80,6.74,9.21
7.67,11.78,21.11,8.95,9.88,14.34,22.44,18.32
16.38,21.91,20.67,20.4,13.24,22.53,24.56,14.79
36.59,39.51,43.62,15.63,18.63,29.20,14.74,13.28
32.34,38.89,32.7,36.63,19.78,27.48,20.23,24.16
8.77,20.14,22.08,8.24,16.25,21.73,34.64,27.13
21.86,13.77,10.36,18.85,12.97,15.18,40.79,21.77
19.78,12.31,16.95,27.13,15.23,18.50,29.82,15.18
11.25,4.44,5.45,6.16,18.59,24.07,24.47,15.01
15.63,6.6,15.01,13.68,18.41,26.46,29.38,14.17
20.05,6.69,20.54,6.21,21.29,31.64,22.97,13.59
8.02,8.11,8.59,8.37,19.56,31.81,14.08,11.03
14.39,7.22,18.41,9.43,24.16,31.90,12.53,11.38
17.09,10.98,9.3,6.07,23.10,26.99,15.18,11.51
13.24,13.95,10.32,13.81,20.58,18.41,11.07,4.88
11.82,10.19,11.2,7.49,15.80,15.58,7.05,3.60
10.23,8.11,9.39,8.37,10.76,13.28,9.92,6.60
9.83,12.26,9.21,7.89,12.22,15.80,11.87,6.69
11.78,16.38,0.94,10.94,11.16,19.56,8.20,4.39
8.24,10.67,2.18,13.41,9.26,17.79,5.45,5.06
4.08,2.22,6.69,9.3,6.65,16.29,10.63,7.40
4.61,4.3,3.2,6.21,9.92,13.11,9.43,5.81
3.46,2.76,6.38,5.72,20.18,19.74,8.73,2.45
3.64,3.55,2.8,6.12,24.87,22.79,9.96,2.58
4.61,1.96,8.02,7.71,30.80,25.18,5.54,3.46
2.09,3.73,2.98,7.22,23.28,18.81,5.06,6.38
6.69,3.33,9.57,6.47,21.11,14.39,6.47,9.88
7.18,4.22,8.24,6.78,13.90,9.79,4.52,8.64
3.51,7.89,11.91,8.11,16.78,10.19,2.22,5.76
3.99,7.05,7.31,6.91,19.03,9.39,3.60,4.97
3.42,2.27,5.5,5.81,20.49,11.07,3.73,7.27
2.8,4.08,4.97,6.12,20.76,8.77,5.28,8.20
2.49,4.57,2.49,9.43,16.38,8.99,6.16,5.90
4.39,7.13,3.68,5.94,15.23,8.33,3.20,5.23
10.85,10.81,8.2,5.23,12.71,8.59,5.19,10.76
16.02,12.93,2.8,12.57,16.55,11.03,12.04,17.66
12.75,8.9,5.23,3.82,17.84,11.65,13.86,17.48
3.91,5.28,5.14,5.9,20.05,13.28,11.16,9.39
3.15,4.61,5.67,10.32,14.17,9.35,9.57,3.42
3.42,5.72,8.55,9.7,12.75,8.90,9.35,2.36
6.12,7.58,11.78,7.18,6.56,5.41,12.00,3.37
3.99,7.49,6.21,12.97,5.94,5.50,9.48,3.86
4.61,5.63,8.2,9.17,3.29,3.82,5.54,3.11
