ALPHA L,ALPHA R,BETA L,BETA R,DELTA L,DELTA R,THETA L,THETA R
3.6,2.58,5.32,4.22,3.82,4.75,6.69,3.11
3.82,6.25,9.57,5.28,5.59,4.17,8.06,4.97
3.42,4.7,8.64,7.75,7.31,5.54,4.97,4.30
4.39,6.91,11.78,5.63,7.71,6.43,3.37,2.58
4.97,8.42,8.37,5.28,7.31,7.31,3.02,4.79
7.36,4.48,3.42,6.43,6.69,8.77,2.84,7.49
9.35,2.67,3.91,9.79,9.17,8.51,5.01,7.05
7.71,3.68,7.22,5.14,13.86,10.63,3.29,4.30
2.22,1.87,8.55,12.35,13.72,8.33,5.63,4.88
6.6,2.98,6.91,8.28,11.47,8.20,8.46,4.70
11.56,9.92,5.72,11.73,5.63,5.14,8.28,5.63
10.27,12.93,6.07,6.65,3.68,4.79,8.20,6.78
6.6,10.76,2.31,3.99,2.67,4.70,6.82,5.28
3.95,8.11,2.71,6.07,2.67,4.48,4.04,3.33
2.05,7.49,5.19,4.88,3.24,3.82,2.05,2.84
2.22,6.96,4.92,5.45,3.86,3.02,2.18,5.41
1.56,4.92,4.39,7.8,5.54,4.30,3.37,6.07
3.24,2.93,7.27,5.63,5.19,4.83,6.74,4.04
4.97,1.78,5.9,10.58,4.30,4.79,9.35,3.77
5.23,3.68,7.58,7.71,2.62,3.68,7.27,5.72
3.82,2.45,3.6,19.34,2.40,3.91,3.95,7.31
4.52,3.24,6.03,10.94,4.61,6.60,3.37,3.55
5.06,5.23,5.28,20.05,6.12,9.96,4.92,3.68
2.09,3.77,2.36,5.41,8.42,12.57,7.84,8.02
4.57,6.43,4.52,4.04,9.74,15.63,7.75,7.89
2.62,8.68,5.81,4.52,11.47,14.92,3.55,5.01
6.47,6.52,8.2,20.09,19.34,20.09,7.36,12.13
8.2,8.15,18.72,3.95,26.51,25.31,9.04,14.61
6.65,8.95,10.05,11.25,31.19,29.07,7.93,9.57
5.67,10.23,7.18,6.74,31.42,30.31,10.05,8.73
7.8,10.54,12.44,5.41,21.73,21.46,9.12,11.03
12.18,14.87,8.86,8.86,14.34,14.30,4.30,11.91
15.54,15.94,10.54,3.99,7.09,10.27,2.00,11.91
